Arabic Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
يتقدم,0,1,0,1,1,0,1,0,1,0
المتقدمة,0,0,0,0,0,0,1,0,0,0
تقدم,0,0,0,0,0,0,1,0,0,0
تتقدم,0,0,0,0,0,0,0,0,0,0
مميزات,0,0,0,0,0,0,1,0,0,0
مفيد,0,0,0,0,0,0,1,0,0,0
القدوم,0,1,0,0,1,0,1,0,0,1
مفامرة,0,1,0,0,0,0,1,0,0,0
مغامر,0,0,0,0,0,0,0,0,0,0
مغامر,0,0,0,0,0,0,1,0,0,0
الخصم,1,0,0,0,0,1,0,0,0,0
سلبي,1,0,1,1,0,1,0,1,0,0
محنة,1,0,0,1,0,1,0,1,0,0
يعلن,0,0,0,0,0,0,0,0,0,0
الإعلانات,0,0,0,0,0,0,0,0,0,0
النصيحة,0,0,0,0,0,0,0,0,0,1
المستحسن,0,0,0,0,0,0,1,0,0,1
نصيحة,0,0,0,0,0,0,1,0,0,1
نصح,0,0,0,0,0,0,0,0,0,1
نصيحة,0,0,0,0,0,0,0,0,0,0
مستشار,0,0,0,0,0,0,1,0,0,1
المناصرة,1,1,0,0,1,0,1,0,0,1
المؤيد,0,0,0,0,0,0,0,0,0,1
ايجيس,0,0,0,0,0,0,0,0,0,0
تهوية,0,0,0,0,0,0,0,0,0,0
الجوي,0,0,0,0,0,0,0,0,0,0
المطار,0,0,0,0,0,0,0,0,0,0
الديناميكا الهوائية,0,0,0,0,0,0,0,0,0,0
الطيران,0,0,0,0,0,0,0,0,0,0
طائرة,0,0,0,0,0,0,0,0,0,0
جمالي,0,0,0,0,0,0,1,0,0,0
جماليات,0,0,0,0,1,0,1,0,0,0
المسببات المرضية,0,0,0,0,0,0,0,0,0,0
بعيد,0,0,0,0,0,0,0,0,0,0
لطيف,0,0,0,0,0,0,1,0,0,0
قضية,0,0,0,0,0,0,0,0,0,0
تؤثر,0,0,0,0,0,0,0,0,0,0
تاثير,0,0,0,0,1,0,1,0,0,1
عواطف,0,0,0,0,0,0,0,0,0,0
شبق,0,0,0,0,0,0,0,0,0,0
إفادة خطية,0,0,0,0,0,0,0,0,0,0
التابعة,0,0,0,0,0,0,1,0,0,0
الانتماء,0,0,0,0,0,0,0,0,0,0
التقارب,0,0,0,0,0,0,0,0,0,0
يؤكد,0,0,0,0,0,0,1,0,0,1
تأكيد,0,0,0,0,0,0,1,0,0,0
اثبات,0,0,0,0,0,0,1,0,0,0
بالإيجاب,0,0,0,0,0,0,1,0,0,1
اللاحق,0,0,0,0,0,0,0,0,0,0
بلاء,0,0,0,1,0,1,0,1,0,0
منكوبة,0,0,0,0,0,1,0,0,0,0
بلاء,0,0,1,1,0,1,0,1,0,0
ترف,0,0,0,0,1,0,1,0,0,0
ثري,0,0,0,0,0,0,1,0,0,0
يمنح,0,0,0,0,0,0,1,0,0,0
إهانة,1,0,1,1,0,1,0,1,1,0
خارج,0,0,0,0,0,0,0,0,0,0
قبل ذلك,0,0,0,0,0,0,0,0,0,0
مذكور أعلاه,0,0,0,0,0,0,0,0,0,0
سالف الذكر,0,0,0,0,0,0,0,0,0,0
خائف,0,0,0,1,0,1,0,0,0,0
من جديد,0,0,0,0,0,0,0,0,0,0
في الخلف,0,0,0,0,0,0,0,0,0,0
ما بعد الكارثة,1,0,1,1,0,1,0,1,0,0
بعد الظهر,0,0,0,0,0,0,0,0,0,0
طعم,0,0,0,0,0,1,0,0,0,0
بعد التفكير,0,0,0,0,0,0,0,0,0,0
الآغا,0,0,0,1,0,0,1,0,0,1
العقيق,0,0,0,0,0,0,0,0,0,0
سن,0,0,0,0,0,0,0,0,0,0
مسن,0,0,0,0,0,0,0,0,0,0
وكالة,0,0,0,0,0,0,0,0,0,0
وكيل,0,0,0,0,0,0,0,0,0,0
تكتل,0,0,0,0,0,0,0,0,0,0
تفاقم,1,0,0,0,0,1,0,0,0,0
المشددة,1,0,0,0,0,1,0,1,0,0
التفاقم,1,0,1,0,0,1,0,0,0,0
مجموع,0,0,0,0,0,0,0,0,0,0
تجميع,0,0,0,0,0,0,0,0,0,0
عدوان,1,0,0,1,0,1,0,0,0,0
عنيف,1,0,0,1,0,1,0,0,0,0
المعتدي,1,0,0,1,0,1,0,0,0,0
مذعور,0,0,1,1,0,1,0,0,1,0
رشيق,0,0,0,0,0,0,1,0,0,0
رشاقة,0,0,0,0,0,0,1,0,0,0
مضطرب,1,0,0,0,0,1,0,0,0,0
الإثارة,1,0,0,0,0,1,0,0,0,0
محايد دينيا,0,0,0,0,0,0,0,0,0,0
منذ,0,0,0,0,0,0,0,0,0,0
مبرح,0,0,0,1,0,1,0,0,0,0
سكرة,1,0,0,1,0,1,0,1,0,0
يوافق على,0,0,0,0,0,0,1,0,0,0
مقبول,0,0,0,0,0,0,1,0,0,1
متفق عليه,0,0,0,0,0,0,1,0,0,1
الموافقة,0,0,0,0,0,0,1,0,0,1
اتفاق,0,0,0,0,0,0,1,0,0,1
زراعي,0,0,0,0,0,0,0,0,0,0
الزراعة,0,0,0,0,0,0,1,0,0,0
جنحت,0,0,0,0,0,1,0,0,0,0
أغوا,0,0,0,0,0,0,0,0,0,0
امام,0,0,0,0,0,0,1,0,0,0
يساعد,0,0,0,0,0,0,1,0,0,0
مساعدة,0,0,0,0,0,0,1,0,0,0
يزعج,0,0,0,0,0,1,0,1,0,0
مريض,0,0,0,1,0,1,0,1,0,0
وعكة,0,0,0,0,0,0,0,0,0,0
"هدف، تصويب",0,0,0,0,0,0,0,0,0,0
بلا هدف,0,0,0,0,0,1,0,0,0,0
هواء,0,0,0,0,0,0,0,0,0,0
وسادة هوائية,0,0,0,0,0,0,0,0,0,0
الجسر الجوي,0,0,0,0,0,0,0,0,0,0
شركة طيران,0,0,0,0,0,0,0,0,0,0
طيار,0,0,0,0,0,0,0,0,0,0
مطار,0,0,0,0,0,0,0,0,0,0
مطار,0,1,0,0,0,0,0,0,0,0
اجواء,0,0,1,0,0,1,0,0,0,0
منطاد,0,0,0,0,0,0,0,0,0,0
ممر,0,0,0,0,0,0,0,0,0,0
بعد,0,0,0,0,0,0,0,0,0,0
مفتوح جزئيا,0,0,0,0,0,0,0,0,0,0
قريب,0,0,0,0,0,0,0,0,0,1
المرمر,0,0,0,0,0,0,1,0,0,0
إنذار,0,0,0,1,0,1,0,0,1,0
ينذر بالخطر,0,0,0,1,0,1,0,0,1,0
ألب,0,0,0,0,0,0,0,0,0,1
الألبوم,0,0,0,0,0,0,0,0,0,0
كيمياء,0,0,0,0,0,0,0,0,0,0
كحول,0,0,0,0,0,0,0,0,0,0
إدمان الكحول,1,0,1,1,0,1,0,1,0,0
الكوة,0,0,0,0,0,0,0,0,0,0
إنذار,0,0,0,0,0,0,0,0,0,0
اليقظة,0,1,0,1,0,0,1,0,1,0
تنبيهات,0,1,0,1,0,0,0,0,1,0
البرسيم,0,0,0,0,0,0,0,0,0,0
الجبر,0,0,0,0,0,0,0,0,0,0
جبري,0,0,0,0,0,0,0,0,0,0
الخوارزمية,0,0,0,0,0,0,0,0,0,0
ذريعة,0,0,0,0,0,0,0,0,0,0
كائن فضائي,0,0,1,1,0,1,0,0,0,0
ينفر,1,0,1,0,0,1,0,0,0,0
منبوذ,0,0,0,0,0,1,0,1,0,0
نقل ملكية,1,0,1,1,0,1,0,1,0,0
مشتعل,0,0,0,0,0,0,0,0,0,0
محاذاة,0,0,0,0,0,0,0,0,0,0
محاذاة,0,0,0,0,0,0,0,0,0,0
على حد سواء,0,0,0,0,0,0,0,0,0,0
التغذية,0,0,0,0,0,0,1,0,0,0
النفقة,0,0,0,0,0,1,0,0,0,0
قسامة,0,0,0,0,0,0,0,0,0,0
على قيد الحياة,0,1,0,0,1,0,1,0,0,1
قلوي,0,0,0,0,0,0,0,0,0,0
قلويدات,0,0,0,0,0,0,0,0,0,0
تهدئة,0,0,0,0,0,0,1,0,0,0
ادعاء,1,0,0,0,0,1,0,0,0,0
زعم,0,0,0,0,0,1,0,0,0,0
مزعوم,0,0,0,0,0,0,0,0,0,0
الولاء,0,0,0,0,0,0,1,0,0,1
استعاري,0,0,0,0,0,0,0,0,0,0
فن رمزي,0,0,0,0,0,0,0,0,0,0
اليجرو,0,0,0,0,0,0,1,0,0,0
خفف,0,0,0,0,0,0,1,0,0,0
التخفيف,0,0,0,0,0,0,1,0,0,0
زقاق,0,0,0,0,0,0,0,0,0,0
تحالف,0,0,0,0,0,0,0,0,0,1
متحالف,0,0,0,0,0,0,1,0,0,1
التمساح,0,0,0,0,0,0,0,0,0,0
تخصيص,0,0,0,0,0,0,0,0,0,0
توزيع,0,0,0,0,0,0,0,0,0,0
تخصيص,0,0,0,0,0,0,0,0,0,0
التخصيص,0,0,0,0,0,0,0,0,0,0
المسموح به,0,0,0,0,0,0,1,0,0,0
مخصص,0,0,0,0,0,0,0,0,0,0
مسموح,0,0,0,0,0,0,0,0,0,0
سبيكة,0,0,0,0,0,0,0,0,0,0
إغراء,0,1,0,0,1,0,1,0,1,0
مغرية,0,0,0,0,0,0,1,0,0,0
إشارة,0,0,0,0,0,0,0,0,0,0
الغريني,0,0,0,0,0,0,0,0,0,0
حليف,0,0,0,0,0,0,1,0,0,1
تقويم,0,0,0,0,0,0,0,0,0,0
عز وجل,0,0,0,0,0,0,1,0,0,0
عاليا,0,0,0,0,0,0,0,0,0,0
الوها,0,1,0,0,1,0,1,0,0,0
جنبا إلى جنب,0,0,0,0,0,0,0,0,0,0
منعزل,0,0,0,0,0,1,0,0,0,0
بصوت عال,0,0,0,0,0,0,0,0,0,0
الأبجدية,0,0,0,0,0,0,0,0,0,0
مرتب حسب الحروف الأبجدية,0,0,0,0,0,0,0,0,0,0
مذبح,0,0,0,0,0,0,0,0,0,0
تبديل,0,0,0,0,0,0,0,0,0,0
تغيير,0,0,0,0,0,0,0,0,0,0
مشادة,1,0,0,0,0,1,0,0,0,0
تغيير,0,0,0,0,0,0,0,0,0,0
البديل,0,0,0,0,0,0,0,0,0,0
لبديل,0,0,0,0,0,0,0,0,0,0
ارتفاع,0,0,0,0,0,0,0,0,0,0
ألتو,0,0,0,0,0,0,0,0,0,0
كليا,0,0,0,0,0,0,0,0,0,0
خريج الجامعه,0,0,0,0,0,0,0,0,0,0
اللسان وسقف الفم,0,0,0,0,0,0,0,0,0,0
ملغم,0,0,0,0,0,0,0,0,0,0
الدمج,0,0,0,0,0,0,0,0,0,0
جمع,0,0,0,0,0,0,0,0,0,0
هواة,0,0,0,0,0,0,0,0,0,0
تدهش,0,0,0,0,0,0,0,0,1,0
دهشة,0,0,0,0,0,0,0,0,0,0
مثير للدهشة,0,0,0,0,1,0,1,0,1,0
سفير,0,0,0,0,0,0,1,0,0,1
العنبر,0,0,0,0,0,0,0,0,0,0
محيط ب,0,0,0,0,0,0,0,0,0,0
التباس,0,0,0,0,0,0,0,0,0,0
غامض,0,0,0,0,0,1,0,0,0,0
نطاق,0,0,0,0,0,0,0,0,0,0
طموح,0,1,0,0,1,0,1,0,0,1
طموح,0,0,0,0,0,0,0,0,0,0
سياره اسعاف,0,0,0,1,0,0,0,0,0,1
كمين,1,0,0,1,0,1,0,0,1,0
تحسين,0,0,0,0,0,0,1,0,0,0
آمين,0,0,0,0,1,0,1,0,0,1
قابل,0,0,0,0,0,0,1,0,0,0
يعدل,0,0,0,0,0,0,1,0,0,0
تعديل,0,0,0,0,0,0,0,0,0,0
يعدل,0,0,0,0,0,0,1,0,0,0
الراحة,0,0,0,0,0,0,1,0,0,0
جمشت,0,0,0,0,0,0,0,0,0,0
ودي,0,0,0,0,0,0,1,0,0,0
ظريف,0,0,0,0,1,0,1,0,0,0
وسط,0,0,0,0,0,0,0,0,0,0
وسط,0,0,0,0,0,0,0,0,0,0
الأمونيا,0,0,1,0,0,0,0,0,0,0
ذخيرة,0,0,0,0,0,0,0,0,0,0
فقدان الذاكرة,0,0,0,0,0,1,0,0,0,0
عفو,0,0,0,0,1,0,1,0,0,0
عديم الشكل,0,0,0,0,0,0,0,0,0,0
الإطفاء,0,0,0,0,0,0,0,0,0,1
مقدار,0,0,0,0,0,0,0,0,0,0
amour,0,1,0,0,1,0,1,0,0,1
علامة العطف,0,0,0,0,0,0,0,0,0,0
الأمفيتامينات,0,0,1,0,0,1,0,0,0,0
البرمائيات,0,0,0,0,0,0,0,0,0,0
برمائي,0,0,0,0,0,0,0,0,0,0
المدرج,0,0,0,0,0,0,0,0,0,0
تضخيم,0,0,0,0,0,0,0,0,0,0
"يضخم، يوسع، يبالغ",0,0,0,0,0,0,0,0,0,0
السعة,0,0,0,0,0,0,0,0,0,0
بإسهاب,0,0,0,0,0,0,0,0,0,0
بتر,0,0,0,0,0,0,0,0,0,0
تميمة,0,0,0,0,0,0,0,0,0,0
سلى,0,0,0,0,1,0,1,0,0,0
مسليا,0,0,0,0,1,0,1,0,0,0
تسلية,0,0,0,0,1,0,1,0,0,0
مسلية,0,0,0,0,1,0,1,0,0,0
آنا,0,0,0,0,0,0,0,0,0,0
اناكوندا,0,0,1,1,0,1,0,0,0,0
تخدير,0,0,0,0,0,0,0,0,0,0
مخدر,0,0,0,0,0,0,0,0,0,0
شرجي,0,0,0,0,0,1,0,0,0,0
مسكن,0,0,0,0,0,0,0,0,0,0
مماثل,0,0,0,0,0,0,0,0,0,0
التناظرية,0,0,0,0,0,0,0,0,0,0
تشبيه,0,0,0,0,0,0,0,0,0,0
التحليلات,0,0,0,0,0,0,0,0,0,0
المحلل,0,1,0,0,0,0,1,0,0,1
تحليلي,0,0,0,0,0,0,0,0,0,0
تحليل,0,0,0,0,0,0,0,0,0,0
محلل,0,0,0,0,0,0,0,0,0,0
الأناركية,1,0,0,1,0,1,0,0,0,0
فوضوي,1,0,0,1,0,1,0,0,0,0
فوضى سياسية,1,0,0,1,0,1,0,0,0,0
التحام,0,0,0,0,0,0,0,0,0,0
لعنة,1,0,1,1,0,1,0,1,0,0
تشريحي,0,0,0,0,0,0,0,0,0,0
تشريح,0,0,0,0,0,0,0,0,0,0
سلف,0,0,0,0,0,0,0,0,0,0
اسلاف,0,0,0,0,0,0,0,0,0,1
أسلاف,0,0,0,0,0,0,0,0,0,0
مذيع الأخبار,0,0,0,0,0,0,1,0,0,0
مرسى,0,0,0,0,0,0,1,1,0,0
قديمة جدا,0,0,0,0,0,1,0,0,0,0
المساعد الإضافي,0,0,0,0,0,0,0,0,0,0
منشط الذكورة,0,0,0,0,0,0,0,0,0,0
شقائق النعمان,0,0,0,0,0,0,0,0,0,0
من جديد,0,0,0,0,0,0,0,0,0,0
ملاك,0,1,0,0,1,0,1,0,1,1
ملائكي,0,0,0,0,1,0,1,0,0,1
الغضب,1,0,0,0,0,1,0,0,0,0
ذبحة,0,0,0,1,0,1,0,0,0,0
تصوير الأوعية,0,0,0,0,0,0,0,0,0,0
زاوية,0,0,0,0,0,0,0,0,0,0
الصيد,0,1,0,0,0,1,0,0,0,0
غاضب,1,0,1,0,0,1,0,0,0,0
معاناة,1,0,0,1,0,1,0,1,0,0
الزاوي,0,0,0,0,0,0,0,0,0,0
لا مائي,0,0,0,0,0,0,0,0,0,0
حيوان,0,0,0,0,0,0,0,0,0,0
تحريك,0,0,0,0,0,0,1,0,0,0
مفعم بالحيوية,0,0,0,0,1,0,1,0,0,0
الرسوم المتحركة,0,0,0,0,0,0,0,0,0,0
العداء,1,0,1,1,0,1,0,1,0,0
انيموس,1,0,0,0,0,1,0,0,0,0
كاحل,0,0,0,0,0,0,0,0,0,0
حوليات,0,0,0,0,0,0,0,0,0,0
المرفق,0,0,0,0,0,0,0,0,0,0
الضم,0,0,0,0,0,0,0,0,0,0
ملحق,0,0,0,0,0,0,0,0,0,0
إبادة,1,0,0,1,0,1,0,0,0,0
أباد,1,0,0,1,0,1,0,1,0,0
إبادة,1,0,0,1,0,1,0,1,0,0
علق,0,0,0,0,0,0,0,0,0,0
حاشية. ملاحظة,0,0,0,0,0,0,0,0,0,0
أعلن,0,0,0,0,0,0,0,0,0,0
