Polish Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
akademicki,0,0,0,0,0,0,1,0,0,1
akademia,0,0,0,0,0,0,1,0,0,0
przystąpić,0,0,0,0,0,0,0,0,0,0
przyśpieszyć,0,1,0,0,0,0,0,0,0,0
przyśpieszenie,0,0,0,0,0,0,0,0,0,0
akcent,0,0,0,0,0,0,0,0,0,0
podkreślać,0,0,0,0,0,0,0,0,0,0
zaakceptować,0,0,0,0,0,0,0,0,0,0
do przyjęcia,0,0,0,0,0,0,1,0,0,0
przyjęcie,0,0,0,0,0,0,1,0,0,0
dostęp,0,0,0,0,0,0,0,0,0,0
dostępny,0,0,0,0,0,0,1,0,0,0
przystąpienie,0,0,0,0,0,0,0,0,0,0
akcesorium,0,0,0,0,0,0,0,0,0,0
wypadek,0,0,0,1,0,1,0,1,1,0
przypadkowy,0,0,0,1,0,1,0,0,1,0
przypadkowo,0,0,0,0,0,0,0,0,1,0
uznanie,0,1,0,0,1,0,1,0,1,1
pomieścić,0,0,0,0,0,0,0,0,0,0
zakwaterowanie,0,0,0,0,0,0,1,0,0,0
akompaniament,0,1,0,0,1,0,1,0,0,1
towarzyszyć,0,0,0,0,0,0,0,0,0,0
towarzyszący,0,0,0,0,0,0,0,0,0,0
wspólnik,0,0,0,0,0,0,0,0,0,0
ukończyć,0,0,0,0,1,0,1,0,0,0
znakomity,0,0,0,0,1,0,1,0,0,0
osiągnięcie,0,0,0,0,0,0,1,0,0,0
porozumienie,0,0,0,0,0,0,1,0,0,1
zgodność,0,0,0,0,0,0,0,0,0,0
akordeon,0,0,0,0,0,0,0,0,0,0
rachunek,0,0,0,0,0,0,0,0,0,1
odpowiedzialność,0,0,0,0,0,0,1,0,0,1
odpowiedzialny,0,0,0,0,0,0,1,0,0,1
księgowa,0,0,0,0,0,0,0,0,0,1
księgowość,0,0,0,0,0,0,0,0,0,0
rachunki,0,0,0,0,0,0,0,0,0,1
akredytowany,0,0,0,0,0,0,1,0,0,1
przyrost,0,0,0,0,0,0,0,0,0,0
płynąć,0,0,0,0,0,0,0,0,0,0
liczyć,0,0,0,0,0,0,1,0,0,0
gromadzić,0,0,0,0,0,0,0,0,0,0
akumulacja,0,0,0,0,0,0,0,0,0,0
precyzja,0,0,0,0,0,0,0,0,0,0
dokładny,0,0,0,0,0,0,1,0,0,1
przeklęty,1,0,0,1,0,1,0,1,0,0
oskarżenie,1,0,1,0,0,1,0,0,0,0
biernik,0,0,0,0,0,1,0,0,0,0
oskarżony,1,0,0,1,0,1,0,0,0,0
oskarżyciel,1,0,0,1,0,1,0,0,0,0
oskarżać,1,0,0,1,0,1,0,0,0,0
przyzwyczajony,0,0,0,0,0,0,0,0,0,0
as,0,0,0,0,0,0,1,0,0,0
octowy,0,0,0,0,0,0,0,0,0,0
boleć,0,0,0,0,0,1,0,1,0,0
osiągnąć,0,0,0,0,1,0,1,0,0,1
osiągnięcie,0,1,0,0,1,0,1,0,0,1
zbolały,0,0,0,0,0,1,0,1,0,0
kwas,0,0,0,0,0,1,0,0,0,0
kwasowość,0,0,0,0,0,0,0,0,0,0
uznawać,0,0,0,0,0,0,0,0,0,0
uznany,0,0,0,0,0,0,0,0,0,0
potwierdzenie,0,0,0,0,0,0,1,0,0,0
kulminacja,0,0,0,0,0,0,0,0,0,0
akustyczny,0,0,0,0,0,0,0,0,0,0
akustyka,0,0,0,0,0,0,0,0,0,0
zapoznać,0,0,0,0,0,0,0,0,0,0
znajomy,0,0,0,0,0,0,0,0,0,0
obeznany,0,0,0,0,0,0,0,0,0,0
przyzwolenie,0,0,0,0,0,0,0,0,0,0
nabywać,0,0,0,0,0,0,1,0,0,0
nabywanie,0,1,0,0,0,0,1,0,0,0
nabytek,0,0,0,0,0,0,0,0,0,0
przejęcia,0,0,0,0,0,0,0,0,0,0
areał,0,0,0,0,0,0,0,0,0,0
włości,0,0,0,0,0,0,0,0,0,0
akrobata,0,0,0,1,1,0,1,0,0,1
akt,0,0,0,0,0,0,0,0,0,0
gra aktorska,0,0,0,0,0,0,0,0,0,0
akcja,0,0,0,0,0,0,1,0,0,0
zaskarżalny,1,0,1,0,0,1,0,0,0,0
aktywny,0,0,0,0,0,0,0,0,0,0
działalność,0,0,0,0,0,0,0,0,0,0
aktor,0,0,0,0,0,0,0,0,0,0
rzeczywisty,0,0,0,0,0,0,1,0,0,0
rzeczywistość,0,0,0,0,0,0,0,0,0,0
specjalista od ubezpieczeń,0,0,0,0,0,0,0,0,0,0
ostrość,0,0,0,0,0,0,1,0,0,0
bystrość,0,0,0,0,0,0,1,0,0,0
akupunktura,0,0,0,0,0,0,0,0,0,0
przenikliwie,0,0,0,0,0,0,0,0,0,0
powiedzenie,0,0,0,0,0,0,0,0,0,0
nieugięty,0,0,0,0,0,0,0,0,0,0
przystosować się,0,0,0,0,0,0,1,0,0,0
dający się przystosować,0,0,0,0,0,0,1,0,0,0
Dodaj,0,0,0,0,0,0,0,0,0,0
dodany,0,0,0,0,0,0,0,0,0,0
uzupełnienie,0,0,0,0,0,0,0,0,0,0
sumator,1,0,1,1,0,1,0,1,0,0
nałóg,0,0,0,0,0,1,0,0,0,0
dodatek,0,0,0,0,0,0,0,0,0,0
dodatkowy,0,0,0,0,0,0,0,0,0,0
przyłączeniowy,0,0,0,0,0,0,0,0,0,0
adres zamieszkania,0,0,0,0,0,0,0,0,0,0
adresat,0,0,0,0,0,0,0,0,0,0
adresy,0,1,0,0,0,0,1,0,0,0
adept,0,0,0,0,0,0,1,0,0,0
adekwatność,0,0,0,0,0,0,1,0,0,0
odpowiedni,0,0,0,0,0,0,0,0,0,0
przylegać,0,0,0,0,0,0,0,0,0,0
przyczepność,0,0,0,0,0,0,0,0,0,0
przylegający,0,0,0,0,0,0,0,0,0,0
przylegający,0,0,0,0,0,0,0,0,0,1
przyczepność,0,0,0,0,0,0,0,0,0,0
spoiwo,0,0,0,0,0,0,0,0,0,0
pożegnanie,0,0,0,0,0,0,0,0,0,0
tłuszczowy,0,0,0,0,0,1,0,0,0,0
przyleganie,0,0,0,0,0,0,0,0,0,0
przylegający,0,0,0,0,0,0,0,0,0,0
przymiotnik,0,0,0,0,0,0,0,0,0,0
przylegający,0,0,0,0,0,0,0,0,0,0
zawiesić,0,0,0,0,0,0,0,0,0,0
odroczenie,0,0,0,0,0,0,0,0,0,0
orzec,0,0,0,1,0,1,0,0,0,0
wyrok,0,0,0,0,0,0,0,0,0,0
dodatek,0,0,0,0,0,0,1,0,0,0
dostosować,0,0,0,0,0,0,0,0,0,0
dostosowanie,0,0,0,0,0,0,0,0,0,0
adiuwant,0,0,0,0,0,0,0,0,0,0
administrować,0,0,0,0,0,0,0,0,0,0
administracja,0,0,0,0,0,0,0,0,0,0
Administracyjny,0,0,0,0,0,0,0,0,0,1
zachwycający,0,0,0,0,1,0,1,0,0,1
admirał,0,0,0,0,0,0,1,0,0,1
admiralicja,0,0,0,0,0,0,0,0,0,0
podziw,0,0,0,0,1,0,1,0,0,1
podziwiać,0,0,0,0,0,0,1,0,0,1
wielbiciel,0,0,0,0,0,0,1,0,0,0
dopuszczalność,0,0,0,0,0,0,0,0,0,0
dopuszczalny,0,0,0,0,0,0,1,0,0,1
wstęp,0,0,0,0,0,0,0,0,0,0
przyznawać,0,0,0,0,0,0,0,0,0,0
wstęp,0,0,0,0,0,0,0,0,0,0
przyznał,0,0,0,0,0,0,0,0,0,0
przyznać się,0,0,0,0,0,0,0,0,0,0
domieszka,0,0,0,0,0,0,0,0,0,0
napomnienie,0,0,0,1,0,1,0,0,0,0
korowody,0,0,0,0,0,0,0,0,0,0
cegła suszona na słońcu,0,0,0,0,0,0,0,0,0,0
adolescencja,0,0,0,0,0,0,0,0,0,0
dorastający,0,0,0,0,0,0,0,0,0,0
przyjąć,0,0,0,0,0,0,0,0,0,0
przyjęcie,0,0,0,0,0,0,0,0,0,0
uroczy,0,0,0,0,1,0,1,0,0,0
adoracja,0,0,0,0,1,0,1,0,0,1
adorować,0,1,0,0,1,0,1,0,0,1
zdobić,0,0,0,0,0,0,0,0,0,0
ozdoba,0,0,0,0,0,0,0,0,0,0
dryfujący,0,1,0,1,0,1,0,1,0,0
dorosły,0,0,0,0,0,0,0,0,0,0
zafałszowane,0,0,0,0,0,1,0,0,0,0
cudzołóstwo,0,0,1,0,0,1,0,1,0,0
osiągnięcie,0,1,0,1,1,0,1,0,1,0
zaawansowane,0,0,0,0,0,0,1,0,0,0
postęp,0,0,0,0,0,0,1,0,0,0
posuwać się naprzód,0,0,0,0,0,0,0,0,0,0
korzyść,0,0,0,0,0,0,1,0,0,0
korzystny,0,0,0,0,0,0,1,0,0,0
Adwent,0,1,0,0,1,0,1,0,0,1
przygoda,0,1,0,0,0,0,1,0,0,0
poszukiwacz przygód,0,0,0,0,0,0,0,0,0,0
ryzykowny,0,0,0,0,0,0,1,0,0,0
przeciwnik,1,0,0,0,0,1,0,0,0,0
niekorzystny,1,0,1,1,0,1,0,1,0,0
nieszczęście,1,0,0,1,0,1,0,1,0,0
reklamować,0,0,0,0,0,0,0,0,0,0
Reklama,0,0,0,0,0,0,0,0,0,0
Rada,0,0,0,0,0,0,0,0,0,1
wskazany,0,0,0,0,0,0,1,0,0,1
radzić,0,0,0,0,0,0,1,0,0,1
rozmyślny,0,0,0,0,0,0,0,0,0,1
doradztwo,0,0,0,0,0,0,0,0,0,0
doradca,0,0,0,0,0,0,1,0,0,1
rzecznictwo,1,1,0,0,1,0,1,0,0,1
rzecznik,0,0,0,0,0,0,0,0,0,1
egida,0,0,0,0,0,0,0,0,0,0
napowietrzanie,0,0,0,0,0,0,0,0,0,0
antenowy,0,0,0,0,0,0,0,0,0,0
lotnisko,0,0,0,0,0,0,0,0,0,0
aerodynamika,0,0,0,0,0,0,0,0,0,0
aeronautyka,0,0,0,0,0,0,0,0,0,0
samolot,0,0,0,0,0,0,0,0,0,0
estetyka,0,0,0,0,0,0,1,0,0,0
estetyka,0,0,0,0,1,0,1,0,0,0
etiologia,0,0,0,0,0,0,0,0,0,0
daleko,0,0,0,0,0,0,0,0,0,0
uprzejmy,0,0,0,0,0,0,1,0,0,0
romans,0,0,0,0,0,0,0,0,0,0
wpływający,0,0,0,0,0,0,0,0,0,0
sympatia,0,0,0,0,1,0,1,0,0,1
uczucia,0,0,0,0,0,0,0,0,0,0
affiche,0,0,0,0,0,0,0,0,0,0
oświadczenie pod przysięgą,0,0,0,0,0,0,0,0,0,0
stowarzyszony,0,0,0,0,0,0,1,0,0,0
przynależność,0,0,0,0,0,0,0,0,0,0
podobieństwo,0,0,0,0,0,0,0,0,0,0
potwierdzać,0,0,0,0,0,0,1,0,0,1
afirmacja,0,0,0,0,0,0,1,0,0,0
twierdzący,0,0,0,0,0,0,1,0,0,0
afirmatywnie,0,0,0,0,0,0,1,0,0,1
afiks,0,0,0,0,0,0,0,0,0,0
dotknąć,0,0,0,1,0,1,0,1,0,0
cierpiący,0,0,0,0,0,1,0,0,0,0
cierpienie,0,0,1,1,0,1,0,1,0,0
zamożność,0,0,0,0,1,0,1,0,0,0
zamożny,0,0,0,0,0,0,1,0,0,0
pozwalać,0,0,0,0,0,0,1,0,0,0
afront,1,0,1,1,0,1,0,1,1,0
w polu,0,0,0,0,0,0,0,0,0,0
przedtem,0,0,0,0,0,0,0,0,0,0
wyżej wymieniony,0,0,0,0,0,0,0,0,0,0
wyżej wymieniony,0,0,0,0,0,0,0,0,0,0
przestraszony,0,0,0,1,0,1,0,0,0,0
na nowo,0,0,0,0,0,0,0,0,0,0
na rufie,0,0,0,0,0,0,0,0,0,0
następstwa,1,0,1,1,0,1,0,1,0,0
wieczór,0,0,0,0,0,0,0,0,0,0
posmak,0,0,0,0,0,1,0,0,0,0
refleksja,0,0,0,0,0,0,0,0,0,0
aga,0,0,0,1,0,0,1,0,0,1
agat,0,0,0,0,0,0,0,0,0,0
wiek,0,0,0,0,0,0,0,0,0,0
w wieku,0,0,0,0,0,0,0,0,0,0
agencja,0,0,0,0,0,0,0,0,0,0
agent,0,0,0,0,0,0,0,0,0,0
aglomeracja,0,0,0,0,0,0,0,0,0,0
pogorszony,1,0,0,0,0,1,0,0,0,0
obciążający,1,0,0,0,0,1,0,1,0,0
pogorszenie,1,0,1,0,0,1,0,0,0,0
agregat,0,0,0,0,0,0,0,0,0,0
zbiór,0,0,0,0,0,0,0,0,0,0
agresja,1,0,0,1,0,1,0,0,0,0
agresywny,1,0,0,1,0,1,0,0,0,0
agresor,1,0,0,1,0,1,0,0,0,0
przerażony,0,0,1,1,0,1,0,0,1,0
zręczny,0,0,0,0,0,0,1,0,0,0
zwinność,0,0,0,0,0,0,1,0,0,0
wstrząśnięty,1,0,0,0,0,1,0,0,0,0
podniecenie,1,0,0,0,0,1,0,0,0,0
agnostyk,0,0,0,0,0,0,0,0,0,0
temu,0,0,0,0,0,0,0,0,0,0
bolesny,0,0,0,1,0,1,0,0,0,0
agonia,1,0,0,1,0,1,0,1,0,0
Zgodzić się,0,0,0,0,0,0,1,0,0,0
przyjemny,0,0,0,0,0,0,1,0,0,1
Zgoda,0,0,0,0,0,0,1,0,0,1
zgadzając się,0,0,0,0,0,0,1,0,0,1
umowa,0,0,0,0,0,0,1,0,0,1
rolniczy,0,0,0,0,0,0,0,0,0,0
rolnictwo,0,0,0,0,0,0,1,0,0,0
na mieliźnie,0,0,0,0,0,1,0,0,0,0
agua,0,0,0,0,0,0,0,0,0,0
dalej,0,0,0,0,0,0,1,0,0,0
pomoc,0,0,0,0,0,0,1,0,0,0
pomoc,0,0,0,0,0,0,1,0,0,0
chorować,0,0,0,0,0,1,0,1,0,0
schorowany,0,0,0,1,0,1,0,1,0,0
dolegliwość,0,0,0,0,0,0,0,0,0,0
cel,0,0,0,0,0,0,0,0,0,0
bezcelowy,0,0,0,0,0,1,0,0,0,0
powietrze,0,0,0,0,0,0,0,0,0,0
poduszka powietrzna,0,0,0,0,0,0,0,0,0,0
most lotniczy,0,0,0,0,0,0,0,0,0,0
linia lotnicza,0,0,0,0,0,0,0,0,0,0
lotnik,0,0,0,0,0,0,0,0,0,0
samolot,0,0,0,0,0,0,0,0,0,0
Lotnisko,0,1,0,0,0,0,0,0,0,0
wietrzy,0,0,1,0,0,1,0,0,0,0
sterowiec,0,0,0,0,0,0,0,0,0,0
nawa,0,0,0,0,0,0,0,0,0,0
wysepka,0,0,0,0,0,0,0,0,0,0
uchylony,0,0,0,0,0,0,0,0,0,0
pokrewny,0,0,0,0,0,0,0,0,0,1
alabaster,0,0,0,0,0,0,1,0,0,0
alarm,0,0,0,1,0,1,0,0,1,0
niepokojące,0,0,0,1,0,1,0,0,1,0
alba,0,0,0,0,0,0,0,0,0,1
album,0,0,0,0,0,0,0,0,0,0
alchemia,0,0,0,0,0,0,0,0,0,0
alkohol,0,0,0,0,0,0,0,0,0,0
alkoholizm,1,0,1,1,0,1,0,1,0,0
alkierz,0,0,0,0,0,0,0,0,0,0
alarm,0,0,0,0,0,0,0,0,0,0
czujność,0,1,0,1,0,0,1,0,1,0
alerty,0,1,0,1,0,0,0,0,1,0
lucerna,0,0,0,0,0,0,0,0,0,0
algebra,0,0,0,0,0,0,0,0,0,0
algebraiczny,0,0,0,0,0,0,0,0,0,0
algorytm,0,0,0,0,0,0,0,0,0,0
alibi,0,0,0,0,0,0,0,0,0,0
obcy,0,0,1,1,0,1,0,0,0,0
zrazić,1,0,1,0,0,1,0,0,0,0
wyobcowany,0,0,0,0,0,1,0,1,0,0
alienacja,1,0,1,1,0,1,0,1,0,0
wysiadać,0,0,0,0,0,0,0,0,0,0
wyrównany,0,0,0,0,0,0,0,0,0,0
wyrównanie,0,0,0,0,0,0,0,0,0,0
zarówno,0,0,0,0,0,0,0,0,0,0
wyżywienie,0,0,0,0,0,0,1,0,0,0
alimenty,0,0,0,0,0,1,0,0,0,0
podwielokrotność,0,0,0,0,0,0,0,0,0,0
żywy,0,1,0,0,1,0,1,0,0,1
alkalia,0,0,0,0,0,0,0,0,0,0
alkaloidy,0,0,0,0,0,0,0,0,0,0
uspokajać,0,0,0,0,0,0,1,0,0,0
zarzut,1,0,0,0,0,1,0,0,0,0
twierdzić,0,0,0,0,0,1,0,0,0,0
rzekomy,0,0,0,0,0,0,0,0,0,0
wierność,0,0,0,0,0,0,1,0,0,1
alegoryczny,0,0,0,0,0,0,0,0,0,0
alegoria,0,0,0,0,0,0,0,0,0,0
Allegro,0,0,0,0,0,0,1,0,0,0
łagodzić,0,0,0,0,0,0,1,0,0,0
ulga,0,0,0,0,0,0,1,0,0,0
aleja,0,0,0,0,0,0,0,0,0,0
Sojusz,0,0,0,0,0,0,0,0,0,1
sprzymierzony,0,0,0,0,0,0,1,0,0,1
aligator,0,0,0,0,0,0,0,0,0,0
przeznaczyć,0,0,0,0,0,0,0,0,0,0
przydział,0,0,0,0,0,0,0,0,0,0
przydzielać,0,0,0,0,0,0,0,0,0,0
przydział,0,0,0,0,0,0,0,0,0,0
dopuszczalne,0,0,0,0,0,0,1,0,0,0
dodatek,0,0,0,0,0,0,0,0,0,0
dozwolony,0,0,0,0,0,0,0,0,0,0
stop,0,0,0,0,0,0,0,0,0,0
wabić,0,1,0,0,1,0,1,0,1,0
pociągający,0,0,0,0,0,0,1,0,0,0
aluzja,0,0,0,0,0,0,0,0,0,0
aluwialny,0,0,0,0,0,0,0,0,0,0
sprzymierzyć,0,0,0,0,0,0,1,0,0,1
almanach,0,0,0,0,0,0,0,0,0,0
wszechmocny,0,0,0,0,0,0,1,0,0,0
wysoko,0,0,0,0,0,0,0,0,0,0
aloha,0,1,0,0,1,0,1,0,0,0
wzdłuż,0,0,0,0,0,0,0,0,0,0
z dala,0,0,0,0,0,1,0,0,0,0
głośno,0,0,0,0,0,0,0,0,0,0
alfabet,0,0,0,0,0,0,0,0,0,0
alfabetyczny,0,0,0,0,0,0,0,0,0,0
ołtarz,0,0,0,0,0,0,0,0,0,0
zmieniać,0,0,0,0,0,0,0,0,0,0
zmiana,0,0,0,0,0,0,0,0,0,0
sprzeczka,1,0,0,0,0,1,0,0,0,0
zmieniony,0,0,0,0,0,0,0,0,0,0
alternatywny,0,0,0,0,0,0,0,0,0,0
alternatywny,0,0,0,0,0,0,0,0,0,0
Wysokość,0,0,0,0,0,0,0,0,0,0
alt,0,0,0,0,0,0,0,0,0,0
całkowicie,0,0,0,0,0,0,0,0,0,0
absolwent,0,0,0,0,0,0,0,0,0,0
pęcherzykowy,0,0,0,0,0,0,0,0,0,0
amalgamat,0,0,0,0,0,0,0,0,0,0
połączenie,0,0,0,0,0,0,0,0,0,0
zgromadzić,0,0,0,0,0,0,0,0,0,0
amator,0,0,0,0,0,0,0,0,0,0
zadziwiać,0,0,0,0,0,0,0,0,1,0
zdumienie,0,0,0,0,0,0,0,0,0,0
zadziwiająco,0,0,0,0,1,0,1,0,1,0
ambasador,0,0,0,0,0,0,1,0,0,1
bursztyn,0,0,0,0,0,0,0,0,0,0
otoczenia,0,0,0,0,0,0,0,0,0,0
niejasność,0,0,0,0,0,0,0,0,0,0
dwuznaczny,0,0,0,0,0,1,0,0,0,0
obwód,0,0,0,0,0,0,0,0,0,0
ambicja,0,1,0,0,1,0,1,0,0,1
ambitny,0,0,0,0,0,0,0,0,0,0
karetka,0,0,0,1,0,0,0,0,0,1
zasadzka,1,0,0,1,0,1,0,0,1,0
polepszyć,0,0,0,0,0,0,1,0,0,0
Amen,0,0,0,0,1,0,1,0,0,1
odpowiedzialny,0,0,0,0,0,0,1,0,0,0
poprawiać,0,0,0,0,0,0,1,0,0,0
poprawka,0,0,0,0,0,0,0,0,0,0
odszkodowanie,0,0,0,0,0,0,1,0,0,0
uprzejmość,0,0,0,0,0,0,1,0,0,0
ametyst,0,0,0,0,0,0,0,0,0,0
sympatyczny,0,0,0,0,0,0,1,0,0,0
przyjazny,0,0,0,0,1,0,1,0,0,0
pośród,0,0,0,0,0,0,0,0,0,0
wśród,0,0,0,0,0,0,0,0,0,0
amoniak,0,0,1,0,0,0,0,0,0,0
amunicja,0,0,0,0,0,0,0,0,0,0
amnezja,0,0,0,0,0,1,0,0,0,0
amnestia,0,0,0,0,1,0,1,0,0,0
amorficzny,0,0,0,0,0,0,0,0,0,0
amortyzacja,0,0,0,0,0,0,0,0,0,1
ilość,0,0,0,0,0,0,0,0,0,0
romans,0,1,0,0,1,0,1,0,0,1
ampersand,0,0,0,0,0,0,0,0,0,0
amfetaminy,0,0,1,0,0,1,0,0,0,0
płaz,0,0,0,0,0,0,0,0,0,0
ziemnowodny,0,0,0,0,0,0,0,0,0,0
amfiteatr,0,0,0,0,0,0,0,0,0,0
wzmocnienie,0,0,0,0,0,0,0,0,0,0
wzmacniać,0,0,0,0,0,0,0,0,0,0
amplituda,0,0,0,0,0,0,0,0,0,0
obficie,0,0,0,0,0,0,0,0,0,0
amputacja,0,0,0,0,0,0,0,0,0,0
amulet,0,0,0,0,0,0,0,0,0,0
bawić,0,0,0,0,1,0,1,0,0,0
rozbawiony,0,0,0,0,1,0,1,0,0,0
rozrywka,0,0,0,0,1,0,1,0,0,0
zabawny,0,0,0,0,1,0,1,0,0,0
anana,0,0,0,0,0,0,0,0,0,0
anakonda,0,0,1,1,0,1,0,0,0,0
znieczulenie,0,0,0,0,0,0,0,0,0,0
znieczulający,0,0,0,0,0,0,0,0,0,0
analny,0,0,0,0,0,1,0,0,0,0
przeciwbólowy,0,0,0,0,0,0,0,0,0,0
analogiczny,0,0,0,0,0,0,0,0,0,0
analog,0,0,0,0,0,0,0,0,0,0
analogia,0,0,0,0,0,0,0,0,0,0
analiza,0,0,0,0,0,0,0,0,0,0
analityk,0,1,0,0,0,0,1,0,0,1
analityczny,0,0,0,0,0,0,0,0,0,0
analizować,0,0,0,0,0,0,0,0,0,0
analizator,0,0,0,0,0,0,0,0,0,0
anarchizm,1,0,0,1,0,1,0,0,0,0
anarchista,1,0,0,1,0,1,0,0,0,0
anarchia,1,0,0,1,0,1,0,0,0,0
zespolenie,0,0,0,0,0,0,0,0,0,0
anatema,1,0,1,1,0,1,0,1,0,0
anatomiczny,0,0,0,0,0,0,0,0,0,0
anatomia,0,0,0,0,0,0,0,0,0,0
przodek,0,0,0,0,0,0,0,0,0,0
rodowy,0,0,0,0,0,0,0,0,0,1
pochodzenie,0,0,0,0,0,0,0,0,0,0
Kotwica,0,0,0,0,0,0,1,0,0,0
zamocowanie,0,0,0,0,0,0,1,1,0,0
starożytny,0,0,0,0,0,1,0,0,0,0
pomocniczy,0,0,0,0,0,0,0,0,0,0
androgen,0,0,0,0,0,0,0,0,0,0
anemon,0,0,0,0,0,0,0,0,0,0
nowo,0,0,0,0,0,0,0,0,0,0
anioł,0,1,0,0,1,0,1,0,1,1
anielski,0,0,0,0,1,0,1,0,0,1
gniew,1,0,0,0,0,1,0,0,0,0
dusznica,0,0,0,1,0,1,0,0,0,0
angiografia,0,0,0,0,0,0,0,0,0,0
kąt,0,0,0,0,0,0,0,0,0,0
wędkarstwo,0,1,0,0,0,1,0,0,0,0
zły,1,0,1,0,0,1,0,0,0,0
boleść,1,0,0,1,0,1,0,1,0,0
kątowy,0,0,0,0,0,0,0,0,0,0
bezwodny,0,0,0,0,0,0,0,0,0,0
zwierzę,0,0,0,0,0,0,0,0,0,0
animować,0,0,0,0,0,0,1,0,0,0
ożywiony,0,0,0,0,1,0,1,0,0,0
animacja,0,0,0,0,0,0,0,0,0,0
animozja,1,0,1,1,0,1,0,1,0,0
animozja,1,0,0,0,0,1,0,0,0,0
kostka,0,0,0,0,0,0,0,0,0,0
annały,0,0,0,0,0,0,0,0,0,0
załącznik,0,0,0,0,0,0,0,0,0,0
aneksja,0,0,0,0,0,0,0,0,0,0
aneks,0,0,0,0,0,0,0,0,0,0
zniszczyć,1,0,0,1,0,1,0,0,0,0
unicestwiony,1,0,0,1,0,1,0,1,0,0
unicestwienie,1,0,0,1,0,1,0,1,0,0
komentować,0,0,0,0,0,0,0,0,0,0
adnotacja,0,0,0,0,0,0,0,0,0,0
ogłosić,0,0,0,0,0,0,0,0,0,0
ogłoszenie,0,1,0,0,0,0,0,0,0,0
drażnić,1,0,1,0,0,1,0,0,0,0
