Finnish Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
kumota,0,0,0,0,0,1,0,0,0,0
äkillinen,0,0,0,0,0,0,0,0,1,0
yhtäkkiä,0,0,0,0,0,0,0,0,0,0
paise,0,0,0,0,0,1,0,1,0,0
poissaolo,0,0,0,1,0,1,0,1,0,0
poissa,0,0,0,0,0,1,0,1,0,0
poissaolija,0,0,0,0,0,1,0,1,0,0
poissaolot,0,0,0,0,0,1,0,0,0,0
absintti,0,0,0,0,0,0,0,0,0,0
ehdoton,0,0,0,0,0,0,1,0,0,0
anteeksianto,0,0,0,0,1,0,1,0,0,1
imeytyy,0,0,0,0,0,0,1,0,0,0
imukykyinen,0,0,0,0,0,0,0,0,0,0
imevää,0,0,0,0,0,0,0,0,0,0
imeytyminen,0,0,0,0,0,0,0,0,0,0
pidättäytyä äänestämästä,0,0,0,0,0,0,0,0,0,0
tyhjää,0,0,0,0,0,0,0,0,0,0
raittiutta,0,0,0,0,0,0,0,0,0,0
abstrakti,0,0,0,0,0,0,0,0,0,0
abstraktio,0,0,0,0,0,0,0,0,0,0
absurdia,0,0,0,0,0,1,0,0,0,0
absurdia,0,0,0,0,0,1,0,0,0,0
yltäkylläisyys,0,1,1,0,1,1,1,0,0,1
runsas,0,0,0,0,1,0,1,0,0,0
väärinkäyttö,1,0,1,1,0,1,0,1,0,0
abutmentti,0,0,0,0,0,0,0,0,0,0
aby,0,0,0,0,0,0,0,0,0,0
synkkä,0,0,0,0,0,1,0,1,0,0
kuiluun,0,0,0,1,0,1,0,1,0,0
akateeminen,0,0,0,0,0,0,1,0,0,1
akatemia,0,0,0,0,0,0,1,0,0,0
liittyä,0,0,0,0,0,0,0,0,0,0
kiihdyttää,0,1,0,0,0,0,0,0,0,0
kiihtyvyys,0,0,0,0,0,0,0,0,0,0
aksentti,0,0,0,0,0,0,0,0,0,0
korostaa,0,0,0,0,0,0,0,0,0,0
hyväksyä,0,0,0,0,0,0,0,0,0,0
hyväksyttävää,0,0,0,0,0,0,1,0,0,0
hyväksyminen,0,0,0,0,0,0,1,0,0,0
pääsy,0,0,0,0,0,0,0,0,0,0
saatavilla,0,0,0,0,0,0,1,0,0,0
liittyminen,0,0,0,0,0,0,0,0,0,0
lisävaruste,0,0,0,0,0,0,0,0,0,0
onnettomuus,0,0,0,1,0,1,0,1,1,0
vahingossa,0,0,0,1,0,1,0,0,1,0
vahingossa,0,0,0,0,0,0,0,0,1,0
kunnianosoitus,0,1,0,0,1,0,1,0,1,1
majoittaa,0,0,0,0,0,0,0,0,0,0
majoitus,0,0,0,0,0,0,1,0,0,0
säestys,0,1,0,0,1,0,1,0,0,1
mukana,0,0,0,0,0,0,0,0,0,0
mukana,0,0,0,0,0,0,0,0,0,0
rikoskumppani,0,0,0,0,0,0,0,0,0,0
saavuttaa,0,0,0,0,1,0,1,0,0,0
saavutettu,0,0,0,0,1,0,1,0,0,0
saavutus,0,0,0,0,0,0,1,0,0,0
sopimusta,0,0,0,0,0,0,1,0,0,1
mukaisesti,0,0,0,0,0,0,0,0,0,0
harmonikka,0,0,0,0,0,0,0,0,0,0
tili,0,0,0,0,0,0,0,0,0,1
vastuullisuus,0,0,0,0,0,0,1,0,0,1
vastuussa,0,0,0,0,0,0,1,0,0,1
kirjanpitäjä,0,0,0,0,0,0,0,0,0,1
kirjanpito,0,0,0,0,0,0,0,0,0,0
tilit,0,0,0,0,0,0,0,0,0,1
akkreditoitu,0,0,0,0,0,0,1,0,0,1
vesijättö,0,0,0,0,0,0,0,0,0,0
kertyä,0,0,0,0,0,0,0,0,0,0
accueil,0,0,0,0,0,0,1,0,0,0
kerääntyä,0,0,0,0,0,0,0,0,0,0
kertyminen,0,0,0,0,0,0,0,0,0,0
tarkkuus,0,0,0,0,0,0,0,0,0,0
tarkka,0,0,0,0,0,0,1,0,0,1
kirottu,1,0,0,1,0,1,0,1,0,0
syytös,1,0,1,0,0,1,0,0,0,0
akkusatiivi,0,0,0,0,0,1,0,0,0,0
syytetty,1,0,0,1,0,1,0,0,0,0
syyttäjä,1,0,0,1,0,1,0,0,0,0
syyttävä,1,0,0,1,0,1,0,0,0,0
tottunut,0,0,0,0,0,0,0,0,0,0
ässä,0,0,0,0,0,0,1,0,0,0
etikka,0,0,0,0,0,0,0,0,0,0
särky,0,0,0,0,0,1,0,1,0,0
saavuttaa,0,0,0,0,1,0,1,0,0,1
saavutus,0,1,0,0,1,0,1,0,0,1
kipeä,0,0,0,0,0,1,0,1,0,0
happoa,0,0,0,0,0,1,0,0,0,0
happamuus,0,0,0,0,0,0,0,0,0,0
tunnustaa,0,0,0,0,0,0,0,0,0,0
tunnustettu,0,0,0,0,0,0,0,0,0,0
tunnustus,0,0,0,0,0,0,1,0,0,0
acme,0,0,0,0,0,0,0,0,0,0
akustinen,0,0,0,0,0,0,0,0,0,0
akustiikka,0,0,0,0,0,0,0,0,0,0
tutustua,0,0,0,0,0,0,0,0,0,0
tuttavuus,0,0,0,0,0,0,0,0,0,0
tuttu,0,0,0,0,0,0,0,0,0,0
suostumus,0,0,0,0,0,0,0,0,0,0
hankkia,0,0,0,0,0,0,1,0,0,0
hankkiminen,0,1,0,0,0,0,1,0,0,0
hankinta,0,0,0,0,0,0,0,0,0,0
hankinnat,0,0,0,0,0,0,0,0,0,0
pinta-ala,0,0,0,0,0,0,0,0,0,0
eekkeriä,0,0,0,0,0,0,0,0,0,0
akrobaatti,0,0,0,1,1,0,1,0,0,1
toimia,0,0,0,0,0,0,0,0,0,0
näytteleminen,0,0,0,0,0,0,0,0,0,0
toiminta,0,0,0,0,0,0,1,0,0,0
toimintakelpoinen,1,0,1,0,0,1,0,0,0,0
aktiivinen,0,0,0,0,0,0,0,0,0,0
toiminta,0,0,0,0,0,0,0,0,0,0
näyttelijä,0,0,0,0,0,0,0,0,0,0
todellinen,0,0,0,0,0,0,1,0,0,0
todellisuus,0,0,0,0,0,0,0,0,0,0
aktuaari,0,0,0,0,0,0,0,0,0,0
terävyys,0,0,0,0,0,0,1,0,0,0
älykkyyttä,0,0,0,0,0,0,1,0,0,0
akupunktio,0,0,0,0,0,0,0,0,0,0
akuutisti,0,0,0,0,0,0,0,0,0,0
Sanonta,0,0,0,0,0,0,0,0,0,0
järkkymätön,0,0,0,0,0,0,0,0,0,0
sopeutua,0,0,0,0,0,0,1,0,0,0
mukautuva,0,0,0,0,0,0,1,0,0,0
lisätä,0,0,0,0,0,0,0,0,0,0
lisätty,0,0,0,0,0,0,0,0,0,0
lisäys,0,0,0,0,0,0,0,0,0,0
lisäin,1,0,1,1,0,1,0,1,0,0
riippuvuus,0,0,0,0,0,1,0,0,0,0
lisäys,0,0,0,0,0,0,0,0,0,0
lisää,0,0,0,0,0,0,0,0,0,0
lisäaine,0,0,0,0,0,0,0,0,0,0
osoite,0,0,0,0,0,0,0,0,0,0
vastaanottaja,0,0,0,0,0,0,0,0,0,0
osoitteita,0,1,0,0,0,0,1,0,0,0
taitava,0,0,0,0,0,0,1,0,0,0
riittävyyttä,0,0,0,0,0,0,1,0,0,0
riittävä,0,0,0,0,0,0,0,0,0,0
kiinni,0,0,0,0,0,0,0,0,0,0
sitoutuminen,0,0,0,0,0,0,0,0,0,0
noudattava,0,0,0,0,0,0,0,0,0,0
kiinni,0,0,0,0,0,0,0,0,0,1
adheesiota,0,0,0,0,0,0,0,0,0,0
liima,0,0,0,0,0,0,0,0,0,0
hyvästi,0,0,0,0,0,0,0,0,0,0
rasvainen,0,0,0,0,0,1,0,0,0,0
läheisyys,0,0,0,0,0,0,0,0,0,0
vieressä,0,0,0,0,0,0,0,0,0,0
adjektiivi,0,0,0,0,0,0,0,0,0,0
viereinen,0,0,0,0,0,0,0,0,0,0
lykätä,0,0,0,0,0,0,0,0,0,0
lykkäys,0,0,0,0,0,0,0,0,0,0
tuomitsemaan,0,0,0,1,0,1,0,0,0,0
tuomio,0,0,0,0,0,0,0,0,0,0
lisäaine,0,0,0,0,0,0,1,0,0,0
säätää,0,0,0,0,0,0,0,0,0,0
säätö,0,0,0,0,0,0,0,0,0,0
adjuvantti,0,0,0,0,0,0,0,0,0,0
hallinnoida,0,0,0,0,0,0,0,0,0,0
hallinto,0,0,0,0,0,0,0,0,0,0
hallinnollinen,0,0,0,0,0,0,0,0,0,1
ihailtavaa,0,0,0,0,1,0,1,0,0,1
amiraali,0,0,0,0,0,0,1,0,0,1
amiraliteetti,0,0,0,0,0,0,0,0,0,0
ihailua,0,0,0,0,1,0,1,0,0,1
ihailla,0,0,0,0,0,0,1,0,0,1
ihailija,0,0,0,0,0,0,1,0,0,0
tutkittavaksi ottamisen edellytykset,0,0,0,0,0,0,0,0,0,0
hyväksyttäväksi,0,0,0,0,0,0,1,0,0,1
sisäänpääsy,0,0,0,0,0,0,0,0,0,0
myöntää,0,0,0,0,0,0,0,0,0,0
pääsy,0,0,0,0,0,0,0,0,0,0
hyväksytty,0,0,0,0,0,0,0,0,0,0
myöntää,0,0,0,0,0,0,0,0,0,0
sekoitusta,0,0,0,0,0,0,0,0,0,0
kehotus,0,0,0,1,0,1,0,0,0,0
ado,0,0,0,0,0,0,0,0,0,0
Adobe,0,0,0,0,0,0,0,0,0,0
teini-iässä,0,0,0,0,0,0,0,0,0,0
teini-ikäinen,0,0,0,0,0,0,0,0,0,0
adoptoida,0,0,0,0,0,0,0,0,0,0
hyväksyminen,0,0,0,0,0,0,0,0,0,0
ihana,0,0,0,0,1,0,1,0,0,0
palvonta,0,0,0,0,1,0,1,0,0,1
jumaloida,0,1,0,0,1,0,1,0,0,1
koristaa,0,0,0,0,0,0,0,0,0,0
koristelu,0,0,0,0,0,0,0,0,0,0
tuuliajolla,0,1,0,1,0,1,0,1,0,0
aikuinen,0,0,0,0,0,0,0,0,0,0
väärennetty,0,0,0,0,0,1,0,0,0,0
aviorikos,0,0,1,0,0,1,0,1,0,0
etukäteen,0,1,0,1,1,0,1,0,1,0
pitkälle kehittynyt,0,0,0,0,0,0,1,0,0,0
edistymistä,0,0,0,0,0,0,1,0,0,0
etenee,0,0,0,0,0,0,0,0,0,0
etu,0,0,0,0,0,0,1,0,0,0
edullinen,0,0,0,0,0,0,1,0,0,0
adventti,0,1,0,0,1,0,1,0,0,1
seikkailu,0,1,0,0,0,0,1,0,0,0
seikkailija,0,0,0,0,0,0,0,0,0,0
seikkailunhaluinen,0,0,0,0,0,0,1,0,0,0
vastustaja,1,0,0,0,0,1,0,0,0,0
haitallisia,1,0,1,1,0,1,0,1,0,0
vastoinkäymisiä,1,0,0,1,0,1,0,1,0,0
mainostaa,0,0,0,0,0,0,0,0,0,0
mainos,0,0,0,0,0,0,0,0,0,0
neuvoja,0,0,0,0,0,0,0,0,0,1
suositeltavaa,0,0,0,0,0,0,1,0,0,1
neuvoa,0,0,0,0,0,0,1,0,0,1
neuvoi,0,0,0,0,0,0,0,0,0,1
neuvoja,0,0,0,0,0,0,0,0,0,0
neuvonantaja,0,0,0,0,0,0,1,0,0,1
edunvalvonta,1,1,0,0,1,0,1,0,0,1
edustaa,0,0,0,0,0,0,0,0,0,1
egis,0,0,0,0,0,0,0,0,0,0
ilmastus,0,0,0,0,0,0,0,0,0,0
antenni,0,0,0,0,0,0,0,0,0,0
lentopaikka,0,0,0,0,0,0,0,0,0,0
aerodynamiikka,0,0,0,0,0,0,0,0,0,0
ilmailu,0,0,0,0,0,0,0,0,0,0
lentokone,0,0,0,0,0,0,0,0,0,0
esteettinen,0,0,0,0,0,0,1,0,0,0
estetiikka,0,0,0,0,1,0,1,0,0,0
etiologia,0,0,0,0,0,0,0,0,0,0
kaukaa,0,0,0,0,0,0,0,0,0,0
ystävällinen,0,0,0,0,0,0,1,0,0,0
asia,0,0,0,0,0,0,0,0,0,0
vaikuttavat,0,0,0,0,0,0,0,0,0,0
kiintymystä,0,0,0,0,1,0,1,0,0,1
kiintymyksiä,0,0,0,0,0,0,0,0,0,0
affiche,0,0,0,0,0,0,0,0,0,0
valaehtoinen todistus,0,0,0,0,0,0,0,0,0,0
sidoksissa,0,0,0,0,0,0,1,0,0,0
kuuluminen,0,0,0,0,0,0,0,0,0,0
affiniteetti,0,0,0,0,0,0,0,0,0,0
vahvistaa,0,0,0,0,0,0,1,0,0,1
vahvistusta,0,0,0,0,0,0,1,0,0,0
myöntävä,0,0,0,0,0,0,1,0,0,0
myöntävästi,0,0,0,0,0,0,1,0,0,1
kiinnittää,0,0,0,0,0,0,0,0,0,0
vaivata,0,0,0,1,0,1,0,1,0,0
kärsinyt,0,0,0,0,0,1,0,0,0,0
vaivaa,0,0,1,1,0,1,0,1,0,0
vaurautta,0,0,0,0,1,0,1,0,0,0
varakkaita,0,0,0,0,0,0,1,0,0,0
olla varaa,0,0,0,0,0,0,1,0,0,0
loukkaus,1,0,1,1,0,1,0,1,1,0
ulkopuolella,0,0,0,0,0,0,0,0,0,0
edellä,0,0,0,0,0,0,0,0,0,0
yllä mainitut,0,0,0,0,0,0,0,0,0,0
edellä mainittu,0,0,0,0,0,0,0,0,0,0
peloissaan,0,0,0,1,0,1,0,0,0,0
uudelleen,0,0,0,0,0,0,0,0,0,0
perä,0,0,0,0,0,0,0,0,0,0
jälkimainingeissa,1,0,1,1,0,1,0,1,0,0
iltapäivällä,0,0,0,0,0,0,0,0,0,0
jälkimaku,0,0,0,0,0,1,0,0,0,0
jälkikäteen,0,0,0,0,0,0,0,0,0,0
aga,0,0,0,1,0,0,1,0,0,1
akaatti,0,0,0,0,0,0,0,0,0,0
ikä,0,0,0,0,0,0,0,0,0,0
ikääntynyt,0,0,0,0,0,0,0,0,0,0
virasto,0,0,0,0,0,0,0,0,0,0
agentti,0,0,0,0,0,0,0,0,0,0
taajama,0,0,0,0,0,0,0,0,0,0
pahentunut,1,0,0,0,0,1,0,0,0,0
raskauttava,1,0,0,0,0,1,0,1,0,0
paheneminen,1,0,1,0,0,1,0,0,0,0
aggregaatti,0,0,0,0,0,0,0,0,0,0
yhdistäminen,0,0,0,0,0,0,0,0,0,0
aggressiota,1,0,0,1,0,1,0,0,0,0
aggressiivinen,1,0,0,1,0,1,0,0,0,0
hyökkääjä,1,0,0,1,0,1,0,0,0,0
kauhistuneena,0,0,1,1,0,1,0,0,1,0
ketterä,0,0,0,0,0,0,1,0,0,0
ketteryyttä,0,0,0,0,0,0,1,0,0,0
kiihtynyt,1,0,0,0,0,1,0,0,0,0
agitaatiota,1,0,0,0,0,1,0,0,0,0
agnostikko,0,0,0,0,0,0,0,0,0,0
sitten,0,0,0,0,0,0,0,0,0,0
tuskallinen,0,0,0,1,0,1,0,0,0,0
tuska,1,0,0,1,0,1,0,1,0,0
olla samaa mieltä,0,0,0,0,0,0,1,0,0,0
miellyttävä,0,0,0,0,0,0,1,0,0,1
sovittu,0,0,0,0,0,0,1,0,0,1
samaa mieltä,0,0,0,0,0,0,1,0,0,1
sopimus,0,0,0,0,0,0,1,0,0,1
maatalous,0,0,0,0,0,0,0,0,0,0
maataloudessa,0,0,0,0,0,0,1,0,0,0
karille,0,0,0,0,0,1,0,0,0,0
agua,0,0,0,0,0,0,0,0,0,0
eteenpäin,0,0,0,0,0,0,1,0,0,0
apu,0,0,0,0,0,0,1,0,0,0
auttamassa,0,0,0,0,0,0,1,0,0,0
ail,0,0,0,0,0,1,0,1,0,0
sairaana,0,0,0,1,0,1,0,1,0,0
sairaus,0,0,0,0,0,0,0,0,0,0
tavoite,0,0,0,0,0,0,0,0,0,0
päämäärätön,0,0,0,0,0,1,0,0,0,0
ilmaa,0,0,0,0,0,0,0,0,0,0
turvatyyny,0,0,0,0,0,0,0,0,0,0
ilmakuljetus,0,0,0,0,0,0,0,0,0,0
lentoyhtiö,0,0,0,0,0,0,0,0,0,0
lentäjä,0,0,0,0,0,0,0,0,0,0
lentokone,0,0,0,0,0,0,0,0,0,0
lentokenttä,0,1,0,0,0,0,0,0,0,0
ilmaistaan,0,0,1,0,0,1,0,0,0,0
ilmalaiva,0,0,0,0,0,0,0,0,0,0
käytävä,0,0,0,0,0,0,0,0,0,0
ait,0,0,0,0,0,0,0,0,0,0
raollaan,0,0,0,0,0,0,0,0,0,0
samanlainen,0,0,0,0,0,0,0,0,0,1
alabasteri,0,0,0,0,0,0,1,0,0,0
hälytys,0,0,0,1,0,1,0,0,1,0
hälyttävä,0,0,0,1,0,1,0,0,1,0
alb,0,0,0,0,0,0,0,0,0,1
albumi,0,0,0,0,0,0,0,0,0,0
alkemia,0,0,0,0,0,0,0,0,0,0
alkoholia,0,0,0,0,0,0,0,0,0,0
alkoholismi,1,0,1,1,0,1,0,1,0,0
alkovi,0,0,0,0,0,0,0,0,0,0
hälytys,0,0,0,0,0,0,0,0,0,0
valppautta,0,1,0,1,0,0,1,0,1,0
hälytyksiä,0,1,0,1,0,0,0,0,1,0
sinimailanen,0,0,0,0,0,0,0,0,0,0
algebra,0,0,0,0,0,0,0,0,0,0
algebrallinen,0,0,0,0,0,0,0,0,0,0
algoritmi,0,0,0,0,0,0,0,0,0,0
alibi,0,0,0,0,0,0,0,0,0,0
ulkomaalainen,0,0,1,1,0,1,0,0,0,0
vieraannuttaa,1,0,1,0,0,1,0,0,0,0
vieraantunut,0,0,0,0,0,1,0,1,0,0
vieraantuminen,1,0,1,1,0,1,0,1,0,0
palamaan,0,0,0,0,0,0,0,0,0,0
kohdistettu,0,0,0,0,0,0,0,0,0,0
linjaus,0,0,0,0,0,0,0,0,0,0
yhtä lailla,0,0,0,0,0,0,0,0,0,0
ravintoa,0,0,0,0,0,0,1,0,0,0
elatusapu,0,0,0,0,0,1,0,0,0,0
alikvootti,0,0,0,0,0,0,0,0,0,0
elossa,0,1,0,0,1,0,1,0,0,1
alkali,0,0,0,0,0,0,0,0,0,0
alkaloidit,0,0,0,0,0,0,0,0,0,0
lievittää,0,0,0,0,0,0,1,0,0,0
väite,1,0,0,0,0,1,0,0,0,0
väittää,0,0,0,0,0,1,0,0,0,0
väitetty,0,0,0,0,0,0,0,0,0,0
uskollisuutta,0,0,0,0,0,0,1,0,0,1
allegorinen,0,0,0,0,0,0,0,0,0,0
allegoria,0,0,0,0,0,0,0,0,0,0
allegro,0,0,0,0,0,0,1,0,0,0
lievittää,0,0,0,0,0,0,1,0,0,0
lievitystä,0,0,0,0,0,0,1,0,0,0
kuja,0,0,0,0,0,0,0,0,0,0
liittouma,0,0,0,0,0,0,0,0,0,1
liittolainen,0,0,0,0,0,0,1,0,0,1
alligaattori,0,0,0,0,0,0,0,0,0,0
jakaa,0,0,0,0,0,0,0,0,0,0
jakaminen,0,0,0,0,0,0,0,0,0,0
jakaa,0,0,0,0,0,0,0,0,0,0
siirtolapuutarha,0,0,0,0,0,0,0,0,0,0
sallittu,0,0,0,0,0,0,1,0,0,0
korvaus,0,0,0,0,0,0,0,0,0,0
sallittu,0,0,0,0,0,0,0,0,0,0
metalliseos,0,0,0,0,0,0,0,0,0,0
viehätys,0,1,0,0,1,0,1,0,1,0
houkutteleva,0,0,0,0,0,0,1,0,0,0
viittaus,0,0,0,0,0,0,0,0,0,0
tulva-,0,0,0,0,0,0,0,0,0,0
liittolainen,0,0,0,0,0,0,1,0,0,1
kalenteri,0,0,0,0,0,0,0,0,0,0
kaikkivaltias,0,0,0,0,0,0,1,0,0,0
korkealla,0,0,0,0,0,0,0,0,0,0
aloha,0,1,0,0,1,0,1,0,0,0
rinnalla,0,0,0,0,0,0,0,0,0,0
syrjässä,0,0,0,0,0,1,0,0,0,0
ääneen,0,0,0,0,0,0,0,0,0,0
aakkoset,0,0,0,0,0,0,0,0,0,0
aakkosjärjestyksessä,0,0,0,0,0,0,0,0,0,0
alttari,0,0,0,0,0,0,0,0,0,0
muuttaa,0,0,0,0,0,0,0,0,0,0
muutosta,0,0,0,0,0,0,0,0,0,0
kiista,1,0,0,0,0,1,0,0,0,0
muutettu,0,0,0,0,0,0,0,0,0,0
vaihtoehtoinen,0,0,0,0,0,0,0,0,0,0
vaihtoehto,0,0,0,0,0,0,0,0,0,0
korkeus,0,0,0,0,0,0,0,0,0,0
altto,0,0,0,0,0,0,0,0,0,0
yhteensä,0,0,0,0,0,0,0,0,0,0
alumni,0,0,0,0,0,0,0,0,0,0
alveolaarinen,0,0,0,0,0,0,0,0,0,0
amalgaami,0,0,0,0,0,0,0,0,0,0
yhdistäminen,0,0,0,0,0,0,0,0,0,0
koota,0,0,0,0,0,0,0,0,0,0
amatööri,0,0,0,0,0,0,0,0,0,0
hämmästyttää,0,0,0,0,0,0,0,0,1,0
hämmästys,0,0,0,0,0,0,0,0,0,0
mahtavasti,0,0,0,0,1,0,1,0,1,0
suurlähettiläs,0,0,0,0,0,0,1,0,0,1
keltainen,0,0,0,0,0,0,0,0,0,0
ambient,0,0,0,0,0,0,0,0,0,0
epäselvyyttä,0,0,0,0,0,0,0,0,0,0
epäselvä,0,0,0,0,0,1,0,0,0,0
laajuus,0,0,0,0,0,0,0,0,0,0
kunnianhimoa,0,1,0,0,1,0,1,0,0,1
kunnianhimoinen,0,0,0,0,0,0,0,0,0,0
ambulanssi,0,0,0,1,0,0,0,0,0,1
väijytys,1,0,0,1,0,1,0,0,1,0
parantaa,0,0,0,0,0,0,1,0,0,0
aamen,0,0,0,0,1,0,1,0,0,1
sovittavissa,0,0,0,0,0,0,1,0,0,0
muuttaa,0,0,0,0,0,0,1,0,0,0
muutos,0,0,0,0,0,0,0,0,0,0
muuttaa,0,0,0,0,0,0,1,0,0,0
viihtyisyyttä,0,0,0,0,0,0,1,0,0,0
ametisti,0,0,0,0,0,0,0,0,0,0
rakastettava,0,0,0,0,0,0,1,0,0,0
ystävällinen,0,0,0,0,1,0,1,0,0,0
keskellä,0,0,0,0,0,0,0,0,0,0
keskellä,0,0,0,0,0,0,0,0,0,0
ammoniakkia,0,0,1,0,0,0,0,0,0,0
ammukset,0,0,0,0,0,0,0,0,0,0
amnesia,0,0,0,0,0,1,0,0,0,0
armahdus,0,0,0,0,1,0,1,0,0,0
amorfinen,0,0,0,0,0,0,0,0,0,0
poistot,0,0,0,0,0,0,0,0,0,1
määrä,0,0,0,0,0,0,0,0,0,0
rakkaus,0,1,0,0,1,0,1,0,0,1
et-merkki,0,0,0,0,0,0,0,0,0,0
amfetamiinit,0,0,1,0,0,1,0,0,0,0
sammakkoeläin,0,0,0,0,0,0,0,0,0,0
amfibinen,0,0,0,0,0,0,0,0,0,0
amfiteatteri,0,0,0,0,0,0,0,0,0,0
vahvistusta,0,0,0,0,0,0,0,0,0,0
vahvistaa,0,0,0,0,0,0,0,0,0,0
amplitudi,0,0,0,0,0,0,0,0,0,0
runsaasti,0,0,0,0,0,0,0,0,0,0
amputaatio,0,0,0,0,0,0,0,0,0,0
amuletti,0,0,0,0,0,0,0,0,0,0
huvittaa,0,0,0,0,1,0,1,0,0,0
huvittunut,0,0,0,0,1,0,1,0,0,0
huvi,0,0,0,0,1,0,1,0,0,0
huvittava,0,0,0,0,1,0,1,0,0,0
ana,0,0,0,0,0,0,0,0,0,0
anakonda,0,0,1,1,0,1,0,0,0,0
anestesia,0,0,0,0,0,0,0,0,0,0
anestesia,0,0,0,0,0,0,0,0,0,0
anaali-,0,0,0,0,0,1,0,0,0,0
kipulääke,0,0,0,0,0,0,0,0,0,0
analoginen,0,0,0,0,0,0,0,0,0,0
analoginen,0,0,0,0,0,0,0,0,0,0
analogia,0,0,0,0,0,0,0,0,0,0
analyysi,0,0,0,0,0,0,0,0,0,0
analyytikko,0,1,0,0,0,0,1,0,0,1
analyyttinen,0,0,0,0,0,0,0,0,0,0
analysoida,0,0,0,0,0,0,0,0,0,0
analysaattori,0,0,0,0,0,0,0,0,0,0
anarkismi,1,0,0,1,0,1,0,0,0,0
anarkisti,1,0,0,1,0,1,0,0,0,0
anarkia,1,0,0,1,0,1,0,0,0,0
anastomoosi,0,0,0,0,0,0,0,0,0,0
anthema,1,0,1,1,0,1,0,1,0,0
anatominen,0,0,0,0,0,0,0,0,0,0
anatomia,0,0,0,0,0,0,0,0,0,0
esi-isä,0,0,0,0,0,0,0,0,0,0
esi-isien,0,0,0,0,0,0,0,0,0,1
syntyperä,0,0,0,0,0,0,0,0,0,0
ankkuri,0,0,0,0,0,0,1,0,0,0
ankkuripaikka,0,0,0,0,0,0,1,1,0,0
muinainen,0,0,0,0,0,1,0,0,0,0
liitännäinen,0,0,0,0,0,0,0,0,0,0
androgeeni,0,0,0,0,0,0,0,0,0,0
anemone,0,0,0,0,0,0,0,0,0,0
uudelleen,0,0,0,0,0,0,0,0,0,0
enkeli,0,1,0,0,1,0,1,0,1,1
enkeli,0,0,0,0,1,0,1,0,0,1
suututtaa,1,0,0,0,0,1,0,0,0,0
angina pectoris,0,0,0,1,0,1,0,0,0,0
angiografia,0,0,0,0,0,0,0,0,0,0
kulma,0,0,0,0,0,0,0,0,0,0
onkimista,0,1,0,0,0,1,0,0,0,0
vihainen,1,0,1,0,0,1,0,0,0,0
tuskaa,1,0,0,1,0,1,0,1,0,0
kulmikas,0,0,0,0,0,0,0,0,0,0
vedetön,0,0,0,0,0,0,0,0,0,0
eläin,0,0,0,0,0,0,0,0,0,0
animoida,0,0,0,0,0,0,1,0,0,0
animoitu,0,0,0,0,1,0,1,0,0,0
animaatio,0,0,0,0,0,0,0,0,0,0
vihamielisyyttä,1,0,1,1,0,1,0,1,0,0
animus,1,0,0,0,0,1,0,0,0,0
nilkka,0,0,0,0,0,0,0,0,0,0
vuosikirjat,0,0,0,0,0,0,0,0,0,0
liite,0,0,0,0,0,0,0,0,0,0
liittäminen,0,0,0,0,0,0,0,0,0,0
liite,0,0,0,0,0,0,0,0,0,0
tuhota,1,0,0,1,0,1,0,0,0,0
