Hebrew Word	 anger	 anticipation	 disgust	 fear	 joy	 negative	 positive	 sadness	 surprise	 trust	 Hebrew Word
פלה	 0	 0	 1	 1	 0	 1	 0	 1	 0	 0	 הפלה
של	 0	 0	 0	 0	 0	 1	 0	 1	 0	 0	 כּוֹשֵׁל
פע	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 בשפע
עיל	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 לְעֵיל
חיקה	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 שְׁחִיקָה
חוצ לארצ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 מחוץ לארץ
טל	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 לבטל
פתאומי	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 פִּתְאוֹמִי
פתאומ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 פִּתְאוֹם
רסה	 0	 0	 0	 0	 0	 1	 0	 1	 0	 0	 מוּרְסָה
עדר	 0	 0	 0	 1	 0	 1	 0	 1	 0	 0	 הֶעְדֵר
נעדר	 0	 0	 0	 0	 0	 1	 0	 1	 0	 0	 נֶעדָר
נפקד	 0	 0	 0	 0	 0	 1	 0	 1	 0	 0	 נִפקָד
עדרות	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 הֵעָדְרוּת
אבסינת	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 אַבְּסִינְתְ
חלט	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 מוּחלָט
חילה	 0	 0	 0	 0	 1	 0	 1	 0	 0	 1	 מְחִילָה
ספג	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 ספג
סופג	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 סוֹפֵג
רתק	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 מְרַתֵק
קליטה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 קְלִיטָה
תנזר	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 לְהִתְנַזֵר
תנזרות	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 הִתנַזְרוּת
פרישות	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 פְּרִישׁוּת
תקציר	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 תַקצִיר
פשטה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 הַפשָׁטָה
אבסורדי	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 אַבּסוּרדִי
אבסורדיות	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 אַבּסוּרדִיוּת
פע	 0	 1	 1	 0	 1	 1	 1	 0	 0	 1	 שפע
פע	 0	 0	 0	 0	 1	 0	 1	 0	 0	 0	 שׁוֹפֵעַ
תעללות	 1	 0	 1	 1	 0	 1	 0	 1	 0	 0	 התעללות
סמוכ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 סמוך
תהומי	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 aby
תהומ	 0	 0	 0	 0	 0	 1	 0	 1	 0	 0	 תְהוֹמִי
אקדמי	 0	 0	 0	 1	 0	 1	 0	 1	 0	 0	 תהום
אקדמיה	 0	 0	 0	 0	 0	 0	 1	 0	 0	 1	 אקדמי
סכימ	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 אֲקָדֶמִיָה
איצ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 לְהַסכִּים
תאוצה	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 להאיץ
טא	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 תְאוּצָה
דגיש	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 מִבטָא
קבל	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 לְהַדגִישׁ
קביל	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 לְקַבֵּל
קבלה	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 קָבִיל
גישה	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 קַבָּלָה
נגיש	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 גִישָׁה
צטרפות	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 נגיש
אבזר	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 הִצטָרְפוּת
תאונה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 אבזר
קרי	 0	 0	 0	 1	 0	 1	 0	 1	 1	 0	 תְאוּנָה
טעות	 0	 0	 0	 1	 0	 1	 0	 0	 1	 0	 מִקרִי
בח	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 בטעות
תאימ	 0	 1	 0	 0	 1	 0	 1	 0	 1	 1	 לשבח
דיור	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 להתאים
וי	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 דִיוּר
ות	 0	 1	 0	 0	 1	 0	 1	 0	 0	 1	 לִוּוּי
תלווה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 ללוות
תפ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 מתלווה
יג	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 שׁוּתָף
יג	 0	 0	 0	 0	 1	 0	 1	 0	 0	 0	 לְהַשִׂיג
ישג	 0	 0	 0	 0	 1	 0	 1	 0	 0	 0	 השיג
סכמ	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 הישג
תאמ	 0	 0	 0	 0	 0	 0	 1	 0	 0	 1	 הֶסכֵּם
אקורדיונ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 בהתאם
חשבונ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 אַקוֹרדִיוֹן
אחריות	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 חֶשְׁבּוֹן
אחראי	 0	 0	 0	 0	 0	 0	 1	 0	 0	 1	 אחריות
רואת חשבונ	 0	 0	 0	 0	 0	 0	 1	 0	 0	 1	 אַחֲרַאִי
ראיית חשבונ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 רואת חשבון
חשבונות	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 ראיית חשבון
סמכת	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 חשבונות
צטברות	 0	 0	 0	 0	 0	 0	 1	 0	 0	 1	 מוסמכת
צבור	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 הִצטַבְּרוּת
צבור	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 לצבור
צטברות	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 accueil
דיוק	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 לִצְבּוֹר
דויק	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 הצטברות
ארור	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 דיוק
אשמה	 0	 0	 0	 0	 0	 0	 1	 0	 0	 1	 מְדוּיָק
אשימ	 1	 0	 0	 1	 0	 1	 0	 1	 0	 0	 אָרוּר
אשמ	 1	 0	 1	 0	 0	 1	 0	 0	 0	 0	 הַאֲשָׁמָה
אשימ	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 מאשים
אשימ	 1	 0	 0	 1	 0	 1	 0	 0	 0	 0	 מואשם
רגיל	 1	 0	 0	 1	 0	 1	 0	 0	 0	 0	 מַאֲשִׁים
אס	 1	 0	 0	 1	 0	 1	 0	 0	 0	 0	 מאשים
אצטית	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 רָגִיל
אב	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 אֵס
יג	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 אצטית
שג	 0	 0	 0	 0	 0	 1	 0	 1	 0	 0	 כְּאֵב
אב	 0	 0	 0	 0	 1	 0	 1	 0	 0	 1	 לְהַשִׂיג
חומצה	 0	 1	 0	 0	 1	 0	 1	 0	 0	 1	 הֶשֵׂג
חומציות	 0	 0	 0	 0	 0	 1	 0	 1	 0	 0	 כּוֹאֵב
דות	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 חוּמצָה
דה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 חוּמצִיוּת
רה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 לְהוֹדוֹת
יא	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 הודה
אקוסטי	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 הכרה
אקוסטיקה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 שִׂיא
יר	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 אֲקוּסְטִי
רות	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 אֲקוּסְטִיקָה
יר	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 להכיר
סכמה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 הֶכֵּרוּת
רכוש	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 להכיר
רוכש	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 הסכמה
רכישה	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 לִרְכּוֹשׁ
רכישות	 0	 1	 0	 0	 0	 0	 1	 0	 0	 0	 רוכש
טח	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 רְכִישָׁה
דונמ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 רכישות
אקרובט	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 שטח
פעולה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 דונם
חק	 0	 0	 0	 1	 1	 0	 1	 0	 0	 1	 אַקרוֹבָּט
פעולה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 פעולה
ניתנ לפעולה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 משחק
פעיל	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 פעולה
פעילות	 1	 0	 1	 0	 0	 1	 0	 0	 0	 0	 ניתן לפעולה
חקנ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 פָּעִיל
שי	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 פעילות
ציאות	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 שַׂחְקָן
אקטואר	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 מַמָשִׁי
חדות	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 מְצִיאוּת
חוכמה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 אַקטוּאָר
אקופונקטורה	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 חדות
עשה	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 חוכמה
פתגמ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 אַקוּפּוּנקטוּרָה
נחוש	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 למעשה
סתגל	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 פִּתגָם
סגיל	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 נחוש
סיפ	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 לְהִסְתָגֵל
סיפ	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 סָגִיל
תוספת	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 לְהוֹסִיף
פתנ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 הוסיף
תמכרות	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 תוֹסֶפֶת
חיבור	 1	 0	 1	 1	 0	 1	 0	 1	 0	 0	 פֶּתֶן
נוספ	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 הִתמַכְּרוּת
תוספ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 חיבור
תובת	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 נוֹסָף
נמענ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 תוסף
תובות	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 כתובת
יומנ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 נִמעָן
ימות	 0	 1	 0	 0	 0	 0	 1	 0	 0	 0	 כתובות
נאות	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 מְיוּמָן
דבוק	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 הלימות
דבקות	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 נאות
חסיד	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 לִדבּוֹק
דבקות	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 דְבֵקוּת
דבקה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 חָסִיד
דבק	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 דבקות
ני	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 הַדבָּקָה
סמיכות	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 דבק
סמוכ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 adieu
תואר	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 שומני
צמודימ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 סמיכות
דחות	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 סמוך
דחיה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 תוֹאַר
פסוק	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 צמודים
פיטה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 לִדחוֹת
תוספת	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 דְחִיָה
תאימ	 0	 0	 0	 1	 0	 1	 0	 0	 0	 0	 לִפְסוֹק
תאמה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 שְׁפִיטָה
אדגובנט	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 תוספת
נהל	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 לְהַתְאִים
נהל	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 התאמה
נהלי	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 אדג'ובנט
ראוי להערצה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 לְנַהֵל
אדמירל	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 מִנהָל
אדמירליות	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 מנהלי
ערצה	 0	 0	 0	 0	 1	 0	 1	 0	 0	 1	 ראוי להערצה
תפעל	 0	 0	 0	 0	 0	 0	 1	 0	 0	 1	 אַדמִירָל
עריצ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 אדמירליות
קבילות	 0	 0	 0	 0	 1	 0	 1	 0	 0	 1	 הערצה
קביל	 0	 0	 0	 0	 0	 0	 1	 0	 0	 1	 לְהִתְפַּעֵל
דאה	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 מַעֲרִיץ
תוודות	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 קבילות
קבלה	 0	 0	 0	 0	 0	 0	 1	 0	 0	 1	 קָבִיל
דה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 הוֹדָאָה
דה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 להתוודות
תערובת	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 קבלה
תוכחה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 הודה
מה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 מודה
גיל ההתבגרות	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 תַעֲרוֹבֶת
תבגר	 0	 0	 0	 1	 0	 1	 0	 0	 0	 0	 תוֹכֵחָה
אמצ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 מְהוּמָה
אימוצ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 adobe
קסימ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 גיל ההתבגרות
ערצה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 מִתבַּגֵר
עריצ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 לְאַמֵץ
קשט	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 אימוץ
תכשיט	 0	 0	 0	 0	 1	 0	 1	 0	 0	 0	 מקסים
נסחפ	 0	 0	 0	 0	 1	 0	 1	 0	 0	 1	 הַעֲרָצָה
גר	 0	 1	 0	 0	 1	 0	 1	 0	 0	 1	 לְהַעֲרִיץ
ול	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 לְקַשֵׁט
ניאופ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 תַכשִׁיט
קדמ	 0	 1	 0	 1	 0	 1	 0	 1	 0	 0	 נִסחָף
תקדמ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 מְבוּגָר
תקדמות	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 מָהוּל
תקדמימ	 0	 0	 1	 0	 0	 1	 0	 1	 0	 0	 ניאוף
יתרונ	 0	 1	 0	 1	 1	 0	 1	 0	 1	 0	 לְקַדֵם
עיל	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 מִתקַדֵם
תגלות	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 הִתקַדְמוּת
רפתקה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 מתקדמים
רפתקנ	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 יתרון
רפתקני	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 מוֹעִיל
יריב	 0	 1	 0	 0	 1	 0	 1	 0	 0	 1	 הִתגַלוּת
ילי	 0	 1	 0	 0	 0	 0	 1	 0	 0	 0	 הַרפַּתקָה
צוקה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 הַרפַּתקָן
פרסמ	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 הרפתקני
פרסומת	 1	 0	 0	 0	 0	 1	 0	 0	 0	 0	 יָרִיב
עצה	 1	 0	 1	 1	 0	 1	 0	 1	 0	 0	 שְׁלִילִי
רצוי	 1	 0	 0	 1	 0	 1	 0	 1	 0	 0	 מְצוּקָה
ייעצ עצה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 לְפַרְסֵם
יעצ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 פרסומת
ייעוצ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 עֵצָה
יועצ	 0	 0	 0	 0	 0	 0	 1	 0	 0	 1	 רצוי
פרקליטות	 0	 0	 0	 0	 0	 0	 1	 0	 0	 1	 לייעץ עצה
עורכ דינ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 יעץ
אגיס	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 ייעוץ
אורור	 0	 0	 0	 0	 0	 0	 1	 0	 0	 1	 יוֹעֵץ
אנטנה	 1	 1	 0	 0	 1	 0	 1	 0	 0	 1	 פְּרַקְלִיטוּת
דה תעופה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 עוֹרֵך דִין
אוירודינמיקה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 אגיס
תורת התעופה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 אִוְרוּר
טוס	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 אַנטֶנָה
אסתטי	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 שְׂדֵה תְעוּפָה
אסתטיקה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 אֲוִירוֹדִינָמִיקָה
אטיולוגיה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 תוֹרַת הַתְעוּפָה
רחוק	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 מטוס
סביר פנימ	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 אֶסתֵטִי
פרשה	 0	 0	 0	 0	 1	 0	 1	 0	 0	 0	 אֶסתֵטִיקָה
פיע	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 אטיולוגיה
אהבה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 רחוק
חיבה	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 מַסבִּיר פָּנִים
תצהיר	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 פָּרָשָׁה
תצהיר	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 משפיע
סונפ	 0	 0	 0	 0	 1	 0	 1	 0	 0	 1	 אַהֲבָה
תייכות	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 חיבה
זיקה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 תצהיר
אשר	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 תצהיר
חיוב	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 מְסוּנָף
חיובי	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 השתייכות
חיוב	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 זִיקָה
דביק	 0	 0	 0	 0	 0	 0	 1	 0	 0	 1	 לְאַשֵׁר
יסר	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 חִיוּב
עונה	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 חִיוּבִי
מר	 0	 0	 0	 0	 0	 0	 1	 0	 0	 1	 בחיוב
פע	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 לְהַדבִּיק
אמיד	 0	 0	 0	 1	 0	 1	 0	 1	 0	 0	 לְיַסֵר
רשות לעצמו	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 מְעוּנֶה
עלבונ	 0	 0	 1	 1	 0	 1	 0	 1	 0	 0	 מֶמֶר
רחוק	 0	 0	 0	 0	 1	 0	 1	 0	 0	 0	 שֶׁפַע
פני כנ	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 אָמִיד
זכר לעיל	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 לְהַרְשׁוֹת לְעַצמוֹ
עיל	 1	 0	 1	 1	 0	 1	 0	 1	 1	 0	 עֶלבּוֹן
חושש	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 רחוק
חדש	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 לפני כן
אחורי	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 שהוזכר לעיל
תוצאות	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 לְעֵיל
אחרי הצהריימ	 0	 0	 0	 1	 0	 1	 0	 0	 0	 0	 חוֹשֵׁשׁ
טעמ לוואי	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 מִחָדָשׁ
חשבה שלאחר מכנ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 אחורי
רקת	 1	 0	 1	 1	 0	 1	 0	 1	 0	 0	 תוצאות
גיל	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 אחרי הצהריים
זקנ	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 טעם לוואי
סוכנות	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 מחשבה שלאחר מכן
סוכנ	 0	 0	 0	 1	 0	 0	 1	 0	 0	 1	 aga
צטברות	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 בַּרֶקֶת
חמיר	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 גיל
רגיז	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 זָקֵן
חמרה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 סוֹכְנוּת
קבצ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 סוֹכֵן
צבירה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 הִצטַבְּרוּת
תוקפנות	 1	 0	 0	 0	 0	 1	 0	 0	 0	 0	 מחמיר
תוקפני	 1	 0	 0	 0	 0	 1	 0	 1	 0	 0	 מַרגִיז
תוקפנ	 1	 0	 1	 0	 0	 1	 0	 0	 0	 0	 הַחמָרָה
זועזעת	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 לְקַבֵּץ
זריז	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 צבירה
זריזות	 1	 0	 0	 1	 0	 1	 0	 0	 0	 0	 תוֹקפָּנוּת
נסער	 1	 0	 0	 1	 0	 1	 0	 0	 0	 0	 תוֹקפָּנִי
