Czech Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
zdržení se hlasování,0,0,0,0,0,0,0,0,0,0
abstinence,0,0,0,0,0,0,0,0,0,0
abstraktní,0,0,0,0,0,0,0,0,0,0
abstrakce,0,0,0,0,0,0,0,0,0,0
absurdní,0,0,0,0,0,1,0,0,0,0
nesmyslnost,0,0,0,0,0,1,0,0,0,0
hojnost,0,1,1,0,1,1,1,0,0,1
hojný,0,0,0,0,1,0,1,0,0,0
zneužívání,1,0,1,1,0,1,0,1,0,0
opěra,0,0,0,0,0,0,0,0,0,0
propast,0,0,0,0,0,0,0,0,0,0
propastný,0,0,0,0,0,1,0,1,0,0
propast,0,0,0,1,0,1,0,1,0,0
akademický,0,0,0,0,0,0,1,0,0,1
akademie,0,0,0,0,0,0,1,0,0,0
přistoupit,0,0,0,0,0,0,0,0,0,0
urychlit,0,1,0,0,0,0,0,0,0,0
akcelerace,0,0,0,0,0,0,0,0,0,0
přízvuk,0,0,0,0,0,0,0,0,0,0
zdůraznit,0,0,0,0,0,0,0,0,0,0
akceptovat,0,0,0,0,0,0,0,0,0,0
přijatelný,0,0,0,0,0,0,1,0,0,0
přijetí,0,0,0,0,0,0,1,0,0,0
přístup,0,0,0,0,0,0,0,0,0,0
přístupný,0,0,0,0,0,0,1,0,0,0
přistoupení,0,0,0,0,0,0,0,0,0,0
příslušenství,0,0,0,0,0,0,0,0,0,0
nehoda,0,0,0,1,0,1,0,1,1,0
náhodné,0,0,0,1,0,1,0,0,1,0
náhodou,0,0,0,0,0,0,0,0,1,0
vyznamenání,0,1,0,0,1,0,1,0,1,1
ubytovat,0,0,0,0,0,0,0,0,0,0
ubytování,0,0,0,0,0,0,1,0,0,0
doprovod,0,1,0,0,1,0,1,0,0,1
doprovázet,0,0,0,0,0,0,0,0,0,0
doprovázející,0,0,0,0,0,0,0,0,0,0
spolupachatel,0,0,0,0,0,0,0,0,0,0
splnit,0,0,0,0,1,0,1,0,0,0
dokonalý,0,0,0,0,1,0,1,0,0,0
dosažení,0,0,0,0,0,0,1,0,0,0
souhlas,0,0,0,0,0,0,1,0,0,1
soulad,0,0,0,0,0,0,0,0,0,0
akordeon,0,0,0,0,0,0,0,0,0,0
účet,0,0,0,0,0,0,0,0,0,1
odpovědnost,0,0,0,0,0,0,1,0,0,1
odpovědný,0,0,0,0,0,0,1,0,0,1
účetní,0,0,0,0,0,0,0,0,0,1
účetnictví,0,0,0,0,0,0,0,0,0,0
účty,0,0,0,0,0,0,0,0,0,1
"akreditovat, pověřit, zplnomocnit",0,0,0,0,0,0,1,0,0,1
navýšení,0,0,0,0,0,0,0,0,0,0
narůstat,0,0,0,0,0,0,0,0,0,0
accueil,0,0,0,0,0,0,1,0,0,0
akumulovat,0,0,0,0,0,0,0,0,0,0
nashromáždění,0,0,0,0,0,0,0,0,0,0
přesnost,0,0,0,0,0,0,0,0,0,0
přesný,0,0,0,0,0,0,1,0,0,1
prokletý,1,0,0,1,0,1,0,1,0,0
obvinění,1,0,1,0,0,1,0,0,0,0
akuzativ,0,0,0,0,0,1,0,0,0,0
obžalovaný,1,0,0,1,0,1,0,0,0,0
žalobce,1,0,0,1,0,1,0,0,0,0
obviňující,1,0,0,1,0,1,0,0,0,0
zvyklý,0,0,0,0,0,0,0,0,0,0
eso,0,0,0,0,0,0,1,0,0,0
octový,0,0,0,0,0,0,0,0,0,0
bolest,0,0,0,0,0,1,0,1,0,0
dosáhnout,0,0,0,0,1,0,1,0,0,1
úspěch,0,1,0,0,1,0,1,0,0,1
bolavý,0,0,0,0,0,1,0,1,0,0
kyselina,0,0,0,0,0,1,0,0,0,0
kyselost,0,0,0,0,0,0,0,0,0,0
potvrdit,0,0,0,0,0,0,0,0,0,0
uznal,0,0,0,0,0,0,0,0,0,0
potvrzení,0,0,0,0,0,0,1,0,0,0
vrchol,0,0,0,0,0,0,0,0,0,0
akustický,0,0,0,0,0,0,0,0,0,0
akustika,0,0,0,0,0,0,0,0,0,0
seznámit,0,0,0,0,0,0,0,0,0,0
známost,0,0,0,0,0,0,0,0,0,0
obeznámený,0,0,0,0,0,0,0,0,0,0
souhlas,0,0,0,0,0,0,0,0,0,0
získat,0,0,0,0,0,0,1,0,0,0
získávání,0,1,0,0,0,0,1,0,0,0
získávání,0,0,0,0,0,0,0,0,0,0
akvizice,0,0,0,0,0,0,0,0,0,0
výměra,0,0,0,0,0,0,0,0,0,0
akrů,0,0,0,0,0,0,0,0,0,0
akrobat,0,0,0,1,1,0,1,0,0,1
akt,0,0,0,0,0,0,0,0,0,0
herectví,0,0,0,0,0,0,0,0,0,0
akce,0,0,0,0,0,0,1,0,0,0
akceschopný,1,0,1,0,0,1,0,0,0,0
aktivní,0,0,0,0,0,0,0,0,0,0
aktivita,0,0,0,0,0,0,0,0,0,0
herec,0,0,0,0,0,0,0,0,0,0
aktuální,0,0,0,0,0,0,1,0,0,0
skutečnost,0,0,0,0,0,0,0,0,0,0
pojistný matematik,0,0,0,0,0,0,0,0,0,0
ostrost,0,0,0,0,0,0,1,0,0,0
prozíravost,0,0,0,0,0,0,1,0,0,0
akupunktura,0,0,0,0,0,0,0,0,0,0
akutně,0,0,0,0,0,0,0,0,0,0
pořekadlo,0,0,0,0,0,0,0,0,0,0
neoblomný,0,0,0,0,0,0,0,0,0,0
přizpůsobit se,0,0,0,0,0,0,1,0,0,0
adaptabilní,0,0,0,0,0,0,1,0,0,0
přidat,0,0,0,0,0,0,0,0,0,0
přidal,0,0,0,0,0,0,0,0,0,0
dodatek,0,0,0,0,0,0,0,0,0,0
zmije,1,0,1,1,0,1,0,1,0,0
závislost,0,0,0,0,0,1,0,0,0,0
přidání,0,0,0,0,0,0,0,0,0,0
další,0,0,0,0,0,0,0,0,0,0
přísada,0,0,0,0,0,0,0,0,0,0
adresa,0,0,0,0,0,0,0,0,0,0
adresát,0,0,0,0,0,0,0,0,0,0
adresy,0,1,0,0,0,0,1,0,0,0
adept,0,0,0,0,0,0,1,0,0,0
přiměřenost,0,0,0,0,0,0,1,0,0,0
adekvátní,0,0,0,0,0,0,0,0,0,0
dodržovat,0,0,0,0,0,0,0,0,0,0
dodržování,0,0,0,0,0,0,0,0,0,0
přichycený,0,0,0,0,0,0,0,0,0,0
přilnavý,0,0,0,0,0,0,0,0,0,1
přilnavost,0,0,0,0,0,0,0,0,0,0
lepidlo,0,0,0,0,0,0,0,0,0,0
sbohem,0,0,0,0,0,0,0,0,0,0
tukové,0,0,0,0,0,1,0,0,0,0
sousedství,0,0,0,0,0,0,0,0,0,0
přilehlý,0,0,0,0,0,0,0,0,0,0
přídavné jméno,0,0,0,0,0,0,0,0,0,0
sousedící,0,0,0,0,0,0,0,0,0,0
odložit,0,0,0,0,0,0,0,0,0,0
odročení,0,0,0,0,0,0,0,0,0,0
rozhodnout,0,0,0,1,0,1,0,0,0,0
rozhodnutí,0,0,0,0,0,0,0,0,0,0
doplněk,0,0,0,0,0,0,1,0,0,0
upravit,0,0,0,0,0,0,0,0,0,0
nastavení,0,0,0,0,0,0,0,0,0,0
adjuvans,0,0,0,0,0,0,0,0,0,0
spravovat,0,0,0,0,0,0,0,0,0,0
správa,0,0,0,0,0,0,0,0,0,0
správní,0,0,0,0,0,0,0,0,0,1
obdivuhodný,0,0,0,0,1,0,1,0,0,1
admirál,0,0,0,0,0,0,1,0,0,1
admiralita,0,0,0,0,0,0,0,0,0,0
obdiv,0,0,0,0,1,0,1,0,0,1
obdivovat,0,0,0,0,0,0,1,0,0,1
obdivovatel,0,0,0,0,0,0,1,0,0,0
přípustnost,0,0,0,0,0,0,0,0,0,0
přípustné,0,0,0,0,0,0,1,0,0,1
přijetí,0,0,0,0,0,0,0,0,0,0
připustit,0,0,0,0,0,0,0,0,0,0
vstup,0,0,0,0,0,0,0,0,0,0
připustil,0,0,0,0,0,0,0,0,0,0
přiznávající,0,0,0,0,0,0,0,0,0,0
přísada,0,0,0,0,0,0,0,0,0,0
napomenutí,0,0,0,1,0,1,0,0,0,0
ado,0,0,0,0,0,0,0,0,0,0
adobe,0,0,0,0,0,0,0,0,0,0
dospívání,0,0,0,0,0,0,0,0,0,0
puberťák,0,0,0,0,0,0,0,0,0,0
přijmout,0,0,0,0,0,0,0,0,0,0
přijetí,0,0,0,0,0,0,0,0,0,0
rozkošný,0,0,0,0,1,0,1,0,0,0
adorace,0,0,0,0,1,0,1,0,0,1
uctívat,0,1,0,0,1,0,1,0,0,1
ozdobit,0,0,0,0,0,0,0,0,0,0
ozdoba,0,0,0,0,0,0,0,0,0,0
unášení,0,1,0,1,0,1,0,1,0,0
dospělý,0,0,0,0,0,0,0,0,0,0
falšované,0,0,0,0,0,1,0,0,0,0
cizoložství,0,0,1,0,0,1,0,1,0,0
záloha,0,1,0,1,1,0,1,0,1,0
pokročilý,0,0,0,0,0,0,1,0,0,0
pokrok,0,0,0,0,0,0,1,0,0,0
postupující,0,0,0,0,0,0,0,0,0,0
výhoda,0,0,0,0,0,0,1,0,0,0
výhodný,0,0,0,0,0,0,1,0,0,0
příchod,0,1,0,0,1,0,1,0,0,1
dobrodružství,0,1,0,0,0,0,1,0,0,0
dobrodruh,0,0,0,0,0,0,0,0,0,0
dobrodružný,0,0,0,0,0,0,1,0,0,0
protivník,1,0,0,0,0,1,0,0,0,0
nepříznivý,1,0,1,1,0,1,0,1,0,0
nepřízeň osudu,1,0,0,1,0,1,0,1,0,0
inzerovat,0,0,0,0,0,0,0,0,0,0
reklama,0,0,0,0,0,0,0,0,0,0
Rada,0,0,0,0,0,0,0,0,0,1
vhodné,0,0,0,0,0,0,1,0,0,1
"radit, podat zprávu",0,0,0,0,0,0,1,0,0,1
poradil,0,0,0,0,0,0,0,0,0,1
poradenství,0,0,0,0,0,0,0,0,0,0
poradce,0,0,0,0,0,0,1,0,0,1
obhajoba,1,1,0,0,1,0,1,0,0,1
zastánce,0,0,0,0,0,0,0,0,0,1
záštita,0,0,0,0,0,0,0,0,0,0
provzdušňování,0,0,0,0,0,0,0,0,0,0
letecký,0,0,0,0,0,0,0,0,0,0
letiště,0,0,0,0,0,0,0,0,0,0
aerodynamika,0,0,0,0,0,0,0,0,0,0
aeronautika,0,0,0,0,0,0,0,0,0,0
letoun,0,0,0,0,0,0,0,0,0,0
estetický,0,0,0,0,0,0,1,0,0,0
estetika,0,0,0,0,1,0,1,0,0,0
etiologie,0,0,0,0,0,0,0,0,0,0
daleko,0,0,0,0,0,0,0,0,0,0
přívětivý,0,0,0,0,0,0,1,0,0,0
aféra,0,0,0,0,0,0,0,0,0,0
ovlivňující,0,0,0,0,0,0,0,0,0,0
náklonnost,0,0,0,0,1,0,1,0,0,1
náklonnosti,0,0,0,0,0,0,0,0,0,0
affiche,0,0,0,0,0,0,0,0,0,0
přísežné prohlášení,0,0,0,0,0,0,0,0,0,0
přidružený,0,0,0,0,0,0,1,0,0,0
příslušnost,0,0,0,0,0,0,0,0,0,0
afinita,0,0,0,0,0,0,0,0,0,0
potvrdit,0,0,0,0,0,0,1,0,0,1
afirmace,0,0,0,0,0,0,1,0,0,0
kladný,0,0,0,0,0,0,1,0,0,0
kladně,0,0,0,0,0,0,1,0,0,1
připevnit,0,0,0,0,0,0,0,0,0,0
postihnout,0,0,0,1,0,1,0,1,0,0
postižený,0,0,0,0,0,1,0,0,0,0
utrpení,0,0,1,1,0,1,0,1,0,0
blahobyt,0,0,0,0,1,0,1,0,0,0
blahobytný,0,0,0,0,0,0,1,0,0,0
si dovolit,0,0,0,0,0,0,1,0,0,0
urážka,1,0,1,1,0,1,0,1,1,0
v zahraničí,0,0,0,0,0,0,0,0,0,0
předem,0,0,0,0,0,0,0,0,0,0
výše,0,0,0,0,0,0,0,0,0,0
výše řečeno,0,0,0,0,0,0,0,0,0,0
strach,0,0,0,1,0,1,0,0,0,0
znovu,0,0,0,0,0,0,0,0,0,0
na zádi,0,0,0,0,0,0,0,0,0,0
následky,1,0,1,1,0,1,0,1,0,0
odpoledne,0,0,0,0,0,0,0,0,0,0
pachuť,0,0,0,0,0,1,0,0,0,0
dodatečný nápad,0,0,0,0,0,0,0,0,0,0
aga,0,0,0,1,0,0,1,0,0,1
achát,0,0,0,0,0,0,0,0,0,0
stáří,0,0,0,0,0,0,0,0,0,0
letitý,0,0,0,0,0,0,0,0,0,0
agentura,0,0,0,0,0,0,0,0,0,0
činidlo,0,0,0,0,0,0,0,0,0,0
aglomerace,0,0,0,0,0,0,0,0,0,0
zhoršené,1,0,0,0,0,1,0,0,0,0
přitěžující,1,0,0,0,0,1,0,1,0,0
zhoršení,1,0,1,0,0,1,0,0,0,0
agregát,0,0,0,0,0,0,0,0,0,0
agregace,0,0,0,0,0,0,0,0,0,0
agrese,1,0,0,1,0,1,0,0,0,0
agresivní,1,0,0,1,0,1,0,0,0,0
agresor,1,0,0,1,0,1,0,0,0,0
zděšený,0,0,1,1,0,1,0,0,1,0
agilní,0,0,0,0,0,0,1,0,0,0
hbitost,0,0,0,0,0,0,1,0,0,0
rozrušený,1,0,0,0,0,1,0,0,0,0
míchání,1,0,0,0,0,1,0,0,0,0
agnostik,0,0,0,0,0,0,0,0,0,0
před,0,0,0,0,0,0,0,0,0,0
agonizující,0,0,0,1,0,1,0,0,0,0
muka,1,0,0,1,0,1,0,1,0,0
souhlasit,0,0,0,0,0,0,1,0,0,0
příjemný,0,0,0,0,0,0,1,0,0,1
souhlasil,0,0,0,0,0,0,1,0,0,1
souhlasit,0,0,0,0,0,0,1,0,0,1
dohoda,0,0,0,0,0,0,1,0,0,1
zemědělský,0,0,0,0,0,0,0,0,0,0
zemědělství,0,0,0,0,0,0,1,0,0,0
na mělčině,0,0,0,0,0,1,0,0,0,0
agua,0,0,0,0,0,0,0,0,0,0
vpřed,0,0,0,0,0,0,1,0,0,0
pomoc,0,0,0,0,0,0,1,0,0,0
pomáhání,0,0,0,0,0,0,1,0,0,0
ail,0,0,0,0,0,1,0,1,0,0
churavějící,0,0,0,1,0,1,0,1,0,0
indispozice,0,0,0,0,0,0,0,0,0,0
cíl,0,0,0,0,0,0,0,0,0,0
bezcílný,0,0,0,0,0,1,0,0,0,0
vzduch,0,0,0,0,0,0,0,0,0,0
airbag,0,0,0,0,0,0,0,0,0,0
leteckou přepravu,0,0,0,0,0,0,0,0,0,0
letecká linka,0,0,0,0,0,0,0,0,0,0
letec,0,0,0,0,0,0,0,0,0,0
letoun,0,0,0,0,0,0,0,0,0,0
LETIŠTĚ,0,1,0,0,0,0,0,0,0,0
vysílá,0,0,1,0,0,1,0,0,0,0
vzducholoď,0,0,0,0,0,0,0,0,0,0
ulička,0,0,0,0,0,0,0,0,0,0
ait,0,0,0,0,0,0,0,0,0,0
pootevřený,0,0,0,0,0,0,0,0,0,0
podobný,0,0,0,0,0,0,0,0,0,1
alabastr,0,0,0,0,0,0,1,0,0,0
poplach,0,0,0,1,0,1,0,0,1,0
alarmující,0,0,0,1,0,1,0,0,1,0
alb,0,0,0,0,0,0,0,0,0,1
album,0,0,0,0,0,0,0,0,0,0
alchymie,0,0,0,0,0,0,0,0,0,0
alkohol,0,0,0,0,0,0,0,0,0,0
alkoholismus,1,0,1,1,0,1,0,1,0,0
výklenek,0,0,0,0,0,0,0,0,0,0
upozornění,0,0,0,0,0,0,0,0,0,0
ostražitost,0,1,0,1,0,0,1,0,1,0
upozornění,0,1,0,1,0,0,0,0,1,0
vojtěška,0,0,0,0,0,0,0,0,0,0
algebra,0,0,0,0,0,0,0,0,0,0
algebraický,0,0,0,0,0,0,0,0,0,0
algoritmus,0,0,0,0,0,0,0,0,0,0
alibi,0,0,0,0,0,0,0,0,0,0
mimozemšťan,0,0,1,1,0,1,0,0,0,0
odcizit,1,0,1,0,0,1,0,0,0,0
odcizený,0,0,0,0,0,1,0,1,0,0
odcizení,1,0,1,1,0,1,0,1,0,0
vystoupit,0,0,0,0,0,0,0,0,0,0
zarovnaný,0,0,0,0,0,0,0,0,0,0
zarovnání,0,0,0,0,0,0,0,0,0,0
podobně,0,0,0,0,0,0,0,0,0,0
stravování,0,0,0,0,0,0,1,0,0,0
výživné,0,0,0,0,0,1,0,0,0,0
alikvotně,0,0,0,0,0,0,0,0,0,0
naživu,0,1,0,0,1,0,1,0,0,1
alkálie,0,0,0,0,0,0,0,0,0,0
alkaloidy,0,0,0,0,0,0,0,0,0,0
zmírnit,0,0,0,0,0,0,1,0,0,0
tvrzení,1,0,0,0,0,1,0,0,0,0
tvrdit,0,0,0,0,0,1,0,0,0,0
údajný,0,0,0,0,0,0,0,0,0,0
věrnost,0,0,0,0,0,0,1,0,0,1
alegorický,0,0,0,0,0,0,0,0,0,0
alegorie,0,0,0,0,0,0,0,0,0,0
allegro,0,0,0,0,0,0,1,0,0,0
zmírnit,0,0,0,0,0,0,1,0,0,0
zmírnění,0,0,0,0,0,0,1,0,0,0
alej,0,0,0,0,0,0,0,0,0,0
aliance,0,0,0,0,0,0,0,0,0,1
spojenecký,0,0,0,0,0,0,1,0,0,1
aligátor,0,0,0,0,0,0,0,0,0,0
přidělit,0,0,0,0,0,0,0,0,0,0
přidělení,0,0,0,0,0,0,0,0,0,0
přidělovat,0,0,0,0,0,0,0,0,0,0
přidělování,0,0,0,0,0,0,0,0,0,0
přípustné,0,0,0,0,0,0,1,0,0,0
příspěvek,0,0,0,0,0,0,0,0,0,0
povoleno,0,0,0,0,0,0,0,0,0,0
slitina,0,0,0,0,0,0,0,0,0,0
lákat,0,1,0,0,1,0,1,0,1,0
svůdný,0,0,0,0,0,0,1,0,0,0
narážka,0,0,0,0,0,0,0,0,0,0
aluviální,0,0,0,0,0,0,0,0,0,0
spojenec,0,0,0,0,0,0,1,0,0,1
almanach,0,0,0,0,0,0,0,0,0,0
všemohoucí,0,0,0,0,0,0,1,0,0,0
nahoře,0,0,0,0,0,0,0,0,0,0
aloha,0,1,0,0,1,0,1,0,0,0
vedle,0,0,0,0,0,0,0,0,0,0
rezervovaný,0,0,0,0,0,1,0,0,0,0
nahlas,0,0,0,0,0,0,0,0,0,0
abeceda,0,0,0,0,0,0,0,0,0,0
abecední,0,0,0,0,0,0,0,0,0,0
oltář,0,0,0,0,0,0,0,0,0,0
změnit,0,0,0,0,0,0,0,0,0,0
změna,0,0,0,0,0,0,0,0,0,0
hádka,1,0,0,0,0,1,0,0,0,0
změněno,0,0,0,0,0,0,0,0,0,0
střídat,0,0,0,0,0,0,0,0,0,0
alternativní,0,0,0,0,0,0,0,0,0,0
nadmořská výška,0,0,0,0,0,0,0,0,0,0
alt,0,0,0,0,0,0,0,0,0,0
celkem,0,0,0,0,0,0,0,0,0,0
absolvent,0,0,0,0,0,0,0,0,0,0
alveolární,0,0,0,0,0,0,0,0,0,0
amalgám,0,0,0,0,0,0,0,0,0,0
sloučení,0,0,0,0,0,0,0,0,0,0
hromadit,0,0,0,0,0,0,0,0,0,0
amatér,0,0,0,0,0,0,0,0,0,0
ohromit,0,0,0,0,0,0,0,0,1,0
ohromení,0,0,0,0,0,0,0,0,0,0
úžasně,0,0,0,0,1,0,1,0,1,0
velvyslanec,0,0,0,0,0,0,1,0,0,1
jantar,0,0,0,0,0,0,0,0,0,0
okolní,0,0,0,0,0,0,0,0,0,0
dvojznačnost,0,0,0,0,0,0,0,0,0,0
dvojznačný,0,0,0,0,0,1,0,0,0,0
ambitu,0,0,0,0,0,0,0,0,0,0
ctižádost,0,1,0,0,1,0,1,0,0,1
ambiciózní,0,0,0,0,0,0,0,0,0,0
záchranná služba,0,0,0,1,0,0,0,0,0,1
přepadení,1,0,0,1,0,1,0,0,1,0
zlepšit,0,0,0,0,0,0,1,0,0,0
Amen,0,0,0,0,1,0,1,0,0,1
přístupný,0,0,0,0,0,0,1,0,0,0
upravit,0,0,0,0,0,0,1,0,0,0
pozměňovací návrh,0,0,0,0,0,0,0,0,0,0
opravuje,0,0,0,0,0,0,1,0,0,0
S vybavením,0,0,0,0,0,0,1,0,0,0
ametyst,0,0,0,0,0,0,0,0,0,0
přívětivý,0,0,0,0,0,0,1,0,0,0
přátelské,0,0,0,0,1,0,1,0,0,0
uprostřed,0,0,0,0,0,0,0,0,0,0
uprostřed,0,0,0,0,0,0,0,0,0,0
amoniak,0,0,1,0,0,0,0,0,0,0
munice,0,0,0,0,0,0,0,0,0,0
amnézie,0,0,0,0,0,1,0,0,0,0
amnestie,0,0,0,0,1,0,1,0,0,0
amorfní,0,0,0,0,0,0,0,0,0,0
amortizace,0,0,0,0,0,0,0,0,0,1
množství,0,0,0,0,0,0,0,0,0,0
amour,0,1,0,0,1,0,1,0,0,1
ampersand,0,0,0,0,0,0,0,0,0,0
amfetaminy,0,0,1,0,0,1,0,0,0,0
obojživelník,0,0,0,0,0,0,0,0,0,0
obojživelný,0,0,0,0,0,0,0,0,0,0
amfiteátr,0,0,0,0,0,0,0,0,0,0
zesílení,0,0,0,0,0,0,0,0,0,0
zesilovat,0,0,0,0,0,0,0,0,0,0
amplituda,0,0,0,0,0,0,0,0,0,0
bohatě,0,0,0,0,0,0,0,0,0,0
amputace,0,0,0,0,0,0,0,0,0,0
amulet,0,0,0,0,0,0,0,0,0,0
bavit,0,0,0,0,1,0,1,0,0,0
pobavený,0,0,0,0,1,0,1,0,0,0
pobavení,0,0,0,0,1,0,1,0,0,0
zábavný,0,0,0,0,1,0,1,0,0,0
ana,0,0,0,0,0,0,0,0,0,0
anakonda,0,0,1,1,0,1,0,0,0,0
anestézie,0,0,0,0,0,0,0,0,0,0
anestetikum,0,0,0,0,0,0,0,0,0,0
anální,0,0,0,0,0,1,0,0,0,0
analgetikum,0,0,0,0,0,0,0,0,0,0
analogický,0,0,0,0,0,0,0,0,0,0
analog,0,0,0,0,0,0,0,0,0,0
analogie,0,0,0,0,0,0,0,0,0,0
analýza,0,0,0,0,0,0,0,0,0,0
analytik,0,1,0,0,0,0,1,0,0,1
analytický,0,0,0,0,0,0,0,0,0,0
analyzovat,0,0,0,0,0,0,0,0,0,0
analyzátor,0,0,0,0,0,0,0,0,0,0
anarchismus,1,0,0,1,0,1,0,0,0,0
anarchista,1,0,0,1,0,1,0,0,0,0
anarchie,1,0,0,1,0,1,0,0,0,0
anastomóza,0,0,0,0,0,0,0,0,0,0
anathema,1,0,1,1,0,1,0,1,0,0
anatomický,0,0,0,0,0,0,0,0,0,0
anatomie,0,0,0,0,0,0,0,0,0,0
předek,0,0,0,0,0,0,0,0,0,0
rodový,0,0,0,0,0,0,0,0,0,1
původ,0,0,0,0,0,0,0,0,0,0
Kotva,0,0,0,0,0,0,1,0,0,0
kotviště,0,0,0,0,0,0,1,1,0,0
starověký,0,0,0,0,0,1,0,0,0,0
vedlejší,0,0,0,0,0,0,0,0,0,0
androgen,0,0,0,0,0,0,0,0,0,0
sasanka,0,0,0,0,0,0,0,0,0,0
znovu,0,0,0,0,0,0,0,0,0,0
anděl,0,1,0,0,1,0,1,0,1,1
andělský,0,0,0,0,1,0,1,0,0,1
hněv,1,0,0,0,0,1,0,0,0,0
angina pectoris,0,0,0,1,0,1,0,0,0,0
angiografie,0,0,0,0,0,0,0,0,0,0
úhel,0,0,0,0,0,0,0,0,0,0
rybaření,0,1,0,0,0,1,0,0,0,0
rozzlobený,1,0,1,0,0,1,0,0,0,0
úzkost,1,0,0,1,0,1,0,1,0,0
hranatý,0,0,0,0,0,0,0,0,0,0
bezvodý,0,0,0,0,0,0,0,0,0,0
zvíře,0,0,0,0,0,0,0,0,0,0
animovat,0,0,0,0,0,0,1,0,0,0
animovaný,0,0,0,0,1,0,1,0,0,0
animace,0,0,0,0,0,0,0,0,0,0
nepřátelství,1,0,1,1,0,1,0,1,0,0
animus,1,0,0,0,0,1,0,0,0,0
kotník,0,0,0,0,0,0,0,0,0,0
anály,0,0,0,0,0,0,0,0,0,0
Příloha,0,0,0,0,0,0,0,0,0,0
anexe,0,0,0,0,0,0,0,0,0,0
přístavba,0,0,0,0,0,0,0,0,0,0
zničit,1,0,0,1,0,1,0,0,0,0
zničena,1,0,0,1,0,1,0,1,0,0
zničení,1,0,0,1,0,1,0,1,0,0
opatřit poznámkami,0,0,0,0,0,0,0,0,0,0
anotace,0,0,0,0,0,0,0,0,0,0
oznámit,0,0,0,0,0,0,0,0,0,0
oznámení,0,1,0,0,0,0,0,0,0,0
otravovat,1,0,1,0,0,1,0,0,0,0
nepříjemnost,1,0,1,0,0,1,0,0,0,0
nepříjemný,1,0,0,0,0,1,0,0,0,0
anuita,0,0,0,0,0,0,0,0,0,0
zrušit,0,0,0,0,0,1,0,0,0,0
prstencový,0,0,0,0,0,0,0,0,0,0
zrušení,0,0,0,0,0,1,0,1,0,0
prstenec,0,0,0,0,0,0,0,0,0,0
pomazání,0,0,0,0,0,0,0,0,0,0
anomální,0,0,0,0,0,0,0,0,0,0
anomálie,0,0,0,1,0,1,0,0,1,0
anon,0,0,0,0,0,0,0,0,0,0
anonymní,0,0,0,0,0,1,0,0,0,0
Odpovědět,0,0,0,0,0,0,0,0,0,0
