Hebrew Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
סָגִיל,0,0,0,0,0,0,1,0,0,0
לְהוֹסִיף,0,0,0,0,0,0,0,0,0,0
הוסיף,0,0,0,0,0,0,0,0,0,0
תוֹסֶפֶת,0,0,0,0,0,0,0,0,0,0
פֶּתֶן,1,0,1,1,0,1,0,1,0,0
הִתמַכְּרוּת,0,0,0,0,0,1,0,0,0,0
חיבור,0,0,0,0,0,0,0,0,0,0
נוֹסָף,0,0,0,0,0,0,0,0,0,0
תוסף,0,0,0,0,0,0,0,0,0,0
כתובת,0,0,0,0,0,0,0,0,0,0
נִמעָן,0,0,0,0,0,0,0,0,0,0
כתובות,0,1,0,0,0,0,1,0,0,0
מְיוּמָן,0,0,0,0,0,0,1,0,0,0
הלימות,0,0,0,0,0,0,1,0,0,0
נאות,0,0,0,0,0,0,0,0,0,0
לִדבּוֹק,0,0,0,0,0,0,0,0,0,0
דְבֵקוּת,0,0,0,0,0,0,0,0,0,0
חָסִיד,0,0,0,0,0,0,0,0,0,0
דבקות,0,0,0,0,0,0,0,0,0,1
הַדבָּקָה,0,0,0,0,0,0,0,0,0,0
דבק,0,0,0,0,0,0,0,0,0,0
adieu,0,0,0,0,0,0,0,0,0,0
שומני,0,0,0,0,0,1,0,0,0,0
סמיכות,0,0,0,0,0,0,0,0,0,0
סמוך,0,0,0,0,0,0,0,0,0,0
תוֹאַר,0,0,0,0,0,0,0,0,0,0
צמודים,0,0,0,0,0,0,0,0,0,0
לִדחוֹת,0,0,0,0,0,0,0,0,0,0
דְחִיָה,0,0,0,0,0,0,0,0,0,0
לִפְסוֹק,0,0,0,1,0,1,0,0,0,0
שְׁפִיטָה,0,0,0,0,0,0,0,0,0,0
תוספת,0,0,0,0,0,0,1,0,0,0
לְהַתְאִים,0,0,0,0,0,0,0,0,0,0
התאמה,0,0,0,0,0,0,0,0,0,0
אדג'ובנט,0,0,0,0,0,0,0,0,0,0
לְנַהֵל,0,0,0,0,0,0,0,0,0,0
מִנהָל,0,0,0,0,0,0,0,0,0,0
מנהלי,0,0,0,0,0,0,0,0,0,1
ראוי להערצה,0,0,0,0,1,0,1,0,0,1
אַדמִירָל,0,0,0,0,0,0,1,0,0,1
אדמירליות,0,0,0,0,0,0,0,0,0,0
הערצה,0,0,0,0,1,0,1,0,0,1
לְהִתְפַּעֵל,0,0,0,0,0,0,1,0,0,1
מַעֲרִיץ,0,0,0,0,0,0,1,0,0,0
קבילות,0,0,0,0,0,0,0,0,0,0
קָבִיל,0,0,0,0,0,0,1,0,0,1
הוֹדָאָה,0,0,0,0,0,0,0,0,0,0
להתוודות,0,0,0,0,0,0,0,0,0,0
קבלה,0,0,0,0,0,0,0,0,0,0
הודה,0,0,0,0,0,0,0,0,0,0
מודה,0,0,0,0,0,0,0,0,0,0
תַעֲרוֹבֶת,0,0,0,0,0,0,0,0,0,0
תוֹכֵחָה,0,0,0,1,0,1,0,0,0,0
מְהוּמָה,0,0,0,0,0,0,0,0,0,0
adobe,0,0,0,0,0,0,0,0,0,0
גיל ההתבגרות,0,0,0,0,0,0,0,0,0,0
מִתבַּגֵר,0,0,0,0,0,0,0,0,0,0
לְאַמֵץ,0,0,0,0,0,0,0,0,0,0
אימוץ,0,0,0,0,0,0,0,0,0,0
מקסים,0,0,0,0,1,0,1,0,0,0
הַעֲרָצָה,0,0,0,0,1,0,1,0,0,1
לְהַעֲרִיץ,0,1,0,0,1,0,1,0,0,1
לְקַשֵׁט,0,0,0,0,0,0,0,0,0,0
תַכשִׁיט,0,0,0,0,0,0,0,0,0,0
נִסחָף,0,1,0,1,0,1,0,1,0,0
מְבוּגָר,0,0,0,0,0,0,0,0,0,0
מָהוּל,0,0,0,0,0,1,0,0,0,0
ניאוף,0,0,1,0,0,1,0,1,0,0
לְקַדֵם,0,1,0,1,1,0,1,0,1,0
מִתקַדֵם,0,0,0,0,0,0,1,0,0,0
הִתקַדְמוּת,0,0,0,0,0,0,1,0,0,0
מתקדמים,0,0,0,0,0,0,0,0,0,0
יתרון,0,0,0,0,0,0,1,0,0,0
מוֹעִיל,0,0,0,0,0,0,1,0,0,0
הִתגַלוּת,0,1,0,0,1,0,1,0,0,1
הַרפַּתקָה,0,1,0,0,0,0,1,0,0,0
הַרפַּתקָן,0,0,0,0,0,0,0,0,0,0
הרפתקני,0,0,0,0,0,0,1,0,0,0
יָרִיב,1,0,0,0,0,1,0,0,0,0
שְׁלִילִי,1,0,1,1,0,1,0,1,0,0
מְצוּקָה,1,0,0,1,0,1,0,1,0,0
לְפַרְסֵם,0,0,0,0,0,0,0,0,0,0
פרסומת,0,0,0,0,0,0,0,0,0,0
עֵצָה,0,0,0,0,0,0,0,0,0,1
רצוי,0,0,0,0,0,0,1,0,0,1
לייעץ עצה,0,0,0,0,0,0,1,0,0,1
יעץ,0,0,0,0,0,0,0,0,0,1
ייעוץ,0,0,0,0,0,0,0,0,0,0
יוֹעֵץ,0,0,0,0,0,0,1,0,0,1
פְּרַקְלִיטוּת,1,1,0,0,1,0,1,0,0,1
עוֹרֵך דִין,0,0,0,0,0,0,0,0,0,1
אגיס,0,0,0,0,0,0,0,0,0,0
אִוְרוּר,0,0,0,0,0,0,0,0,0,0
אַנטֶנָה,0,0,0,0,0,0,0,0,0,0
שְׂדֵה תְעוּפָה,0,0,0,0,0,0,0,0,0,0
אֲוִירוֹדִינָמִיקָה,0,0,0,0,0,0,0,0,0,0
תוֹרַת הַתְעוּפָה,0,0,0,0,0,0,0,0,0,0
מטוס,0,0,0,0,0,0,0,0,0,0
אֶסתֵטִי,0,0,0,0,0,0,1,0,0,0
אֶסתֵטִיקָה,0,0,0,0,1,0,1,0,0,0
אטיולוגיה,0,0,0,0,0,0,0,0,0,0
רחוק,0,0,0,0,0,0,0,0,0,0
מַסבִּיר פָּנִים,0,0,0,0,0,0,1,0,0,0
פָּרָשָׁה,0,0,0,0,0,0,0,0,0,0
משפיע,0,0,0,0,0,0,0,0,0,0
אַהֲבָה,0,0,0,0,1,0,1,0,0,1
חיבה,0,0,0,0,0,0,0,0,0,0
תצהיר,0,0,0,0,0,0,0,0,0,0
תצהיר,0,0,0,0,0,0,0,0,0,0
מְסוּנָף,0,0,0,0,0,0,1,0,0,0
השתייכות,0,0,0,0,0,0,0,0,0,0
זִיקָה,0,0,0,0,0,0,0,0,0,0
לְאַשֵׁר,0,0,0,0,0,0,1,0,0,1
חִיוּב,0,0,0,0,0,0,1,0,0,0
חִיוּבִי,0,0,0,0,0,0,1,0,0,0
בחיוב,0,0,0,0,0,0,1,0,0,1
לְהַדבִּיק,0,0,0,0,0,0,0,0,0,0
לְיַסֵר,0,0,0,1,0,1,0,1,0,0
מְעוּנֶה,0,0,0,0,0,1,0,0,0,0
מֶמֶר,0,0,1,1,0,1,0,1,0,0
שֶׁפַע,0,0,0,0,1,0,1,0,0,0
אָמִיד,0,0,0,0,0,0,1,0,0,0
לְהַרְשׁוֹת לְעַצמוֹ,0,0,0,0,0,0,1,0,0,0
עֶלבּוֹן,1,0,1,1,0,1,0,1,1,0
רחוק,0,0,0,0,0,0,0,0,0,0
לפני כן,0,0,0,0,0,0,0,0,0,0
שהוזכר לעיל,0,0,0,0,0,0,0,0,0,0
לְעֵיל,0,0,0,0,0,0,0,0,0,0
חוֹשֵׁשׁ,0,0,0,1,0,1,0,0,0,0
מִחָדָשׁ,0,0,0,0,0,0,0,0,0,0
אחורי,0,0,0,0,0,0,0,0,0,0
תוצאות,1,0,1,1,0,1,0,1,0,0
אחרי הצהריים,0,0,0,0,0,0,0,0,0,0
טעם לוואי,0,0,0,0,0,1,0,0,0,0
מחשבה שלאחר מכן,0,0,0,0,0,0,0,0,0,0
aga,0,0,0,1,0,0,1,0,0,1
בַּרֶקֶת,0,0,0,0,0,0,0,0,0,0
גיל,0,0,0,0,0,0,0,0,0,0
זָקֵן,0,0,0,0,0,0,0,0,0,0
סוֹכְנוּת,0,0,0,0,0,0,0,0,0,0
סוֹכֵן,0,0,0,0,0,0,0,0,0,0
הִצטַבְּרוּת,0,0,0,0,0,0,0,0,0,0
מחמיר,1,0,0,0,0,1,0,0,0,0
מַרגִיז,1,0,0,0,0,1,0,1,0,0
הַחמָרָה,1,0,1,0,0,1,0,0,0,0
לְקַבֵּץ,0,0,0,0,0,0,0,0,0,0
צבירה,0,0,0,0,0,0,0,0,0,0
תוֹקפָּנוּת,1,0,0,1,0,1,0,0,0,0
תוֹקפָּנִי,1,0,0,1,0,1,0,0,0,0
תוֹקפָּן,1,0,0,1,0,1,0,0,0,0
מזועזעת,0,0,1,1,0,1,0,0,1,0
זָרִיז,0,0,0,0,0,0,1,0,0,0
זְרִיזוּת,0,0,0,0,0,0,1,0,0,0
נִסעָר,1,0,0,0,0,1,0,0,0,0
תסיסה,1,0,0,0,0,1,0,0,0,0
כּוֹפֵר,0,0,0,0,0,0,0,0,0,0
לִפנֵי,0,0,0,0,0,0,0,0,0,0
מייסר,0,0,0,1,0,1,0,0,0,0
יסורים,1,0,0,1,0,1,0,1,0,0
לְהַסכִּים,0,0,0,0,0,0,1,0,0,0
נָעִים,0,0,0,0,0,0,1,0,0,1
מוסכם,0,0,0,0,0,0,1,0,0,1
מסכים,0,0,0,0,0,0,1,0,0,1
הֶסכֵּם,0,0,0,0,0,0,1,0,0,1
חַקלָאִי,0,0,0,0,0,0,0,0,0,0
חַקלָאוּת,0,0,0,0,0,0,1,0,0,0
עַל שִׂרטוֹן,0,0,0,0,0,1,0,0,0,0
אגואה,0,0,0,0,0,0,0,0,0,0
קָדִימָה,0,0,0,0,0,0,1,0,0,0
סיוע,0,0,0,0,0,0,1,0,0,0
סיוע,0,0,0,0,0,0,1,0,0,0
ail,0,0,0,0,0,1,0,1,0,0
חוֹלָנִי,0,0,0,1,0,1,0,1,0,0
חוֹלִי,0,0,0,0,0,0,0,0,0,0
מַטָרָה,0,0,0,0,0,0,0,0,0,0
חֲסַר תַכְלִית,0,0,0,0,0,1,0,0,0,0
אוויר,0,0,0,0,0,0,0,0,0,0
כרית אוויר,0,0,0,0,0,0,0,0,0,0
רַכֶּבֶת אֲוִירִית,0,0,0,0,0,0,0,0,0,0
חֶברַת תְעוּפָה,0,0,0,0,0,0,0,0,0,0
איש אוויר,0,0,0,0,0,0,0,0,0,0
מטוס,0,0,0,0,0,0,0,0,0,0
שדה תעופה,0,1,0,0,0,0,0,0,0,0
עולה לאוויר,0,0,1,0,0,1,0,0,0,0
ספינת אוויר,0,0,0,0,0,0,0,0,0,0
מַעֲבָר,0,0,0,0,0,0,0,0,0,0
אייט,0,0,0,0,0,0,0,0,0,0
פָּתוּחַ בְּמִקצָת,0,0,0,0,0,0,0,0,0,0
דומה,0,0,0,0,0,0,0,0,0,1
בַּהַט,0,0,0,0,0,0,1,0,0,0
אזעקה,0,0,0,1,0,1,0,0,1,0
מדאיג,0,0,0,1,0,1,0,0,1,0
alb,0,0,0,0,0,0,0,0,0,1
אַלבּוֹם,0,0,0,0,0,0,0,0,0,0
אַלכִּימְיָה,0,0,0,0,0,0,0,0,0,0
כּוֹהֶל,0,0,0,0,0,0,0,0,0,0
כָּהֳלִיוּת,1,0,1,1,0,1,0,1,0,0
גוּמחָה,0,0,0,0,0,0,0,0,0,0
עֵרָנִי,0,0,0,0,0,0,0,0,0,0
עֵרָנוּת,0,1,0,1,0,0,1,0,1,0
התראות,0,1,0,1,0,0,0,0,1,0
אַספֶּסֶת,0,0,0,0,0,0,0,0,0,0
אַלגֶבּרָה,0,0,0,0,0,0,0,0,0,0
אַלגֶבּרִי,0,0,0,0,0,0,0,0,0,0
אַלגוֹרִיתְם,0,0,0,0,0,0,0,0,0,0
אַלִיבִּי,0,0,0,0,0,0,0,0,0,0
חייזר,0,0,1,1,0,1,0,0,0,0
לְהַרְחִיק,1,0,1,0,0,1,0,0,0,0
מנוכר,0,0,0,0,0,1,0,1,0,0
הִתנַכְּרוּת,1,0,1,1,0,1,0,1,0,0
מוּאָר,0,0,0,0,0,0,0,0,0,0
מיושר,0,0,0,0,0,0,0,0,0,0
יישור,0,0,0,0,0,0,0,0,0,0
דוֹמֶה,0,0,0,0,0,0,0,0,0,0
מזון,0,0,0,0,0,0,1,0,0,0
מְזוֹנוֹת,0,0,0,0,0,1,0,0,0,0
aliquot,0,0,0,0,0,0,0,0,0,0
בחיים,0,1,0,0,1,0,1,0,0,1
אַלקָלִי,0,0,0,0,0,0,0,0,0,0
אלקלואידים,0,0,0,0,0,0,0,0,0,0
לְהַרְגִיעַ,0,0,0,0,0,0,1,0,0,0
האשמה,1,0,0,0,0,1,0,0,0,0
לטעון,0,0,0,0,0,1,0,0,0,0
כִּביָכוֹל,0,0,0,0,0,0,0,0,0,0
אֱמוּנִים,0,0,0,0,0,0,1,0,0,1
אַלֵגוֹרִי,0,0,0,0,0,0,0,0,0,0
אַלֵגוֹרִיָה,0,0,0,0,0,0,0,0,0,0
אלגרו,0,0,0,0,0,0,1,0,0,0
להקל,0,0,0,0,0,0,1,0,0,0
הֲקָלָה,0,0,0,0,0,0,1,0,0,0
סִמטָה,0,0,0,0,0,0,0,0,0,0
בְּרִית,0,0,0,0,0,0,0,0,0,1
בעלות ברית,0,0,0,0,0,0,1,0,0,1
תַנִין,0,0,0,0,0,0,0,0,0,0
לְהַקְצוֹת,0,0,0,0,0,0,0,0,0,0
הַקצָאָה,0,0,0,0,0,0,0,0,0,0
להקצות,0,0,0,0,0,0,0,0,0,0
הַקצָאָה,0,0,0,0,0,0,0,0,0,0
מותר,0,0,0,0,0,0,1,0,0,0
קצבה,0,0,0,0,0,0,0,0,0,0
מוּתָר,0,0,0,0,0,0,0,0,0,0
סַגסוֹגֶת,0,0,0,0,0,0,0,0,0,0
קֶסֶם,0,1,0,0,1,0,1,0,1,0
מפתה,0,0,0,0,0,0,1,0,0,0
רֶמֶז,0,0,0,0,0,0,0,0,0,0
סחף,0,0,0,0,0,0,0,0,0,0
ברית,0,0,0,0,0,0,1,0,0,1
אַלְמָנָך,0,0,0,0,0,0,0,0,0,0
כל יכול,0,0,0,0,0,0,1,0,0,0
באוויר,0,0,0,0,0,0,0,0,0,0
שלום,0,1,0,0,1,0,1,0,0,0
בַּצַד,0,0,0,0,0,0,0,0,0,0
מרוחק,0,0,0,0,0,1,0,0,0,0
בְּקוֹל רָם,0,0,0,0,0,0,0,0,0,0
אלף בית,0,0,0,0,0,0,0,0,0,0
אָלֶף בֵּיתִי,0,0,0,0,0,0,0,0,0,0
מִזבֵּחַ,0,0,0,0,0,0,0,0,0,0
לשנות,0,0,0,0,0,0,0,0,0,0
שינוי,0,0,0,0,0,0,0,0,0,0
קְטָטָה,1,0,0,0,0,1,0,0,0,0
השתנה,0,0,0,0,0,0,0,0,0,0
לְהַחלִיף,0,0,0,0,0,0,0,0,0,0
חֲלוּפָה,0,0,0,0,0,0,0,0,0,0
גוֹבַה,0,0,0,0,0,0,0,0,0,0
אַלט,0,0,0,0,0,0,0,0,0,0
לְגַמרֵי,0,0,0,0,0,0,0,0,0,0
בּוֹגֵר,0,0,0,0,0,0,0,0,0,0
alveolar,0,0,0,0,0,0,0,0,0,0
אֲמַלְגַמָה,0,0,0,0,0,0,0,0,0,0
הִתמַזְגוּת,0,0,0,0,0,0,0,0,0,0
לִצְבּוֹר,0,0,0,0,0,0,0,0,0,0
חוֹבְבָן,0,0,0,0,0,0,0,0,0,0
לְהַדהִים,0,0,0,0,0,0,0,0,1,0
הִשׁתָאוּת,0,0,0,0,0,0,0,0,0,0
באופן מדהים,0,0,0,0,1,0,1,0,1,0
שַׁגְרִיר,0,0,0,0,0,0,1,0,0,1
עַנבָּר,0,0,0,0,0,0,0,0,0,0
סביבה,0,0,0,0,0,0,0,0,0,0
דו משמעות,0,0,0,0,0,0,0,0,0,0
דו - משמעי,0,0,0,0,0,1,0,0,0,0
תחום,0,0,0,0,0,0,0,0,0,0
שְׁאַפתָנוּת,0,1,0,0,1,0,1,0,0,1
שְׁאַפתָנִי,0,0,0,0,0,0,0,0,0,0
אַמבּוּלַנס,0,0,0,1,0,0,0,0,0,1
מארב,1,0,0,1,0,1,0,0,1,0
לְשַׁפֵּר,0,0,0,0,0,0,1,0,0,0
אָמֵן,0,0,0,0,1,0,1,0,0,1
נגיש,0,0,0,0,0,0,1,0,0,0
לְתַקֵן,0,0,0,0,0,0,1,0,0,0
תיקון,0,0,0,0,0,0,0,0,0,0
מתקן,0,0,0,0,0,0,1,0,0,0
נוֹחוּת,0,0,0,0,0,0,1,0,0,0
אַחלָמָה,0,0,0,0,0,0,0,0,0,0
יְדִידוּתִי,0,0,0,0,0,0,1,0,0,0
ידידותי,0,0,0,0,1,0,1,0,0,0
בְּתוֹך,0,0,0,0,0,0,0,0,0,0
בְּתוֹך,0,0,0,0,0,0,0,0,0,0
אַמוֹנִיָה,0,0,1,0,0,0,0,0,0,0
תַחְמוֹשֶׁת,0,0,0,0,0,0,0,0,0,0
שִׁכחָה,0,0,0,0,0,1,0,0,0,0
חֲנִינָה,0,0,0,0,1,0,1,0,0,0
גָלוּם,0,0,0,0,0,0,0,0,0,0
פְּחָת,0,0,0,0,0,0,0,0,0,1
כמות,0,0,0,0,0,0,0,0,0,0
אהבה,0,1,0,0,1,0,1,0,0,1
אמפרסנד,0,0,0,0,0,0,0,0,0,0
אמפטמינים,0,0,1,0,0,1,0,0,0,0
דוּחַי,0,0,0,0,0,0,0,0,0,0
אַמפִיבִּי,0,0,0,0,0,0,0,0,0,0
אַמְפִיתֵאַטרוֹן,0,0,0,0,0,0,0,0,0,0
הַגבָּרָה,0,0,0,0,0,0,0,0,0,0
להגביר,0,0,0,0,0,0,0,0,0,0
אמפליטודה,0,0,0,0,0,0,0,0,0,0
בשפע,0,0,0,0,0,0,0,0,0,0
קְטִיעָה,0,0,0,0,0,0,0,0,0,0
קָמִיעַ,0,0,0,0,0,0,0,0,0,0
לְשַׁעֲשֵׁעַ,0,0,0,0,1,0,1,0,0,0
משועשע,0,0,0,0,1,0,1,0,0,0
שַׁעֲשׁוּעַ,0,0,0,0,1,0,1,0,0,0
משעשע,0,0,0,0,1,0,1,0,0,0
אנה,0,0,0,0,0,0,0,0,0,0
אנקונדה,0,0,1,1,0,1,0,0,0,0
הַרדָמָה,0,0,0,0,0,0,0,0,0,0
חומר הרדמה,0,0,0,0,0,0,0,0,0,0
אנאלי,0,0,0,0,0,1,0,0,0,0
מְשַׁכֵּך כְּאֵבִים,0,0,0,0,0,0,0,0,0,0
מַקְבִּיל,0,0,0,0,0,0,0,0,0,0
