Georgian Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
ხელმისაწვდომი,0,0,0,0,0,0,1,0,0,0
შეერთება,0,0,0,0,0,0,0,0,0,0
აქსესუარი,0,0,0,0,0,0,0,0,0,0
უბედური შემთხვევა,0,0,0,1,0,1,0,1,1,0
შემთხვევითი,0,0,0,1,0,1,0,0,1,0
შემთხვევით,0,0,0,0,0,0,0,0,1,0
აღიარება,0,1,0,0,1,0,1,0,1,1
დაბინავება,0,0,0,0,0,0,0,0,0,0
განსახლება,0,0,0,0,0,0,1,0,0,0
თანხლებით,0,1,0,0,1,0,1,0,0,1
ერთად,0,0,0,0,0,0,0,0,0,0
კომპანიის გაწევა,0,0,0,0,0,0,0,0,0,0
თანამზრახველი,0,0,0,0,0,0,0,0,0,0
შეასრულოს,0,0,0,0,1,0,1,0,0,0
შესრულებული,0,0,0,0,1,0,1,0,0,0
მიღწევა,0,0,0,0,0,0,1,0,0,0
შეთანხმება,0,0,0,0,0,0,1,0,0,1
შესაბამისად,0,0,0,0,0,0,0,0,0,0
აკორდეონი,0,0,0,0,0,0,0,0,0,0
ანგარიში,0,0,0,0,0,0,0,0,0,1
ანგარიშვალდებულება,0,0,0,0,0,0,1,0,0,1
ანგარიშვალდებული,0,0,0,0,0,0,1,0,0,1
ბუღალტერი,0,0,0,0,0,0,0,0,0,1
აღრიცხვა,0,0,0,0,0,0,0,0,0,0
ანგარიშები,0,0,0,0,0,0,0,0,0,1
აკრედიტებული,0,0,0,0,0,0,1,0,0,1
აკრეცია,0,0,0,0,0,0,0,0,0,0
დარიცხვა,0,0,0,0,0,0,0,0,0,0
აკუეილი,0,0,0,0,0,0,1,0,0,0
დაგროვება,0,0,0,0,0,0,0,0,0,0
დაგროვება,0,0,0,0,0,0,0,0,0,0
სიზუსტე,0,0,0,0,0,0,0,0,0,0
ზუსტი,0,0,0,0,0,0,1,0,0,1
დაწყევლილი,1,0,0,1,0,1,0,1,0,0
ბრალდება,1,0,1,0,0,1,0,0,0,0
ბრალდებული,0,0,0,0,0,1,0,0,0,0
ბრალდებული,1,0,0,1,0,1,0,0,0,0
ბრალმდებელი,1,0,0,1,0,1,0,0,0,0
ბრალდება,1,0,0,1,0,1,0,0,0,0
შეჩვეული,0,0,0,0,0,0,0,0,0,0
ტუზი,0,0,0,0,0,0,1,0,0,0
ძმარმჟავა,0,0,0,0,0,0,0,0,0,0
მტკივა,0,0,0,0,0,1,0,1,0,0
მიღწევა,0,0,0,0,1,0,1,0,0,1
მიღწევა,0,1,0,0,1,0,1,0,0,1
მტკივა,0,0,0,0,0,1,0,1,0,0
მჟავა,0,0,0,0,0,1,0,0,0,0
მჟავიანობა,0,0,0,0,0,0,0,0,0,0
აღიარებს,0,0,0,0,0,0,0,0,0,0
აღიარა,0,0,0,0,0,0,0,0,0,0
აღიარება,0,0,0,0,0,0,1,0,0,0
აკმე,0,0,0,0,0,0,0,0,0,0
აკუსტიკური,0,0,0,0,0,0,0,0,0,0
აკუსტიკა,0,0,0,0,0,0,0,0,0,0
გაცნობა,0,0,0,0,0,0,0,0,0,0
გაცნობა,0,0,0,0,0,0,0,0,0,0
გაეცნო,0,0,0,0,0,0,0,0,0,0
თანხმობა,0,0,0,0,0,0,0,0,0,0
შეიძინოს,0,0,0,0,0,0,1,0,0,0
იძენს,0,1,0,0,0,0,1,0,0,0
შეძენა,0,0,0,0,0,0,0,0,0,0
შესყიდვები,0,0,0,0,0,0,0,0,0,0
ფართობი,0,0,0,0,0,0,0,0,0,0
ჰექტარი,0,0,0,0,0,0,0,0,0,0
აკრობატი,0,0,0,1,1,0,1,0,0,1
იმოქმედოს,0,0,0,0,0,0,0,0,0,0
მოქმედი,0,0,0,0,0,0,0,0,0,0
მოქმედება,0,0,0,0,0,0,1,0,0,0
ქმედითუნარიანი,1,0,1,0,0,1,0,0,0,0
აქტიური,0,0,0,0,0,0,0,0,0,0
აქტივობა,0,0,0,0,0,0,0,0,0,0
მსახიობი,0,0,0,0,0,0,0,0,0,0
ფაქტობრივი,0,0,0,0,0,0,1,0,0,0
აქტუალობა,0,0,0,0,0,0,0,0,0,0
აქტუარი,0,0,0,0,0,0,0,0,0,0
სიმკვეთრე,0,0,0,0,0,0,1,0,0,0
მახვილგონიერება,0,0,0,0,0,0,1,0,0,0
აკუპუნქტურა,0,0,0,0,0,0,0,0,0,0
მწვავედ,0,0,0,0,0,0,0,0,0,0
ანდაზა,0,0,0,0,0,0,0,0,0,0
მტკიცე,0,0,0,0,0,0,0,0,0,0
ადაპტირება,0,0,0,0,0,0,1,0,0,0
ადაპტირებადი,0,0,0,0,0,0,1,0,0,0
დაამატეთ,0,0,0,0,0,0,0,0,0,0
დაემატა,0,0,0,0,0,0,0,0,0,0
დამატება,0,0,0,0,0,0,0,0,0,0
შემკრები,1,0,1,1,0,1,0,1,0,0
დამოკიდებულება,0,0,0,0,0,1,0,0,0,0
დამატება,0,0,0,0,0,0,0,0,0,0
დამატებითი,0,0,0,0,0,0,0,0,0,0
დანამატი,0,0,0,0,0,0,0,0,0,0
მისამართი,0,0,0,0,0,0,0,0,0,0
ადრესატი,0,0,0,0,0,0,0,0,0,0
მისამართები,0,1,0,0,0,0,1,0,0,0
კომპეტენტური,0,0,0,0,0,0,1,0,0,0
ადეკვატურობა,0,0,0,0,0,0,1,0,0,0
ადეკვატური,0,0,0,0,0,0,0,0,0,0
დაიცავი,0,0,0,0,0,0,0,0,0,0
ერთგულება,0,0,0,0,0,0,0,0,0,0
მიმდევარი,0,0,0,0,0,0,0,0,0,0
იცავდა,0,0,0,0,0,0,0,0,0,1
ადჰეზია,0,0,0,0,0,0,0,0,0,0
წებოვანი,0,0,0,0,0,0,0,0,0,0
მშვიდობით,0,0,0,0,0,0,0,0,0,0
ცხიმოვანი,0,0,0,0,0,1,0,0,0,0
მეზობლობა,0,0,0,0,0,0,0,0,0,0
მიმდებარე,0,0,0,0,0,0,0,0,0,0
ზედსართავი სახელი,0,0,0,0,0,0,0,0,0,0
მომიჯნავე,0,0,0,0,0,0,0,0,0,0
გადადება,0,0,0,0,0,0,0,0,0,0
გადადება,0,0,0,0,0,0,0,0,0,0
განიკითხავს,0,0,0,1,0,1,0,0,0,0
განხილვა,0,0,0,0,0,0,0,0,0,0
დამხმარე,0,0,0,0,0,0,1,0,0,0
მორგება,0,0,0,0,0,0,0,0,0,0
მორგება,0,0,0,0,0,0,0,0,0,0
დამხმარე,0,0,0,0,0,0,0,0,0,0
ადმინისტრირება,0,0,0,0,0,0,0,0,0,0
ადმინისტრაცია,0,0,0,0,0,0,0,0,0,0
ადმინისტრაციული,0,0,0,0,0,0,0,0,0,1
აღფრთოვანებული,0,0,0,0,1,0,1,0,0,1
ადმირალი,0,0,0,0,0,0,1,0,0,1
ადმირალიტი,0,0,0,0,0,0,0,0,0,0
აღტაცება,0,0,0,0,1,0,1,0,0,1
აღფრთოვანებული ვარ,0,0,0,0,0,0,1,0,0,1
თაყვანისმცემელი,0,0,0,0,0,0,1,0,0,0
დასაშვებობა,0,0,0,0,0,0,0,0,0,0
დასაშვებია,0,0,0,0,0,0,1,0,0,1
მიღება,0,0,0,0,0,0,0,0,0,0
აღიარე,0,0,0,0,0,0,0,0,0,0
დაშვება,0,0,0,0,0,0,0,0,0,0
აღიარა,0,0,0,0,0,0,0,0,0,0
აღიარება,0,0,0,0,0,0,0,0,0,0
ნაზავი,0,0,0,0,0,0,0,0,0,0
შეგონება,0,0,0,1,0,1,0,0,0,0
ado,0,0,0,0,0,0,0,0,0,0
adobe,0,0,0,0,0,0,0,0,0,0
მოზარდობის,0,0,0,0,0,0,0,0,0,0
მოზარდი,0,0,0,0,0,0,0,0,0,0
მიღება,0,0,0,0,0,0,0,0,0,0
შვილად აყვანა,0,0,0,0,0,0,0,0,0,0
საყვარელი,0,0,0,0,1,0,1,0,0,0
თაყვანისცემა,0,0,0,0,1,0,1,0,0,1
აღმერთებს,0,1,0,0,1,0,1,0,0,1
დაამშვენებს,0,0,0,0,0,0,0,0,0,0
მორთულობა,0,0,0,0,0,0,0,0,0,0
ადრიფტი,0,1,0,1,0,1,0,1,0,0
ზრდასრული,0,0,0,0,0,0,0,0,0,0
გაყალბებული,0,0,0,0,0,1,0,0,0,0
მრუშობა,0,0,1,0,0,1,0,1,0,0
წინსვლა,0,1,0,1,1,0,1,0,1,0
მოწინავე,0,0,0,0,0,0,1,0,0,0
წინსვლა,0,0,0,0,0,0,1,0,0,0
წინ მიიწევს,0,0,0,0,0,0,0,0,0,0
უპირატესობა,0,0,0,0,0,0,1,0,0,0
ხელსაყრელი,0,0,0,0,0,0,1,0,0,0
მოსვლა,0,1,0,0,1,0,1,0,0,1
თავგადასავალი,0,1,0,0,0,0,1,0,0,0
ავანტიურისტი,0,0,0,0,0,0,0,0,0,0
სათავგადასავლო,0,0,0,0,0,0,1,0,0,0
მოწინააღმდეგე,1,0,0,0,0,1,0,0,0,0
არასასურველი,1,0,1,1,0,1,0,1,0,0
უბედურება,1,0,0,1,0,1,0,1,0,0
რეკლამა,0,0,0,0,0,0,0,0,0,0
რეკლამა,0,0,0,0,0,0,0,0,0,0
რჩევა,0,0,0,0,0,0,0,0,0,1
მიზანშეწონილი,0,0,0,0,0,0,1,0,0,1
რჩევა,0,0,0,0,0,0,1,0,0,1
ურჩია,0,0,0,0,0,0,0,0,0,1
რჩევა,0,0,0,0,0,0,0,0,0,0
მრჩეველი,0,0,0,0,0,0,1,0,0,1
ადვოკატირება,1,1,0,0,1,0,1,0,0,1
ადვოკატი,0,0,0,0,0,0,0,0,0,1
ეგიდები,0,0,0,0,0,0,0,0,0,0
აერაცია,0,0,0,0,0,0,0,0,0,0
საჰაერო,0,0,0,0,0,0,0,0,0,0
აეროდრომი,0,0,0,0,0,0,0,0,0,0
აეროდინამიკა,0,0,0,0,0,0,0,0,0,0
აერონავტიკა,0,0,0,0,0,0,0,0,0,0
თვითმფრინავი,0,0,0,0,0,0,0,0,0,0
ესთეტიური,0,0,0,0,0,0,1,0,0,0
ესთეტიკა,0,0,0,0,1,0,1,0,0,0
ეტიოლოგია,0,0,0,0,0,0,0,0,0,0
შორს,0,0,0,0,0,0,0,0,0,0
მოსიყვარულე,0,0,0,0,0,0,1,0,0,0
საქმე,0,0,0,0,0,0,0,0,0,0
გავლენას ახდენს,0,0,0,0,0,0,0,0,0,0
მოსიყვარულეობა,0,0,0,0,1,0,1,0,0,1
მოსიყვარულეობა,0,0,0,0,0,0,0,0,0,0
აფიშა,0,0,0,0,0,0,0,0,0,0
აღთქმა,0,0,0,0,0,0,0,0,0,0
შვილობილი,0,0,0,0,0,0,1,0,0,0
კუთვნილება,0,0,0,0,0,0,0,0,0,0
აფინურობა,0,0,0,0,0,0,0,0,0,0
ამტკიცებს,0,0,0,0,0,0,1,0,0,1
დადასტურება,0,0,0,0,0,0,1,0,0,0
დადებითი,0,0,0,0,0,0,1,0,0,0
დადებითად,0,0,0,0,0,0,1,0,0,1
დამაგრება,0,0,0,0,0,0,0,0,0,0
იტანჯება,0,0,0,1,0,1,0,1,0,0
დატანჯული,0,0,0,0,0,1,0,0,0,0
ტანჯვა,0,0,1,1,0,1,0,1,0,0
სიმდიდრე,0,0,0,0,1,0,1,0,0,0
შეძლებული,0,0,0,0,0,0,1,0,0,0
ახერხებს,0,0,0,0,0,0,1,0,0,0
შეურაცხყოფა,1,0,1,1,0,1,0,1,1,0
მიღმა,0,0,0,0,0,0,0,0,0,0
ადრე,0,0,0,0,0,0,0,0,0,0
აღნიშნული,0,0,0,0,0,0,0,0,0,0
ზემოხსენებული,0,0,0,0,0,0,0,0,0,0
შეშინებული,0,0,0,1,0,1,0,0,0,0
ახალი,0,0,0,0,0,0,0,0,0,0
უკან,0,0,0,0,0,0,0,0,0,0
შემდგომი,1,0,1,1,0,1,0,1,0,0
შუადღე,0,0,0,0,0,0,0,0,0,0
გემო,0,0,0,0,0,1,0,0,0,0
შემდგომი აზრი,0,0,0,0,0,0,0,0,0,0
აღა,0,0,0,1,0,0,1,0,0,1
აქატი,0,0,0,0,0,0,0,0,0,0
ასაკი,0,0,0,0,0,0,0,0,0,0
დაძველებული,0,0,0,0,0,0,0,0,0,0
სააგენტო,0,0,0,0,0,0,0,0,0,0
აგენტი,0,0,0,0,0,0,0,0,0,0
აგლომერაცია,0,0,0,0,0,0,0,0,0,0
გამწვავდა,1,0,0,0,0,1,0,0,0,0
დამამძიმებელი,1,0,0,0,0,1,0,1,0,0
გამწვავება,1,0,1,0,0,1,0,0,0,0
აგრეგატი,0,0,0,0,0,0,0,0,0,0
აგრეგაცია,0,0,0,0,0,0,0,0,0,0
აგრესია,1,0,0,1,0,1,0,0,0,0
აგრესიული,1,0,0,1,0,1,0,0,0,0
აგრესორი,1,0,0,1,0,1,0,0,0,0
აღელვებული,0,0,1,1,0,1,0,0,1,0
სწრაფი,0,0,0,0,0,0,1,0,0,0
სისწრაფე,0,0,0,0,0,0,1,0,0,0
აჟიტირებული,1,0,0,0,0,1,0,0,0,0
აგიტაცია,1,0,0,0,0,1,0,0,0,0
აგნოსტიკოსი,0,0,0,0,0,0,0,0,0,0
წინ,0,0,0,0,0,0,0,0,0,0
მტანჯველი,0,0,0,1,0,1,0,0,0,0
აგონია,1,0,0,1,0,1,0,1,0,0
ვეთანხმები,0,0,0,0,0,0,1,0,0,0
მოსაწონი,0,0,0,0,0,0,1,0,0,1
დათანხმდა,0,0,0,0,0,0,1,0,0,1
თანხმდებიან,0,0,0,0,0,0,1,0,0,1
შეთანხმება,0,0,0,0,0,0,1,0,0,1
სამეურნეო,0,0,0,0,0,0,0,0,0,0
სოფლის მეურნეობა,0,0,0,0,0,0,1,0,0,0
მიწაზე,0,0,0,0,0,1,0,0,0,0
აგუა,0,0,0,0,0,0,0,0,0,0
წინ,0,0,0,0,0,0,1,0,0,0
დახმარება,0,0,0,0,0,0,1,0,0,0
ეხმარება,0,0,0,0,0,0,1,0,0,0
ავადმყოფი,0,0,0,0,0,1,0,1,0,0
ავადმყოფი,0,0,0,1,0,1,0,1,0,0
ავადმყოფობა,0,0,0,0,0,0,0,0,0,0
მიზანი,0,0,0,0,0,0,0,0,0,0
უმიზნო,0,0,0,0,0,1,0,0,0,0
საჰაერო,0,0,0,0,0,0,0,0,0,0
აირბაგი,0,0,0,0,0,0,0,0,0,0
აირლიფტი,0,0,0,0,0,0,0,0,0,0
ავიაკომპანია,0,0,0,0,0,0,0,0,0,0
საჰაერო ხომალდი,0,0,0,0,0,0,0,0,0,0
თვითმფრინავი,0,0,0,0,0,0,0,0,0,0
აეროპორტი,0,1,0,0,0,0,0,0,0,0
ჰაერები,0,0,1,0,0,1,0,0,0,0
საჰაერო ხომალდი,0,0,0,0,0,0,0,0,0,0
გასასვლელი,0,0,0,0,0,0,0,0,0,0
აიტ,0,0,0,0,0,0,0,0,0,0
გაშლილი,0,0,0,0,0,0,0,0,0,0
მსგავსი,0,0,0,0,0,0,0,0,0,1
ალაბასტრი,0,0,0,0,0,0,1,0,0,0
განგაში,0,0,0,1,0,1,0,0,1,0
საგანგაშო,0,0,0,1,0,1,0,0,1,0
ალბ,0,0,0,0,0,0,0,0,0,1
ალბომი,0,0,0,0,0,0,0,0,0,0
ალქიმია,0,0,0,0,0,0,0,0,0,0
ალკოჰოლი,0,0,0,0,0,0,0,0,0,0
ალკოჰოლიზმი,1,0,1,1,0,1,0,1,0,0
აკლდამა,0,0,0,0,0,0,0,0,0,0
გაფრთხილება,0,0,0,0,0,0,0,0,0,0
სიფხიზლე,0,1,0,1,0,0,1,0,1,0
გაფრთხილებები,0,1,0,1,0,0,0,0,1,0
იონჯა,0,0,0,0,0,0,0,0,0,0
ალგებრა,0,0,0,0,0,0,0,0,0,0
ალგებრული,0,0,0,0,0,0,0,0,0,0
ალგორითმი,0,0,0,0,0,0,0,0,0,0
ალიბი,0,0,0,0,0,0,0,0,0,0
უცხოპლანეტელი,0,0,1,1,0,1,0,0,0,0
გაუცხოება,1,0,1,0,0,1,0,0,0,0
გაუცხოებული,0,0,0,0,0,1,0,1,0,0
გაუცხოება,1,0,1,1,0,1,0,1,0,0
ჩამქრალი,0,0,0,0,0,0,0,0,0,0
გასწორებული,0,0,0,0,0,0,0,0,0,0
გასწორება,0,0,0,0,0,0,0,0,0,0
ერთნაირად,0,0,0,0,0,0,0,0,0,0
კვება,0,0,0,0,0,0,1,0,0,0
ალიმენტი,0,0,0,0,0,1,0,0,0,0
ალიაქოთი,0,0,0,0,0,0,0,0,0,0
ცოცხალი,0,1,0,0,1,0,1,0,0,1
ტუტე,0,0,0,0,0,0,0,0,0,0
ალკალოიდები,0,0,0,0,0,0,0,0,0,0
დაამშვიდა,0,0,0,0,0,0,1,0,0,0
ბრალდება,1,0,0,0,0,1,0,0,0,0
ბრალდება,0,0,0,0,0,1,0,0,0,0
სავარაუდო,0,0,0,0,0,0,0,0,0,0
ერთგულება,0,0,0,0,0,0,1,0,0,1
ალეგორიული,0,0,0,0,0,0,0,0,0,0
ალეგორია,0,0,0,0,0,0,0,0,0,0
ალეგრო,0,0,0,0,0,0,1,0,0,0
შემსუბუქება,0,0,0,0,0,0,1,0,0,0
შემსუბუქება,0,0,0,0,0,0,1,0,0,0
ხეივანი,0,0,0,0,0,0,0,0,0,0
ალიანსი,0,0,0,0,0,0,0,0,0,1
მოკავშირე,0,0,0,0,0,0,1,0,0,1
ალიგატორი,0,0,0,0,0,0,0,0,0,0
გამოყოფს,0,0,0,0,0,0,0,0,0,0
განაწილება,0,0,0,0,0,0,0,0,0,0
გამოყოფს,0,0,0,0,0,0,0,0,0,0
გამოყოფა,0,0,0,0,0,0,0,0,0,0
დასაშვები,0,0,0,0,0,0,1,0,0,0
შემწეობა,0,0,0,0,0,0,0,0,0,0
დაშვებული,0,0,0,0,0,0,0,0,0,0
შენადნობი,0,0,0,0,0,0,0,0,0,0
მიმზიდველობა,0,1,0,0,1,0,1,0,1,0
მიმზიდველი,0,0,0,0,0,0,1,0,0,0
ალუზია,0,0,0,0,0,0,0,0,0,0
ალუვიური,0,0,0,0,0,0,0,0,0,0
მოკავშირე,0,0,0,0,0,0,1,0,0,1
ალმანახი,0,0,0,0,0,0,0,0,0,0
ყოვლისშემძლე,0,0,0,0,0,0,1,0,0,0
მაღლა,0,0,0,0,0,0,0,0,0,0
ალოჰა,0,1,0,0,1,0,1,0,0,0
გვერდით,0,0,0,0,0,0,0,0,0,0
მოშორებით,0,0,0,0,0,1,0,0,0,0
ხმამაღლა,0,0,0,0,0,0,0,0,0,0
ანბანი,0,0,0,0,0,0,0,0,0,0
ანბანური,0,0,0,0,0,0,0,0,0,0
საკურთხეველი,0,0,0,0,0,0,0,0,0,0
შეცვალოს,0,0,0,0,0,0,0,0,0,0
შეცვლა,0,0,0,0,0,0,0,0,0,0
ჩხუბი,1,0,0,0,0,1,0,0,0,0
შეცვლილი,0,0,0,0,0,0,0,0,0,0
ალტერნატიული,0,0,0,0,0,0,0,0,0,0
ალტერნატივა,0,0,0,0,0,0,0,0,0,0
სიმაღლეზე,0,0,0,0,0,0,0,0,0,0
ალტო,0,0,0,0,0,0,0,0,0,0
საერთოდ,0,0,0,0,0,0,0,0,0,0
კურსდამთავრებული,0,0,0,0,0,0,0,0,0,0
ალვეოლური,0,0,0,0,0,0,0,0,0,0
ამალგამი,0,0,0,0,0,0,0,0,0,0
გაერთიანება,0,0,0,0,0,0,0,0,0,0
აგროვებს,0,0,0,0,0,0,0,0,0,0
სამოყვარულო,0,0,0,0,0,0,0,0,0,0
გაოცება,0,0,0,0,0,0,0,0,1,0
გაოცება,0,0,0,0,0,0,0,0,0,0
საოცრად,0,0,0,0,1,0,1,0,1,0
ელჩი,0,0,0,0,0,0,1,0,0,1
ქარვა,0,0,0,0,0,0,0,0,0,0
გარემო,0,0,0,0,0,0,0,0,0,0
გაურკვევლობა,0,0,0,0,0,0,0,0,0,0
ორაზროვანი,0,0,0,0,0,1,0,0,0,0
ამბიტი,0,0,0,0,0,0,0,0,0,0
ამბიცია,0,1,0,0,1,0,1,0,0,1
ამბიციური,0,0,0,0,0,0,0,0,0,0
სასწრაფო დახმარება,0,0,0,1,0,0,0,0,0,1
ჩასაფრება,1,0,0,1,0,1,0,0,1,0
გააუმჯობესებს,0,0,0,0,0,0,1,0,0,0
ამინ,0,0,0,0,1,0,1,0,0,1
მორჩილი,0,0,0,0,0,0,1,0,0,0
შეცვალოს,0,0,0,0,0,0,1,0,0,0
შესწორება,0,0,0,0,0,0,0,0,0,0
ასწორებს,0,0,0,0,0,0,1,0,0,0
კეთილმოწყობა,0,0,0,0,0,0,1,0,0,0
ამეთვისტო,0,0,0,0,0,0,0,0,0,0
მეგობრული,0,0,0,0,0,0,1,0,0,0
მეგობრული,0,0,0,0,1,0,1,0,0,0
ფონზე,0,0,0,0,0,0,0,0,0,0
ფონზე,0,0,0,0,0,0,0,0,0,0
ამიაკი,0,0,1,0,0,0,0,0,0,0
საბრძოლო მასალა,0,0,0,0,0,0,0,0,0,0
ამნეზია,0,0,0,0,0,1,0,0,0,0
ამნისტია,0,0,0,0,1,0,1,0,0,0
ამორფული,0,0,0,0,0,0,0,0,0,0
ამორტიზაცია,0,0,0,0,0,0,0,0,0,1
თანხა,0,0,0,0,0,0,0,0,0,0
სიყვარული,0,1,0,0,1,0,1,0,0,1
ამპერსანდი,0,0,0,0,0,0,0,0,0,0
ამფეტამინები,0,0,1,0,0,1,0,0,0,0
ამფიბია,0,0,0,0,0,0,0,0,0,0
ამფიბიური,0,0,0,0,0,0,0,0,0,0
ამფითეატრი,0,0,0,0,0,0,0,0,0,0
გაძლიერება,0,0,0,0,0,0,0,0,0,0
გაძლიერება,0,0,0,0,0,0,0,0,0,0
დიაპაზონი,0,0,0,0,0,0,0,0,0,0
ფართოდ,0,0,0,0,0,0,0,0,0,0
ამპუტაცია,0,0,0,0,0,0,0,0,0,0
ამულეტი,0,0,0,0,0,0,0,0,0,0
გართობა,0,0,0,0,1,0,1,0,0,0
მხიარულობდა,0,0,0,0,1,0,1,0,0,0
გართობა,0,0,0,0,1,0,1,0,0,0
სახალისო,0,0,0,0,1,0,1,0,0,0
ანა,0,0,0,0,0,0,0,0,0,0
ანაკონდა,0,0,1,1,0,1,0,0,0,0
ანესთეზია,0,0,0,0,0,0,0,0,0,0
საანესთეზიო,0,0,0,0,0,0,0,0,0,0
ანალური,0,0,0,0,0,1,0,0,0,0
ტკივილგამაყუჩებელი,0,0,0,0,0,0,0,0,0,0
ანალოგიური,0,0,0,0,0,0,0,0,0,0
ანალოგი,0,0,0,0,0,0,0,0,0,0
ანალოგი,0,0,0,0,0,0,0,0,0,0
ანალიზი,0,0,0,0,0,0,0,0,0,0
ანალიტიკოსი,0,1,0,0,0,0,1,0,0,1
ანალიტიკური,0,0,0,0,0,0,0,0,0,0
ანალიზი,0,0,0,0,0,0,0,0,0,0
ანალიზატორი,0,0,0,0,0,0,0,0,0,0
ანარქიზმი,1,0,0,1,0,1,0,0,0,0
ანარქისტი,1,0,0,1,0,1,0,0,0,0
ანარქია,1,0,0,1,0,1,0,0,0,0
ანასტომოზი,0,0,0,0,0,0,0,0,0,0
ანათემა,1,0,1,1,0,1,0,1,0,0
ანატომიური,0,0,0,0,0,0,0,0,0,0
ანატომია,0,0,0,0,0,0,0,0,0,0
