Ukrainian Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
приєднатися,0,0,0,0,0,0,0,0,0,0
прискорити,0,1,0,0,0,0,0,0,0,0
прискорення,0,0,0,0,0,0,0,0,0,0
акцент,0,0,0,0,0,0,0,0,0,0
акцентувати,0,0,0,0,0,0,0,0,0,0
прийняти,0,0,0,0,0,0,0,0,0,0
прийнятний,0,0,0,0,0,0,1,0,0,0
прийняття,0,0,0,0,0,0,1,0,0,0
доступу,0,0,0,0,0,0,0,0,0,0
доступний,0,0,0,0,0,0,1,0,0,0
приєднання,0,0,0,0,0,0,0,0,0,0
аксесуар,0,0,0,0,0,0,0,0,0,0
нещасний випадок,0,0,0,1,0,1,0,1,1,0
випадковий,0,0,0,1,0,1,0,0,1,0
випадково,0,0,0,0,0,0,0,0,1,0
нагорода,0,1,0,0,1,0,1,0,1,1
розмістити,0,0,0,0,0,0,0,0,0,0
проживання,0,0,0,0,0,0,1,0,0,0
супровід,0,1,0,0,1,0,1,0,0,1
супроводжувати,0,0,0,0,0,0,0,0,0,0
супроводжуючий,0,0,0,0,0,0,0,0,0,0
співучасник,0,0,0,0,0,0,0,0,0,0
виконати,0,0,0,0,1,0,1,0,0,0
виконано,0,0,0,0,1,0,1,0,0,0
досягнення,0,0,0,0,0,0,1,0,0,0
згода,0,0,0,0,0,0,1,0,0,1
відповідність,0,0,0,0,0,0,0,0,0,0
акордеон,0,0,0,0,0,0,0,0,0,0
рахунок,0,0,0,0,0,0,0,0,0,1
звітність,0,0,0,0,0,0,1,0,0,1
підзвітний,0,0,0,0,0,0,1,0,0,1
бухгалтер,0,0,0,0,0,0,0,0,0,1
облік,0,0,0,0,0,0,0,0,0,0
облікові записи,0,0,0,0,0,0,0,0,0,1
акредитований,0,0,0,0,0,0,1,0,0,1
нарощення,0,0,0,0,0,0,0,0,0,0
нараховувати,0,0,0,0,0,0,0,0,0,0
accueil,0,0,0,0,0,0,1,0,0,0
накопичувати,0,0,0,0,0,0,0,0,0,0
накопичення,0,0,0,0,0,0,0,0,0,0
точність,0,0,0,0,0,0,0,0,0,0
точні,0,0,0,0,0,0,1,0,0,1
проклятий,1,0,0,1,0,1,0,1,0,0
звинувачення,1,0,1,0,0,1,0,0,0,0
знахідний,0,0,0,0,0,1,0,0,0,0
обвинувачений,1,0,0,1,0,1,0,0,0,0
обвинувач,1,0,0,1,0,1,0,0,0,0
звинувачення,1,0,0,1,0,1,0,0,0,0
звикли,0,0,0,0,0,0,0,0,0,0
туз,0,0,0,0,0,0,1,0,0,0
оцтова,0,0,0,0,0,0,0,0,0,0
біль,0,0,0,0,0,1,0,1,0,0
досягти,0,0,0,0,1,0,1,0,0,1
досягнення,0,1,0,0,1,0,1,0,0,1
ниючий,0,0,0,0,0,1,0,1,0,0
кислота,0,0,0,0,0,1,0,0,0,0
кислотність,0,0,0,0,0,0,0,0,0,0
визнати,0,0,0,0,0,0,0,0,0,0
визнав,0,0,0,0,0,0,0,0,0,0
підтвердження,0,0,0,0,0,0,1,0,0,0
акме,0,0,0,0,0,0,0,0,0,0
акустичний,0,0,0,0,0,0,0,0,0,0
акустика,0,0,0,0,0,0,0,0,0,0
познайомити,0,0,0,0,0,0,0,0,0,0
знайомство,0,0,0,0,0,0,0,0,0,0
знайомий,0,0,0,0,0,0,0,0,0,0
мовчазне погодження,0,0,0,0,0,0,0,0,0,0
придбати,0,0,0,0,0,0,1,0,0,0
придбання,0,1,0,0,0,0,1,0,0,0
придбання,0,0,0,0,0,0,0,0,0,0
придбання,0,0,0,0,0,0,0,0,0,0
площа в акрах,0,0,0,0,0,0,0,0,0,0
акрів,0,0,0,0,0,0,0,0,0,0
акробат,0,0,0,1,1,0,1,0,0,1
діяти,0,0,0,0,0,0,0,0,0,0
діючий,0,0,0,0,0,0,0,0,0,0
дію,0,0,0,0,0,0,1,0,0,0
дієві,1,0,1,0,0,1,0,0,0,0
активний,0,0,0,0,0,0,0,0,0,0
діяльність,0,0,0,0,0,0,0,0,0,0
актор,0,0,0,0,0,0,0,0,0,0
фактичний,0,0,0,0,0,0,1,0,0,0
актуальність,0,0,0,0,0,0,0,0,0,0
актуарій,0,0,0,0,0,0,0,0,0,0
гострота,0,0,0,0,0,0,1,0,0,0
кмітливість,0,0,0,0,0,0,1,0,0,0
акупунктура,0,0,0,0,0,0,0,0,0,0
гостро,0,0,0,0,0,0,0,0,0,0
приказка,0,0,0,0,0,0,0,0,0,0
непохитний,0,0,0,0,0,0,0,0,0,0
адаптуватися,0,0,0,0,0,0,1,0,0,0
адаптований,0,0,0,0,0,0,1,0,0,0
додати,0,0,0,0,0,0,0,0,0,0
додано,0,0,0,0,0,0,0,0,0,0
додаток,0,0,0,0,0,0,0,0,0,0
суматор,1,0,1,1,0,1,0,1,0,0
залежність,0,0,0,0,0,1,0,0,0,0
додаток,0,0,0,0,0,0,0,0,0,0
додатковий,0,0,0,0,0,0,0,0,0,0
добавка,0,0,0,0,0,0,0,0,0,0
адресу,0,0,0,0,0,0,0,0,0,0
адресат,0,0,0,0,0,0,0,0,0,0
адреси,0,1,0,0,0,0,1,0,0,0
адепт,0,0,0,0,0,0,1,0,0,0
адекватність,0,0,0,0,0,0,1,0,0,0
адекватний,0,0,0,0,0,0,0,0,0,0
дотримуватися,0,0,0,0,0,0,0,0,0,0
прихильність,0,0,0,0,0,0,0,0,0,0
прихильник,0,0,0,0,0,0,0,0,0,0
дотримуючись,0,0,0,0,0,0,0,0,0,1
адгезія,0,0,0,0,0,0,0,0,0,0
клей,0,0,0,0,0,0,0,0,0,0
прощавай,0,0,0,0,0,0,0,0,0,0
жировий,0,0,0,0,0,1,0,0,0,0
суміжність,0,0,0,0,0,0,0,0,0,0
суміжні,0,0,0,0,0,0,0,0,0,0
прикметник,0,0,0,0,0,0,0,0,0,0
примикання,0,0,0,0,0,0,0,0,0,0
відкласти,0,0,0,0,0,0,0,0,0,0
відстрочка,0,0,0,0,0,0,0,0,0,0
судити,0,0,0,1,0,1,0,0,0,0
винесення судового рішення,0,0,0,0,0,0,0,0,0,0
придатковий,0,0,0,0,0,0,1,0,0,0
налаштувати,0,0,0,0,0,0,0,0,0,0
коригування,0,0,0,0,0,0,0,0,0,0
ад'ювант,0,0,0,0,0,0,0,0,0,0
адмініструвати,0,0,0,0,0,0,0,0,0,0
адміністрування,0,0,0,0,0,0,0,0,0,0
адміністративний,0,0,0,0,0,0,0,0,0,1
гідний захоплення,0,0,0,0,1,0,1,0,0,1
адмірал,0,0,0,0,0,0,1,0,0,1
адміралтейство,0,0,0,0,0,0,0,0,0,0
захоплення,0,0,0,0,1,0,1,0,0,1
захоплюватися,0,0,0,0,0,0,1,0,0,1
шанувальник,0,0,0,0,0,0,1,0,0,0
допустимість,0,0,0,0,0,0,0,0,0,0
припустимий,0,0,0,0,0,0,1,0,0,1
прийом,0,0,0,0,0,0,0,0,0,0
визнати,0,0,0,0,0,0,0,0,0,0
допуск,0,0,0,0,0,0,0,0,0,0
зізнався,0,0,0,0,0,0,0,0,0,0
допускаючи,0,0,0,0,0,0,0,0,0,0
домішка,0,0,0,0,0,0,0,0,0,0
застереження,0,0,0,1,0,1,0,0,0,0
шум,0,0,0,0,0,0,0,0,0,0
глинобитний,0,0,0,0,0,0,0,0,0,0
підлітковий вік,0,0,0,0,0,0,0,0,0,0
підліток,0,0,0,0,0,0,0,0,0,0
прийняти,0,0,0,0,0,0,0,0,0,0
усиновлення,0,0,0,0,0,0,0,0,0,0
чарівний,0,0,0,0,1,0,1,0,0,0
обожнювання,0,0,0,0,1,0,1,0,0,1
обожнюю,0,1,0,0,1,0,1,0,0,1
прикрашати,0,0,0,0,0,0,0,0,0,0
прикраса,0,0,0,0,0,0,0,0,0,0
дрейфувати,0,1,0,1,0,1,0,1,0,0
дорослий,0,0,0,0,0,0,0,0,0,0
фальсифікований,0,0,0,0,0,1,0,0,0,0
подружня зрада,0,0,1,0,0,1,0,1,0,0
заздалегідь,0,1,0,1,1,0,1,0,1,0
просунутий,0,0,0,0,0,0,1,0,0,0
просування,0,0,0,0,0,0,1,0,0,0
просування вперед,0,0,0,0,0,0,0,0,0,0
перевага,0,0,0,0,0,0,1,0,0,0
вигідно,0,0,0,0,0,0,1,0,0,0
прихід,0,1,0,0,1,0,1,0,0,1
пригода,0,1,0,0,0,0,1,0,0,0
авантюрист,0,0,0,0,0,0,0,0,0,0
авантюрний,0,0,0,0,0,0,1,0,0,0
супротивник,1,0,0,0,0,1,0,0,0,0
несприятливий,1,0,1,1,0,1,0,1,0,0
нещастя,1,0,0,1,0,1,0,1,0,0
рекламувати,0,0,0,0,0,0,0,0,0,0
реклама,0,0,0,0,0,0,0,0,0,0
поради,0,0,0,0,0,0,0,0,0,1
доцільно,0,0,0,0,0,0,1,0,0,1
порадити,0,0,0,0,0,0,1,0,0,1
радив,0,0,0,0,0,0,0,0,0,1
порада,0,0,0,0,0,0,0,0,0,0
радник,0,0,0,0,0,0,1,0,0,1
адвокація,1,1,0,0,1,0,1,0,0,1
адвокат,0,0,0,0,0,0,0,0,0,1
егіда,0,0,0,0,0,0,0,0,0,0
аерація,0,0,0,0,0,0,0,0,0,0
повітряний,0,0,0,0,0,0,0,0,0,0
аеродром,0,0,0,0,0,0,0,0,0,0
аеродинаміка,0,0,0,0,0,0,0,0,0,0
повітроплавання,0,0,0,0,0,0,0,0,0,0
літак,0,0,0,0,0,0,0,0,0,0
естетичний,0,0,0,0,0,0,1,0,0,0
естетичність,0,0,0,0,1,0,1,0,0,0
етіологія,0,0,0,0,0,0,0,0,0,0
здалеку,0,0,0,0,0,0,0,0,0,0
привітний,0,0,0,0,0,0,1,0,0,0
роман,0,0,0,0,0,0,0,0,0,0
впливають,0,0,0,0,0,0,0,0,0,0
прихильність,0,0,0,0,1,0,1,0,0,1
прихильності,0,0,0,0,0,0,0,0,0,0
affiche,0,0,0,0,0,0,0,0,0,0
афідевіт,0,0,0,0,0,0,0,0,0,0
афілійовані,0,0,0,0,0,0,1,0,0,0
приналежність,0,0,0,0,0,0,0,0,0,0
спорідненість,0,0,0,0,0,0,0,0,0,0
стверджувати,0,0,0,0,0,0,1,0,0,1
афірмація,0,0,0,0,0,0,1,0,0,0
стверджувальний,0,0,0,0,0,0,1,0,0,0
ствердно,0,0,0,0,0,0,1,0,0,1
афікс,0,0,0,0,0,0,0,0,0,0
страждати,0,0,0,1,0,1,0,1,0,0
уражений,0,0,0,0,0,1,0,0,0,0
страждання,0,0,1,1,0,1,0,1,0,0
достаток,0,0,0,0,1,0,1,0,0,0
заможний,0,0,0,0,0,0,1,0,0,0
дозволити собі,0,0,0,0,0,0,1,0,0,0
образа,1,0,1,1,0,1,0,1,1,0
поза межами,0,0,0,0,0,0,0,0,0,0
раніше,0,0,0,0,0,0,0,0,0,0
вищезгаданий,0,0,0,0,0,0,0,0,0,0
вищесказане,0,0,0,0,0,0,0,0,0,0
боїться,0,0,0,1,0,1,0,0,0,0
заново,0,0,0,0,0,0,0,0,0,0
корма,0,0,0,0,0,0,0,0,0,0
наслідки,1,0,1,1,0,1,0,1,0,0
полудень,0,0,0,0,0,0,0,0,0,0
післясмак,0,0,0,0,0,1,0,0,0,0
заднім числом,0,0,0,0,0,0,0,0,0,0
ага,0,0,0,1,0,0,1,0,0,1
агат,0,0,0,0,0,0,0,0,0,0
вік,0,0,0,0,0,0,0,0,0,0
у віці,0,0,0,0,0,0,0,0,0,0
агентство,0,0,0,0,0,0,0,0,0,0
агент,0,0,0,0,0,0,0,0,0,0
агломерація,0,0,0,0,0,0,0,0,0,0
загострюється,1,0,0,0,0,1,0,0,0,0
обтяжуючий,1,0,0,0,0,1,0,1,0,0
загострення,1,0,1,0,0,1,0,0,0,0
агрегатний,0,0,0,0,0,0,0,0,0,0
агрегація,0,0,0,0,0,0,0,0,0,0
агресія,1,0,0,1,0,1,0,0,0,0
агресивний,1,0,0,1,0,1,0,0,0,0
агресор,1,0,0,1,0,1,0,0,0,0
приголомшений,0,0,1,1,0,1,0,0,1,0
спритний,0,0,0,0,0,0,1,0,0,0
спритність,0,0,0,0,0,0,1,0,0,0
схвильований,1,0,0,0,0,1,0,0,0,0
агітація,1,0,0,0,0,1,0,0,0,0
агностик,0,0,0,0,0,0,0,0,0,0
тому,0,0,0,0,0,0,0,0,0,0
болісно,0,0,0,1,0,1,0,0,0,0
агонія,1,0,0,1,0,1,0,1,0,0
згоден,0,0,0,0,0,0,1,0,0,0
приємний,0,0,0,0,0,0,1,0,0,1
погодився,0,0,0,0,0,0,1,0,0,1
погоджуючись,0,0,0,0,0,0,1,0,0,1
Угода,0,0,0,0,0,0,1,0,0,1
сільськогосподарський,0,0,0,0,0,0,0,0,0,0
сільське господарство,0,0,0,0,0,0,1,0,0,0
на мілині,0,0,0,0,0,1,0,0,0,0
agua,0,0,0,0,0,0,0,0,0,0
попереду,0,0,0,0,0,0,1,0,0,0
допомога,0,0,0,0,0,0,1,0,0,0
допомога,0,0,0,0,0,0,1,0,0,0
хворий,0,0,0,0,0,1,0,1,0,0
хворий,0,0,0,1,0,1,0,1,0,0
нездужання,0,0,0,0,0,0,0,0,0,0
мета,0,0,0,0,0,0,0,0,0,0
безцільний,0,0,0,0,0,1,0,0,0,0
повітря,0,0,0,0,0,0,0,0,0,0
подушка безпеки,0,0,0,0,0,0,0,0,0,0
ерліфт,0,0,0,0,0,0,0,0,0,0
авіакомпанія,0,0,0,0,0,0,0,0,0,0
льотчик,0,0,0,0,0,0,0,0,0,0
літак,0,0,0,0,0,0,0,0,0,0
аеропорт,0,1,0,0,0,0,0,0,0,0
ефіри,0,0,1,0,0,1,0,0,0,0
дирижабль,0,0,0,0,0,0,0,0,0,0
прохід,0,0,0,0,0,0,0,0,0,0
ait,0,0,0,0,0,0,0,0,0,0
прочинений,0,0,0,0,0,0,0,0,0,0
споріднений,0,0,0,0,0,0,0,0,0,1
алебастр,0,0,0,0,0,0,1,0,0,0
тривога,0,0,0,1,0,1,0,0,1,0
тривожний,0,0,0,1,0,1,0,0,1,0
алб,0,0,0,0,0,0,0,0,0,1
альбом,0,0,0,0,0,0,0,0,0,0
алхімія,0,0,0,0,0,0,0,0,0,0
алкоголь,0,0,0,0,0,0,0,0,0,0
алкоголізм,1,0,1,1,0,1,0,1,0,0
альков,0,0,0,0,0,0,0,0,0,0
оповіщення,0,0,0,0,0,0,0,0,0,0
пильність,0,1,0,1,0,0,1,0,1,0
оповіщення,0,1,0,1,0,0,0,0,1,0
люцерна,0,0,0,0,0,0,0,0,0,0
алгебра,0,0,0,0,0,0,0,0,0,0
алгебраїчні,0,0,0,0,0,0,0,0,0,0
алгоритм,0,0,0,0,0,0,0,0,0,0
алібі,0,0,0,0,0,0,0,0,0,0
інопланетянин,0,0,1,1,0,1,0,0,0,0
відчужувати,1,0,1,0,0,1,0,0,0,0
відчужені,0,0,0,0,0,1,0,1,0,0
відчуження,1,0,1,1,0,1,0,1,0,0
горить,0,0,0,0,0,0,0,0,0,0
вирівняні,0,0,0,0,0,0,0,0,0,0
вирівнювання,0,0,0,0,0,0,0,0,0,0
однакові,0,0,0,0,0,0,0,0,0,0
харчування,0,0,0,0,0,0,1,0,0,0
аліменти,0,0,0,0,0,1,0,0,0,0
аліквота,0,0,0,0,0,0,0,0,0,0
живий,0,1,0,0,1,0,1,0,0,1
луг,0,0,0,0,0,0,0,0,0,0
алкалоїди,0,0,0,0,0,0,0,0,0,0
розвіяти,0,0,0,0,0,0,1,0,0,0
звинувачення,1,0,0,0,0,1,0,0,0,0
стверджувати,0,0,0,0,0,1,0,0,0,0
нібито,0,0,0,0,0,0,0,0,0,0
вірність,0,0,0,0,0,0,1,0,0,1
алегоричний,0,0,0,0,0,0,0,0,0,0
алегорія,0,0,0,0,0,0,0,0,0,0
алегро,0,0,0,0,0,0,1,0,0,0
полегшити,0,0,0,0,0,0,1,0,0,0
полегшення,0,0,0,0,0,0,1,0,0,0
алея,0,0,0,0,0,0,0,0,0,0
альянс,0,0,0,0,0,0,0,0,0,1
союзні,0,0,0,0,0,0,1,0,0,1
алігатор,0,0,0,0,0,0,0,0,0,0
виділяти,0,0,0,0,0,0,0,0,0,0
виділення,0,0,0,0,0,0,0,0,0,0
виділяти,0,0,0,0,0,0,0,0,0,0
наділ,0,0,0,0,0,0,0,0,0,0
допустимо,0,0,0,0,0,0,1,0,0,0
надбавка,0,0,0,0,0,0,0,0,0,0
дозволено,0,0,0,0,0,0,0,0,0,0
сплав,0,0,0,0,0,0,0,0,0,0
привабливість,0,1,0,0,1,0,1,0,1,0
привабливий,0,0,0,0,0,0,1,0,0,0
алюзія,0,0,0,0,0,0,0,0,0,0
алювіальний,0,0,0,0,0,0,0,0,0,0
союзник,0,0,0,0,0,0,1,0,0,1
альманах,0,0,0,0,0,0,0,0,0,0
всемогутній,0,0,0,0,0,0,1,0,0,0
нагорі,0,0,0,0,0,0,0,0,0,0
алоха,0,1,0,0,1,0,1,0,0,0
поряд,0,0,0,0,0,0,0,0,0,0
осторонь,0,0,0,0,0,1,0,0,0,0
вголос,0,0,0,0,0,0,0,0,0,0
алфавіт,0,0,0,0,0,0,0,0,0,0
алфавітний,0,0,0,0,0,0,0,0,0,0
вівтар,0,0,0,0,0,0,0,0,0,0
змінювати,0,0,0,0,0,0,0,0,0,0
зміна,0,0,0,0,0,0,0,0,0,0
сварка,1,0,0,0,0,1,0,0,0,0
змінено,0,0,0,0,0,0,0,0,0,0
чергувати,0,0,0,0,0,0,0,0,0,0
альтернатива,0,0,0,0,0,0,0,0,0,0
висота,0,0,0,0,0,0,0,0,0,0
альт,0,0,0,0,0,0,0,0,0,0
взагалі,0,0,0,0,0,0,0,0,0,0
випускник,0,0,0,0,0,0,0,0,0,0
альвеолярний,0,0,0,0,0,0,0,0,0,0
амальгама,0,0,0,0,0,0,0,0,0,0
об'єднання,0,0,0,0,0,0,0,0,0,0
накопичувати,0,0,0,0,0,0,0,0,0,0
аматорський,0,0,0,0,0,0,0,0,0,0
вражати,0,0,0,0,0,0,0,0,1,0
здивування,0,0,0,0,0,0,0,0,0,0
дивно,0,0,0,0,1,0,1,0,1,0
посол,0,0,0,0,0,0,1,0,0,1
бурштиновий,0,0,0,0,0,0,0,0,0,0
навколишній,0,0,0,0,0,0,0,0,0,0
двозначність,0,0,0,0,0,0,0,0,0,0
неоднозначний,0,0,0,0,0,1,0,0,0,0
амбіт,0,0,0,0,0,0,0,0,0,0
честолюбство,0,1,0,0,1,0,1,0,0,1
амбітний,0,0,0,0,0,0,0,0,0,0
швидка допомога,0,0,0,1,0,0,0,0,0,1
засідка,1,0,0,1,0,1,0,0,1,0
поліпшити,0,0,0,0,0,0,1,0,0,0
амінь,0,0,0,0,1,0,1,0,0,1
піддається,0,0,0,0,0,0,1,0,0,0
змінити,0,0,0,0,0,0,1,0,0,0
поправка,0,0,0,0,0,0,0,0,0,0
вносить поправки,0,0,0,0,0,0,1,0,0,0
зручності,0,0,0,0,0,0,1,0,0,0
аметистовий,0,0,0,0,0,0,0,0,0,0
привітний,0,0,0,0,0,0,1,0,0,0
дружній,0,0,0,0,1,0,1,0,0,0
посеред,0,0,0,0,0,0,0,0,0,0
посеред,0,0,0,0,0,0,0,0,0,0
аміак,0,0,1,0,0,0,0,0,0,0
боєприпаси,0,0,0,0,0,0,0,0,0,0
амнезія,0,0,0,0,0,1,0,0,0,0
амністія,0,0,0,0,1,0,1,0,0,0
аморфний,0,0,0,0,0,0,0,0,0,0
амортизація,0,0,0,0,0,0,0,0,0,1
сума,0,0,0,0,0,0,0,0,0,0
любов,0,1,0,0,1,0,1,0,0,1
амперсанд,0,0,0,0,0,0,0,0,0,0
амфетаміни,0,0,1,0,0,1,0,0,0,0
амфібія,0,0,0,0,0,0,0,0,0,0
амфібія,0,0,0,0,0,0,0,0,0,0
амфітеатр,0,0,0,0,0,0,0,0,0,0
посилення,0,0,0,0,0,0,0,0,0,0
посилювати,0,0,0,0,0,0,0,0,0,0
амплітуда,0,0,0,0,0,0,0,0,0,0
достатньо,0,0,0,0,0,0,0,0,0,0
ампутація,0,0,0,0,0,0,0,0,0,0
амулет,0,0,0,0,0,0,0,0,0,0
розважати,0,0,0,0,1,0,1,0,0,0
потішив,0,0,0,0,1,0,1,0,0,0
розвага,0,0,0,0,1,0,1,0,0,0
забавний,0,0,0,0,1,0,1,0,0,0
ана,0,0,0,0,0,0,0,0,0,0
анаконда,0,0,1,1,0,1,0,0,0,0
анестезія,0,0,0,0,0,0,0,0,0,0
анестетик,0,0,0,0,0,0,0,0,0,0
анальний,0,0,0,0,0,1,0,0,0,0
болезаспокійливий,0,0,0,0,0,0,0,0,0,0
аналогічний,0,0,0,0,0,0,0,0,0,0
аналоговий,0,0,0,0,0,0,0,0,0,0
аналогія,0,0,0,0,0,0,0,0,0,0
аналіз,0,0,0,0,0,0,0,0,0,0
аналітик,0,1,0,0,0,0,1,0,0,1
аналітичний,0,0,0,0,0,0,0,0,0,0
аналізувати,0,0,0,0,0,0,0,0,0,0
аналізатор,0,0,0,0,0,0,0,0,0,0
анархізм,1,0,0,1,0,1,0,0,0,0
анархіст,1,0,0,1,0,1,0,0,0,0
анархія,1,0,0,1,0,1,0,0,0,0
анастомоз,0,0,0,0,0,0,0,0,0,0
анафема,1,0,1,1,0,1,0,1,0,0
анатомічний,0,0,0,0,0,0,0,0,0,0
анатомія,0,0,0,0,0,0,0,0,0,0
предок,0,0,0,0,0,0,0,0,0,0
родовий,0,0,0,0,0,0,0,0,0,1
походження,0,0,0,0,0,0,0,0,0,0
якір,0,0,0,0,0,0,1,0,0,0
якірна стоянка,0,0,0,0,0,0,1,1,0,0
давній,0,0,0,0,0,1,0,0,0,0
допоміжний,0,0,0,0,0,0,0,0,0,0
андроген,0,0,0,0,0,0,0,0,0,0
анемона,0,0,0,0,0,0,0,0,0,0
заново,0,0,0,0,0,0,0,0,0,0
ангел,0,1,0,0,1,0,1,0,1,1
ангельський,0,0,0,0,1,0,1,0,0,1
гнів,1,0,0,0,0,1,0,0,0,0
ангіна,0,0,0,1,0,1,0,0,0,0
ангіографія,0,0,0,0,0,0,0,0,0,0
кут,0,0,0,0,0,0,0,0,0,0
риболовля,0,1,0,0,0,1,0,0,0,0
злий,1,0,1,0,0,1,0,0,0,0
туга,1,0,0,1,0,1,0,1,0,0
кутовий,0,0,0,0,0,0,0,0,0,0
безводний,0,0,0,0,0,0,0,0,0,0
тварина,0,0,0,0,0,0,0,0,0,0
оживити,0,0,0,0,0,0,1,0,0,0
анімований,0,0,0,0,1,0,1,0,0,0
анімація,0,0,0,0,0,0,0,0,0,0
ворожість,1,0,1,1,0,1,0,1,0,0
анімус,1,0,0,0,0,1,0,0,0,0
щиколотка,0,0,0,0,0,0,0,0,0,0
літопис,0,0,0,0,0,0,0,0,0,0
додаток,0,0,0,0,0,0,0,0,0,0
анексія,0,0,0,0,0,0,0,0,0,0
прибудова,0,0,0,0,0,0,0,0,0,0
анігілювати,1,0,0,1,0,1,0,0,0,0
знищений,1,0,0,1,0,1,0,1,0,0
анігіляція,1,0,0,1,0,1,0,1,0,0
анотувати,0,0,0,0,0,0,0,0,0,0
анотація,0,0,0,0,0,0,0,0,0,0
оголосити,0,0,0,0,0,0,0,0,0,0
оголошення,0,1,0,0,0,0,0,0,0,0
дратувати,1,0,1,0,0,1,0,0,0,0
роздратування,1,0,1,0,0,1,0,0,0,0
дратує,1,0,0,0,0,1,0,0,0,0
ануїтет,0,0,0,0,0,0,0,0,0,0
анулювати,0,0,0,0,0,1,0,0,0,0
кільцевий,0,0,0,0,0,0,0,0,0,0
анулювання,0,0,0,0,0,1,0,1,0,0
кільце,0,0,0,0,0,0,0,0,0,0
миропомазання,0,0,0,0,0,0,0,0,0,0
аномальний,0,0,0,0,0,0,0,0,0,0
аномалія,0,0,0,1,0,1,0,0,1,0
анон,0,0,0,0,0,0,0,0,0,0
анонімний,0,0,0,0,0,1,0,0,0,0
відповідь,0,0,0,0,0,0,0,0,0,0
відповідальний,0,0,0,0,0,0,0,0,0,1
відповідаючи,0,0,0,0,0,0,0,0,0,0
мураха,0,0,0,0,0,0,0,0,0,0
антагонізм,1,0,0,0,0,1,0,0,0,0
