Dutch Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
geabsorbeerd,0,0,0,0,0,0,1,0,0,0
absorberend,0,0,0,0,0,0,0,0,0,0
absorberend,0,0,0,0,0,0,0,0,0,0
absorptie,0,0,0,0,0,0,0,0,0,0
onthouden,0,0,0,0,0,0,0,0,0,0
onthouding,0,0,0,0,0,0,0,0,0,0
onthouding,0,0,0,0,0,0,0,0,0,0
abstract,0,0,0,0,0,0,0,0,0,0
abstractie,0,0,0,0,0,0,0,0,0,0
absurd,0,0,0,0,0,1,0,0,0,0
absurditeit,0,0,0,0,0,1,0,0,0,0
overvloed,0,1,1,0,1,1,1,0,0,1
overvloedig,0,0,0,0,1,0,1,0,0,0
misbruik,1,0,1,1,0,1,0,1,0,0
steunpunt,0,0,0,0,0,0,0,0,0,0
aby,0,0,0,0,0,0,0,0,0,0
verschrikkelijk,0,0,0,0,0,1,0,1,0,0
afgrond,0,0,0,1,0,1,0,1,0,0
academisch,0,0,0,0,0,0,1,0,0,1
academie,0,0,0,0,0,0,1,0,0,0
toetreden,0,0,0,0,0,0,0,0,0,0
versnellen,0,1,0,0,0,0,0,0,0,0
versnelling,0,0,0,0,0,0,0,0,0,0
accent,0,0,0,0,0,0,0,0,0,0
accentueren,0,0,0,0,0,0,0,0,0,0
aanvaarden,0,0,0,0,0,0,0,0,0,0
aanvaardbaar,0,0,0,0,0,0,1,0,0,0
aanvaarding,0,0,0,0,0,0,1,0,0,0
toegang,0,0,0,0,0,0,0,0,0,0
beschikbaar,0,0,0,0,0,0,1,0,0,0
toetreding,0,0,0,0,0,0,0,0,0,0
accessoire,0,0,0,0,0,0,0,0,0,0
ongeluk,0,0,0,1,0,1,0,1,1,0
toevallig,0,0,0,1,0,1,0,0,1,0
per ongeluk,0,0,0,0,0,0,0,0,1,0
accolade,0,1,0,0,1,0,1,0,1,1
accommoderen,0,0,0,0,0,0,0,0,0,0
accommodatie,0,0,0,0,0,0,1,0,0,0
begeleiding,0,1,0,0,1,0,1,0,0,1
begeleiden,0,0,0,0,0,0,0,0,0,0
begeleidend,0,0,0,0,0,0,0,0,0,0
medeplichtige,0,0,0,0,0,0,0,0,0,0
bereiken,0,0,0,0,1,0,1,0,0,0
volbracht,0,0,0,0,1,0,1,0,0,0
prestatie,0,0,0,0,0,0,1,0,0,0
overeenstemming,0,0,0,0,0,0,1,0,0,1
overeenstemming,0,0,0,0,0,0,0,0,0,0
accordeon,0,0,0,0,0,0,0,0,0,0
account,0,0,0,0,0,0,0,0,0,1
verantwoordelijkheid,0,0,0,0,0,0,1,0,0,1
verantwoordelijk,0,0,0,0,0,0,1,0,0,1
accountant,0,0,0,0,0,0,0,0,0,1
boekhouding,0,0,0,0,0,0,0,0,0,0
rekeningen,0,0,0,0,0,0,0,0,0,1
geaccrediteerd,0,0,0,0,0,0,1,0,0,1
aanwas,0,0,0,0,0,0,0,0,0,0
groeien,0,0,0,0,0,0,0,0,0,0
accueil,0,0,0,0,0,0,1,0,0,0
accumuleren,0,0,0,0,0,0,0,0,0,0
accumulatie,0,0,0,0,0,0,0,0,0,0
nauwkeurigheid,0,0,0,0,0,0,0,0,0,0
nauwkeurig,0,0,0,0,0,0,1,0,0,1
vervloekt,1,0,0,1,0,1,0,1,0,0
beschuldiging,1,0,1,0,0,1,0,0,0,0
accusatief,0,0,0,0,0,1,0,0,0,0
beschuldigd,1,0,0,1,0,1,0,0,0,0
aanklager,1,0,0,1,0,1,0,0,0,0
beschuldigen,1,0,0,1,0,1,0,0,0,0
gebruikelijk,0,0,0,0,0,0,0,0,0,0
ace,0,0,0,0,0,0,1,0,0,0
azijnzuur,0,0,0,0,0,0,0,0,0,0
pijn,0,0,0,0,0,1,0,1,0,0
bereiken,0,0,0,0,1,0,1,0,0,1
prestatie,0,1,0,0,1,0,1,0,0,1
pijn doen,0,0,0,0,0,1,0,1,0,0
zuur,0,0,0,0,0,1,0,0,0,0
zuurgraad,0,0,0,0,0,0,0,0,0,0
erkennen,0,0,0,0,0,0,0,0,0,0
erkend,0,0,0,0,0,0,0,0,0,0
erkenning,0,0,0,0,0,0,1,0,0,0
toppunt,0,0,0,0,0,0,0,0,0,0
akoestisch,0,0,0,0,0,0,0,0,0,0
akoestiek,0,0,0,0,0,0,0,0,0,0
kennismaken,0,0,0,0,0,0,0,0,0,0
kennis,0,0,0,0,0,0,0,0,0,0
kennis gemaakt,0,0,0,0,0,0,0,0,0,0
berusting,0,0,0,0,0,0,0,0,0,0
verwerven,0,0,0,0,0,0,1,0,0,0
verwerven,0,1,0,0,0,0,1,0,0,0
acquisitie,0,0,0,0,0,0,0,0,0,0
aanwinsten,0,0,0,0,0,0,0,0,0,0
areaal,0,0,0,0,0,0,0,0,0,0
acres,0,0,0,0,0,0,0,0,0,0
acrobaat,0,0,0,1,1,0,1,0,0,1
handelen,0,0,0,0,0,0,0,0,0,0
acteren,0,0,0,0,0,0,0,0,0,0
actie,0,0,0,0,0,0,1,0,0,0
uitvoerbaar,1,0,1,0,0,1,0,0,0,0
actief,0,0,0,0,0,0,0,0,0,0
werkzaamheid,0,0,0,0,0,0,0,0,0,0
acteur,0,0,0,0,0,0,0,0,0,0
feitelijk,0,0,0,0,0,0,1,0,0,0
actualiteit,0,0,0,0,0,0,0,0,0,0
actuaris,0,0,0,0,0,0,0,0,0,0
scherpte,0,0,0,0,0,0,1,0,0,0
inzicht,0,0,0,0,0,0,1,0,0,0
acupunctuur,0,0,0,0,0,0,0,0,0,0
acuut,0,0,0,0,0,0,0,0,0,0
gezegde,0,0,0,0,0,0,0,0,0,0
onbuigzaam,0,0,0,0,0,0,0,0,0,0
aanpassen,0,0,0,0,0,0,1,0,0,0
aanpasbaar,0,0,0,0,0,0,1,0,0,0
toevoegen,0,0,0,0,0,0,0,0,0,0
toegevoegd,0,0,0,0,0,0,0,0,0,0
addendum,0,0,0,0,0,0,0,0,0,0
adder,1,0,1,1,0,1,0,1,0,0
verslaving,0,0,0,0,0,1,0,0,0,0
toevoeging,0,0,0,0,0,0,0,0,0,0
aanvullend,0,0,0,0,0,0,0,0,0,0
additief,0,0,0,0,0,0,0,0,0,0
adres,0,0,0,0,0,0,0,0,0,0
geadresseerde,0,0,0,0,0,0,0,0,0,0
adressen,0,1,0,0,0,0,1,0,0,0
bedreven,0,0,0,0,0,0,1,0,0,0
geschiktheid,0,0,0,0,0,0,1,0,0,0
adequaat,0,0,0,0,0,0,0,0,0,0
naleven,0,0,0,0,0,0,0,0,0,0
aanhankelijkheid,0,0,0,0,0,0,0,0,0,0
aanhanger,0,0,0,0,0,0,0,0,0,0
aanhangen,0,0,0,0,0,0,0,0,0,1
adhesie,0,0,0,0,0,0,0,0,0,0
Zelfklevend,0,0,0,0,0,0,0,0,0,0
Adieu,0,0,0,0,0,0,0,0,0,0
vet,0,0,0,0,0,1,0,0,0,0
nabijheid,0,0,0,0,0,0,0,0,0,0
aangrenzend,0,0,0,0,0,0,0,0,0,0
adjectief,0,0,0,0,0,0,0,0,0,0
aangrenzend,0,0,0,0,0,0,0,0,0,0
verdagen,0,0,0,0,0,0,0,0,0,0
verdaging,0,0,0,0,0,0,0,0,0,0
oordelen,0,0,0,1,0,1,0,0,0,0
arbitrage,0,0,0,0,0,0,0,0,0,0
adjunct,0,0,0,0,0,0,1,0,0,0
aanpassen,0,0,0,0,0,0,0,0,0,0
aanpassing,0,0,0,0,0,0,0,0,0,0
adjuvans,0,0,0,0,0,0,0,0,0,0
beheren,0,0,0,0,0,0,0,0,0,0
administratie,0,0,0,0,0,0,0,0,0,0
administratief,0,0,0,0,0,0,0,0,0,1
bewonderenswaardig,0,0,0,0,1,0,1,0,0,1
admiraal,0,0,0,0,0,0,1,0,0,1
admiraliteit,0,0,0,0,0,0,0,0,0,0
bewondering,0,0,0,0,1,0,1,0,0,1
bewonderen,0,0,0,0,0,0,1,0,0,1
bewonderaar,0,0,0,0,0,0,1,0,0,0
toelaatbaarheid,0,0,0,0,0,0,0,0,0,0
toelaatbaar,0,0,0,0,0,0,1,0,0,1
erkenning,0,0,0,0,0,0,0,0,0,0
geef toe,0,0,0,0,0,0,0,0,0,0
toelating,0,0,0,0,0,0,0,0,0,0
toegelaten,0,0,0,0,0,0,0,0,0,0
toegeven,0,0,0,0,0,0,0,0,0,0
bijmenging,0,0,0,0,0,0,0,0,0,0
vermaning,0,0,0,1,0,1,0,0,0,0
gedoe,0,0,0,0,0,0,0,0,0,0
adobe,0,0,0,0,0,0,0,0,0,0
adolescentie,0,0,0,0,0,0,0,0,0,0
puber,0,0,0,0,0,0,0,0,0,0
adopteren,0,0,0,0,0,0,0,0,0,0
adoptie,0,0,0,0,0,0,0,0,0,0
schattig,0,0,0,0,1,0,1,0,0,0
aanbidding,0,0,0,0,1,0,1,0,0,1
dol zijn op,0,1,0,0,1,0,1,0,0,1
sieren,0,0,0,0,0,0,0,0,0,0
versiering,0,0,0,0,0,0,0,0,0,0
op drift,0,1,0,1,0,1,0,1,0,0
volwassen,0,0,0,0,0,0,0,0,0,0
vervalst,0,0,0,0,0,1,0,0,0,0
overspel,0,0,1,0,0,1,0,1,0,0
voorschot,0,1,0,1,1,0,1,0,1,0
Geavanceerd,0,0,0,0,0,0,1,0,0,0
vooruitgang,0,0,0,0,0,0,1,0,0,0
voortschrijdend,0,0,0,0,0,0,0,0,0,0
voordeel,0,0,0,0,0,0,1,0,0,0
voordelig,0,0,0,0,0,0,1,0,0,0
komst,0,1,0,0,1,0,1,0,0,1
avontuur,0,1,0,0,0,0,1,0,0,0
avonturier,0,0,0,0,0,0,0,0,0,0
avontuurlijk,0,0,0,0,0,0,1,0,0,0
tegenstander,1,0,0,0,0,1,0,0,0,0
nadelig,1,0,1,1,0,1,0,1,0,0
tegenslag,1,0,0,1,0,1,0,1,0,0
reclame maken,0,0,0,0,0,0,0,0,0,0
advertentie,0,0,0,0,0,0,0,0,0,0
het advies,0,0,0,0,0,0,0,0,0,1
aan te raden,0,0,0,0,0,0,1,0,0,1
adviseren,0,0,0,0,0,0,1,0,0,1
geadviseerd,0,0,0,0,0,0,0,0,0,1
advies,0,0,0,0,0,0,0,0,0,0
adviseur,0,0,0,0,0,0,1,0,0,1
belangenbehartiging,1,1,0,0,1,0,1,0,0,1
pleiten voor,0,0,0,0,0,0,0,0,0,1
aegis,0,0,0,0,0,0,0,0,0,0
beluchting,0,0,0,0,0,0,0,0,0,0
antenne,0,0,0,0,0,0,0,0,0,0
luchtvaartterrein,0,0,0,0,0,0,0,0,0,0
aërodynamica,0,0,0,0,0,0,0,0,0,0
luchtvaart,0,0,0,0,0,0,0,0,0,0
vliegtuig,0,0,0,0,0,0,0,0,0,0
stijlvol,0,0,0,0,0,0,1,0,0,0
esthetiek,0,0,0,0,1,0,1,0,0,0
etiologie,0,0,0,0,0,0,0,0,0,0
ver weg,0,0,0,0,0,0,0,0,0,0
minzaam,0,0,0,0,0,0,1,0,0,0
affaire,0,0,0,0,0,0,0,0,0,0
beïnvloeden,0,0,0,0,0,0,0,0,0,0
affectie,0,0,0,0,1,0,1,0,0,1
genegenheid,0,0,0,0,0,0,0,0,0,0
affiche,0,0,0,0,0,0,0,0,0,0
verklaring,0,0,0,0,0,0,0,0,0,0
aangesloten,0,0,0,0,0,0,1,0,0,0
verbondenheid,0,0,0,0,0,0,0,0,0,0
affiniteit,0,0,0,0,0,0,0,0,0,0
bevestigen,0,0,0,0,0,0,1,0,0,1
bevestiging,0,0,0,0,0,0,1,0,0,0
bevestigend,0,0,0,0,0,0,1,0,0,0
bevestigend,0,0,0,0,0,0,1,0,0,1
bevestigen,0,0,0,0,0,0,0,0,0,0
kwellen,0,0,0,1,0,1,0,1,0,0
gekweld,0,0,0,0,0,1,0,0,0,0
kwelling,0,0,1,1,0,1,0,1,0,0
welvaart,0,0,0,0,1,0,1,0,0,0
rijk,0,0,0,0,0,0,1,0,0,0
veroorloven,0,0,0,0,0,0,1,0,0,0
belediging,1,0,1,1,0,1,0,1,1,0
ver weg,0,0,0,0,0,0,0,0,0,0
eerder,0,0,0,0,0,0,0,0,0,0
voornoemd,0,0,0,0,0,0,0,0,0,0
voornoemd,0,0,0,0,0,0,0,0,0,0
bang,0,0,0,1,0,1,0,0,0,0
opnieuw,0,0,0,0,0,0,0,0,0,0
achter,0,0,0,0,0,0,0,0,0,0
nasleep,1,0,1,1,0,1,0,1,0,0
middag,0,0,0,0,0,0,0,0,0,0
nasmaak,0,0,0,0,0,1,0,0,0,0
bijzaak,0,0,0,0,0,0,0,0,0,0
weer,0,0,0,1,0,0,1,0,0,1
agaat,0,0,0,0,0,0,0,0,0,0
leeftijd,0,0,0,0,0,0,0,0,0,0
oud,0,0,0,0,0,0,0,0,0,0
bureau,0,0,0,0,0,0,0,0,0,0
tussenpersoon,0,0,0,0,0,0,0,0,0,0
agglomeratie,0,0,0,0,0,0,0,0,0,0
verergerd,1,0,0,0,0,1,0,0,0,0
verzwarend,1,0,0,0,0,1,0,1,0,0
verergering,1,0,1,0,0,1,0,0,0,0
totaal,0,0,0,0,0,0,0,0,0,0
aggregatie,0,0,0,0,0,0,0,0,0,0
agressie,1,0,0,1,0,1,0,0,0,0
agressief,1,0,0,1,0,1,0,0,0,0
agressor,1,0,0,1,0,1,0,0,0,0
verbijsterd,0,0,1,1,0,1,0,0,1,0
weerbaar,0,0,0,0,0,0,1,0,0,0
wendbaarheid,0,0,0,0,0,0,1,0,0,0
opgewonden,1,0,0,0,0,1,0,0,0,0
agitatie,1,0,0,0,0,1,0,0,0,0
agnostisch,0,0,0,0,0,0,0,0,0,0
geleden,0,0,0,0,0,0,0,0,0,0
kwellend,0,0,0,1,0,1,0,0,0,0
nood,1,0,0,1,0,1,0,1,0,0
mee eens zijn,0,0,0,0,0,0,1,0,0,0
aangenaam,0,0,0,0,0,0,1,0,0,1
overeengekomen,0,0,0,0,0,0,1,0,0,1
akkoord gaan,0,0,0,0,0,0,1,0,0,1
overeenkomst,0,0,0,0,0,0,1,0,0,1
agrarisch,0,0,0,0,0,0,0,0,0,0
landbouw,0,0,0,0,0,0,1,0,0,0
aan de grond,0,0,0,0,0,1,0,0,0,0
agua,0,0,0,0,0,0,0,0,0,0
vooruit,0,0,0,0,0,0,1,0,0,0
hulp,0,0,0,0,0,0,1,0,0,0
helpen,0,0,0,0,0,0,1,0,0,0
ail,0,0,0,0,0,1,0,1,0,0
ziekelijk,0,0,0,1,0,1,0,1,0,0
aandoening,0,0,0,0,0,0,0,0,0,0
doel,0,0,0,0,0,0,0,0,0,0
doelloos,0,0,0,0,0,1,0,0,0,0
lucht,0,0,0,0,0,0,0,0,0,0
luchtkussen,0,0,0,0,0,0,0,0,0,0
luchtbrug,0,0,0,0,0,0,0,0,0,0
luchtvaartmaatschappij,0,0,0,0,0,0,0,0,0,0
vlieger,0,0,0,0,0,0,0,0,0,0
vliegtuig,0,0,0,0,0,0,0,0,0,0
luchthaven,0,1,0,0,0,0,0,0,0,0
uitgezonden,0,0,1,0,0,1,0,0,0,0
luchtschip,0,0,0,0,0,0,0,0,0,0
gangpad,0,0,0,0,0,0,0,0,0,0
ait,0,0,0,0,0,0,0,0,0,0
op een kier,0,0,0,0,0,0,0,0,0,0
verwant,0,0,0,0,0,0,0,0,0,1
albast,0,0,0,0,0,0,1,0,0,0
alarm,0,0,0,1,0,1,0,0,1,0
alarmerend,0,0,0,1,0,1,0,0,1,0
alb,0,0,0,0,0,0,0,0,0,1
album,0,0,0,0,0,0,0,0,0,0
alchimie,0,0,0,0,0,0,0,0,0,0
alcohol,0,0,0,0,0,0,0,0,0,0
alcoholisme,1,0,1,1,0,1,0,1,0,0
prieel,0,0,0,0,0,0,0,0,0,0
alarmeren,0,0,0,0,0,0,0,0,0,0
alertheid,0,1,0,1,0,0,1,0,1,0
waarschuwingen,0,1,0,1,0,0,0,0,1,0
luzerne,0,0,0,0,0,0,0,0,0,0
algebra,0,0,0,0,0,0,0,0,0,0
algebraïsch,0,0,0,0,0,0,0,0,0,0
algoritme,0,0,0,0,0,0,0,0,0,0
alibi,0,0,0,0,0,0,0,0,0,0
buitenaards wezen,0,0,1,1,0,1,0,0,0,0
vervreemden,1,0,1,0,0,1,0,0,0,0
vervreemd,0,0,0,0,0,1,0,1,0,0
vervreemding,1,0,1,1,0,1,0,1,0,0
uitstappen,0,0,0,0,0,0,0,0,0,0
uitgelijnd,0,0,0,0,0,0,0,0,0,0
uitlijning,0,0,0,0,0,0,0,0,0,0
gelijk,0,0,0,0,0,0,0,0,0,0
voeding,0,0,0,0,0,0,1,0,0,0
alimentatie,0,0,0,0,0,1,0,0,0,0
portie,0,0,0,0,0,0,0,0,0,0
in leven,0,1,0,0,1,0,1,0,0,1
alkali,0,0,0,0,0,0,0,0,0,0
alkaloïden,0,0,0,0,0,0,0,0,0,0
wegnemen,0,0,0,0,0,0,1,0,0,0
bewering,1,0,0,0,0,1,0,0,0,0
beweren,0,0,0,0,0,1,0,0,0,0
zogenaamd,0,0,0,0,0,0,0,0,0,0
loyaliteit,0,0,0,0,0,0,1,0,0,1
allegorisch,0,0,0,0,0,0,0,0,0,0
allegorie,0,0,0,0,0,0,0,0,0,0
allegro,0,0,0,0,0,0,1,0,0,0
verlichten,0,0,0,0,0,0,1,0,0,0
verlichting,0,0,0,0,0,0,1,0,0,0
steeg,0,0,0,0,0,0,0,0,0,0
alliantie,0,0,0,0,0,0,0,0,0,1
bondgenoot,0,0,0,0,0,0,1,0,0,1
alligator,0,0,0,0,0,0,0,0,0,0
toewijzen,0,0,0,0,0,0,0,0,0,0
toewijzing,0,0,0,0,0,0,0,0,0,0
toewijzen,0,0,0,0,0,0,0,0,0,0
toewijzing,0,0,0,0,0,0,0,0,0,0
toelaatbaar,0,0,0,0,0,0,1,0,0,0
zakgeld,0,0,0,0,0,0,0,0,0,0
toegestaan,0,0,0,0,0,0,0,0,0,0
legering,0,0,0,0,0,0,0,0,0,0
verleiden,0,1,0,0,1,0,1,0,1,0
verleidelijk,0,0,0,0,0,0,1,0,0,0
toespeling,0,0,0,0,0,0,0,0,0,0
alluviaal,0,0,0,0,0,0,0,0,0,0
steeg,0,0,0,0,0,0,1,0,0,1
almanak,0,0,0,0,0,0,0,0,0,0
almachtig,0,0,0,0,0,0,1,0,0,0
omhoog,0,0,0,0,0,0,0,0,0,0
aloha,0,1,0,0,1,0,1,0,0,0
naast,0,0,0,0,0,0,0,0,0,0
terughoudend,0,0,0,0,0,1,0,0,0,0
hardop,0,0,0,0,0,0,0,0,0,0
alfabet,0,0,0,0,0,0,0,0,0,0
alfabetisch,0,0,0,0,0,0,0,0,0,0
altaar,0,0,0,0,0,0,0,0,0,0
wijzigen,0,0,0,0,0,0,0,0,0,0
wijziging,0,0,0,0,0,0,0,0,0,0
woordenwisseling,1,0,0,0,0,1,0,0,0,0
gewijzigd,0,0,0,0,0,0,0,0,0,0
afwisselend,0,0,0,0,0,0,0,0,0,0
alternatief,0,0,0,0,0,0,0,0,0,0
hoogte,0,0,0,0,0,0,0,0,0,0
alt,0,0,0,0,0,0,0,0,0,0
allemaal samen,0,0,0,0,0,0,0,0,0,0
alumnus,0,0,0,0,0,0,0,0,0,0
alveolair,0,0,0,0,0,0,0,0,0,0
amalgaam,0,0,0,0,0,0,0,0,0,0
samensmelting,0,0,0,0,0,0,0,0,0,0
vergaren,0,0,0,0,0,0,0,0,0,0
amateur,0,0,0,0,0,0,0,0,0,0
verbazen,0,0,0,0,0,0,0,0,1,0
verbazing,0,0,0,0,0,0,0,0,0,0
verbazingwekkend,0,0,0,0,1,0,1,0,1,0
ambassadeur,0,0,0,0,0,0,1,0,0,1
amber,0,0,0,0,0,0,0,0,0,0
omgeving,0,0,0,0,0,0,0,0,0,0
meerduidigheid,0,0,0,0,0,0,0,0,0,0
dubbelzinnig,0,0,0,0,0,1,0,0,0,0
strekking,0,0,0,0,0,0,0,0,0,0
ambitie,0,1,0,0,1,0,1,0,0,1
ambitieus,0,0,0,0,0,0,0,0,0,0
ambulance,0,0,0,1,0,0,0,0,0,1
hinderlaag,1,0,0,1,0,1,0,0,1,0
verbeteren,0,0,0,0,0,0,1,0,0,0
amen,0,0,0,0,1,0,1,0,0,1
ontvankelijk,0,0,0,0,0,0,1,0,0,0
wijzigen,0,0,0,0,0,0,1,0,0,0
wijziging,0,0,0,0,0,0,0,0,0,0
verbetert,0,0,0,0,0,0,1,0,0,0
voorziening,0,0,0,0,0,0,1,0,0,0
amethist,0,0,0,0,0,0,0,0,0,0
beminnelijk,0,0,0,0,0,0,1,0,0,0
vriendschappelijk,0,0,0,0,1,0,1,0,0,0
te midden van,0,0,0,0,0,0,0,0,0,0
temidden van,0,0,0,0,0,0,0,0,0,0
ammoniak,0,0,1,0,0,0,0,0,0,0
munitie,0,0,0,0,0,0,0,0,0,0
geheugenverlies,0,0,0,0,0,1,0,0,0,0
amnestie,0,0,0,0,1,0,1,0,0,0
amorf,0,0,0,0,0,0,0,0,0,0
afschrijvingen,0,0,0,0,0,0,0,0,0,1
hoeveelheid,0,0,0,0,0,0,0,0,0,0
verliefdheid,0,1,0,0,1,0,1,0,0,1
ampersand,0,0,0,0,0,0,0,0,0,0
amfetaminen,0,0,1,0,0,1,0,0,0,0
amfibie,0,0,0,0,0,0,0,0,0,0
amfibisch,0,0,0,0,0,0,0,0,0,0
amfitheater,0,0,0,0,0,0,0,0,0,0
versterking,0,0,0,0,0,0,0,0,0,0
versterken,0,0,0,0,0,0,0,0,0,0
amplitude,0,0,0,0,0,0,0,0,0,0
ruimschoots,0,0,0,0,0,0,0,0,0,0
amputatie,0,0,0,0,0,0,0,0,0,0
amulet,0,0,0,0,0,0,0,0,0,0
amuseren,0,0,0,0,1,0,1,0,0,0
geamuseerd,0,0,0,0,1,0,1,0,0,0
amusement,0,0,0,0,1,0,1,0,0,0
grappig,0,0,0,0,1,0,1,0,0,0
ana,0,0,0,0,0,0,0,0,0,0
anaconda,0,0,1,1,0,1,0,0,0,0
anesthesie,0,0,0,0,0,0,0,0,0,0
verdoving,0,0,0,0,0,0,0,0,0,0
anaal,0,0,0,0,0,1,0,0,0,0
pijnstillend,0,0,0,0,0,0,0,0,0,0
analoog,0,0,0,0,0,0,0,0,0,0
analoog,0,0,0,0,0,0,0,0,0,0
analogie,0,0,0,0,0,0,0,0,0,0
analyse,0,0,0,0,0,0,0,0,0,0
analist,0,1,0,0,0,0,1,0,0,1
analytisch,0,0,0,0,0,0,0,0,0,0
analyseren,0,0,0,0,0,0,0,0,0,0
analysator,0,0,0,0,0,0,0,0,0,0
anarchisme,1,0,0,1,0,1,0,0,0,0
anarchist,1,0,0,1,0,1,0,0,0,0
anarchie,1,0,0,1,0,1,0,0,0,0
anastomose,0,0,0,0,0,0,0,0,0,0
anathema,1,0,1,1,0,1,0,1,0,0
anatomisch,0,0,0,0,0,0,0,0,0,0
anatomie,0,0,0,0,0,0,0,0,0,0
Voorouder,0,0,0,0,0,0,0,0,0,0
voorouderlijk,0,0,0,0,0,0,0,0,0,1
voorgeslacht,0,0,0,0,0,0,0,0,0,0
anker,0,0,0,0,0,0,1,0,0,0
ankerplaats,0,0,0,0,0,0,1,1,0,0
oud,0,0,0,0,0,1,0,0,0,0
bijkomstig,0,0,0,0,0,0,0,0,0,0
androgeen,0,0,0,0,0,0,0,0,0,0
anemoon,0,0,0,0,0,0,0,0,0,0
opnieuw,0,0,0,0,0,0,0,0,0,0
engel,0,1,0,0,1,0,1,0,1,1
engelachtig,0,0,0,0,1,0,1,0,0,1
woede,1,0,0,0,0,1,0,0,0,0
angina,0,0,0,1,0,1,0,0,0,0
angiografie,0,0,0,0,0,0,0,0,0,0
hoek,0,0,0,0,0,0,0,0,0,0
vissen,0,1,0,0,0,1,0,0,0,0
boos,1,0,1,0,0,1,0,0,0,0
doodsangst,1,0,0,1,0,1,0,1,0,0
hoekig,0,0,0,0,0,0,0,0,0,0
watervrij,0,0,0,0,0,0,0,0,0,0
dier,0,0,0,0,0,0,0,0,0,0
animeren,0,0,0,0,0,0,1,0,0,0
geanimeerd,0,0,0,0,1,0,1,0,0,0
animatie,0,0,0,0,0,0,0,0,0,0
vijandigheid,1,0,1,1,0,1,0,1,0,0
animositeit,1,0,0,0,0,1,0,0,0,0
enkel,0,0,0,0,0,0,0,0,0,0
annalen,0,0,0,0,0,0,0,0,0,0
bijlage,0,0,0,0,0,0,0,0,0,0
annexatie,0,0,0,0,0,0,0,0,0,0
bijgebouw,0,0,0,0,0,0,0,0,0,0
vernietigen,1,0,0,1,0,1,0,0,0,0
vernietigd,1,0,0,1,0,1,0,1,0,0
vernietiging,1,0,0,1,0,1,0,1,0,0
annoteren,0,0,0,0,0,0,0,0,0,0
annotatie,0,0,0,0,0,0,0,0,0,0
aankondigen,0,0,0,0,0,0,0,0,0,0
Aankondiging,0,1,0,0,0,0,0,0,0,0
ergeren,1,0,1,0,0,1,0,0,0,0
ergernis,1,0,1,0,0,1,0,0,0,0
vervelend,1,0,0,0,0,1,0,0,0,0
lijfrente,0,0,0,0,0,0,0,0,0,0
annuleren,0,0,0,0,0,1,0,0,0,0
