Russian Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
поклонник,0,0,0,0,0,0,1,0,0,0
приемлемость,0,0,0,0,0,0,0,0,0,0
допустимый,0,0,0,0,0,0,1,0,0,1
допуск,0,0,0,0,0,0,0,0,0,0
признавать,0,0,0,0,0,0,0,0,0,0
допуск,0,0,0,0,0,0,0,0,0,0
допущенный,0,0,0,0,0,0,0,0,0,0
признавая,0,0,0,0,0,0,0,0,0,0
примесь,0,0,0,0,0,0,0,0,0,0
замечание,0,0,0,1,0,1,0,0,0,0
суета,0,0,0,0,0,0,0,0,0,0
саман,0,0,0,0,0,0,0,0,0,0
подростковый возраст,0,0,0,0,0,0,0,0,0,0
подросток,0,0,0,0,0,0,0,0,0,0
усыновить,0,0,0,0,0,0,0,0,0,0
принятие,0,0,0,0,0,0,0,0,0,0
восхитительный,0,0,0,0,1,0,1,0,0,0
обожание,0,0,0,0,1,0,1,0,0,1
обожать,0,1,0,0,1,0,1,0,0,1
украшать,0,0,0,0,0,0,0,0,0,0
украшение,0,0,0,0,0,0,0,0,0,0
дрейфовать по течению,0,1,0,1,0,1,0,1,0,0
взрослый,0,0,0,0,0,0,0,0,0,0
фальсифицированный,0,0,0,0,0,1,0,0,0,0
прелюбодеяние,0,0,1,0,0,1,0,1,0,0
продвигать,0,1,0,1,1,0,1,0,1,0
передовой,0,0,0,0,0,0,1,0,0,0
продвижение,0,0,0,0,0,0,1,0,0,0
продвижение,0,0,0,0,0,0,0,0,0,0
преимущество,0,0,0,0,0,0,1,0,0,0
выгодный,0,0,0,0,0,0,1,0,0,0
пришествие,0,1,0,0,1,0,1,0,0,1
приключение,0,1,0,0,0,0,1,0,0,0
авантюрист,0,0,0,0,0,0,0,0,0,0
предприимчивый,0,0,0,0,0,0,1,0,0,0
противник,1,0,0,0,0,1,0,0,0,0
неблагоприятный,1,0,1,1,0,1,0,1,0,0
несчастье,1,0,0,1,0,1,0,1,0,0
рекламировать,0,0,0,0,0,0,0,0,0,0
рекламное объявление,0,0,0,0,0,0,0,0,0,0
совет,0,0,0,0,0,0,0,0,0,1
желательно,0,0,0,0,0,0,1,0,0,1
советовать,0,0,0,0,0,0,1,0,0,1
посоветовал,0,0,0,0,0,0,0,0,0,1
совет,0,0,0,0,0,0,0,0,0,0
советник,0,0,0,0,0,0,1,0,0,1
защита,1,1,0,0,1,0,1,0,0,1
адвокат,0,0,0,0,0,0,0,0,0,1
эгида,0,0,0,0,0,0,0,0,0,0
аэрация,0,0,0,0,0,0,0,0,0,0
антенна,0,0,0,0,0,0,0,0,0,0
аэродром,0,0,0,0,0,0,0,0,0,0
аэродинамика,0,0,0,0,0,0,0,0,0,0
воздухоплавание,0,0,0,0,0,0,0,0,0,0
самолет,0,0,0,0,0,0,0,0,0,0
эстетический,0,0,0,0,0,0,1,0,0,0
эстетика,0,0,0,0,1,0,1,0,0,0
этиология,0,0,0,0,0,0,0,0,0,0
издалека,0,0,0,0,0,0,0,0,0,0
приветливый,0,0,0,0,0,0,1,0,0,0
роман,0,0,0,0,0,0,0,0,0,0
воздействующий,0,0,0,0,0,0,0,0,0,0
привязанность,0,0,0,0,1,0,1,0,0,1
привязанности,0,0,0,0,0,0,0,0,0,0
афиш,0,0,0,0,0,0,0,0,0,0
аффидевит,0,0,0,0,0,0,0,0,0,0
аффилированный,0,0,0,0,0,0,1,0,0,0
принадлежность,0,0,0,0,0,0,0,0,0,0
близость,0,0,0,0,0,0,0,0,0,0
подтверждать,0,0,0,0,0,0,1,0,0,1
подтверждение,0,0,0,0,0,0,1,0,0,0
утвердительный,0,0,0,0,0,0,1,0,0,0
утвердительно,0,0,0,0,0,0,1,0,0,1
прикреплять,0,0,0,0,0,0,0,0,0,0
поражать,0,0,0,1,0,1,0,1,0,0
страдающий,0,0,0,0,0,1,0,0,0,0
несчастье,0,0,1,1,0,1,0,1,0,0
изобилие,0,0,0,0,1,0,1,0,0,0
богатый,0,0,0,0,0,0,1,0,0,0
предоставлять,0,0,0,0,0,0,1,0,0,0
оскорблять,1,0,1,1,0,1,0,1,1,0
вдали,0,0,0,0,0,0,0,0,0,0
прежде,0,0,0,0,0,0,0,0,0,0
вышеупомянутый,0,0,0,0,0,0,0,0,0,0
вышеупомянутый,0,0,0,0,0,0,0,0,0,0
боюсь,0,0,0,1,0,1,0,0,0,0
заново,0,0,0,0,0,0,0,0,0,0
корма,0,0,0,0,0,0,0,0,0,0
последствия,1,0,1,1,0,1,0,1,0,0
после полудня,0,0,0,0,0,0,0,0,0,0
послевкусие,0,0,0,0,0,1,0,0,0,0
запоздалая мысль,0,0,0,0,0,0,0,0,0,0
ага,0,0,0,1,0,0,1,0,0,1
агат,0,0,0,0,0,0,0,0,0,0
возраст,0,0,0,0,0,0,0,0,0,0
в возрасте,0,0,0,0,0,0,0,0,0,0
агентство,0,0,0,0,0,0,0,0,0,0
агент,0,0,0,0,0,0,0,0,0,0
агломерация,0,0,0,0,0,0,0,0,0,0
усугубленный,1,0,0,0,0,1,0,0,0,0
отягчающий,1,0,0,0,0,1,0,1,0,0
обострение,1,0,1,0,0,1,0,0,0,0
агрегат,0,0,0,0,0,0,0,0,0,0
агрегация,0,0,0,0,0,0,0,0,0,0
агрессия,1,0,0,1,0,1,0,0,0,0
агрессивный,1,0,0,1,0,1,0,0,0,0
агрессор,1,0,0,1,0,1,0,0,0,0
ошеломленный,0,0,1,1,0,1,0,0,1,0
гибкий,0,0,0,0,0,0,1,0,0,0
ловкость,0,0,0,0,0,0,1,0,0,0
взволнованный,1,0,0,0,0,1,0,0,0,0
волнение,1,0,0,0,0,1,0,0,0,0
агностик,0,0,0,0,0,0,0,0,0,0
назад,0,0,0,0,0,0,0,0,0,0
мучительный,0,0,0,1,0,1,0,0,0,0
агония,1,0,0,1,0,1,0,1,0,0
соглашаться,0,0,0,0,0,0,1,0,0,0
приятный,0,0,0,0,0,0,1,0,0,1
согласовано,0,0,0,0,0,0,1,0,0,1
согласие,0,0,0,0,0,0,1,0,0,1
соглашение,0,0,0,0,0,0,1,0,0,1
сельскохозяйственный,0,0,0,0,0,0,0,0,0,0
сельское хозяйство,0,0,0,0,0,0,1,0,0,0
на мели,0,0,0,0,0,1,0,0,0,0
вода,0,0,0,0,0,0,0,0,0,0
предстоящий,0,0,0,0,0,0,1,0,0,0
помогать,0,0,0,0,0,0,1,0,0,0
помощь,0,0,0,0,0,0,1,0,0,0
больной,0,0,0,0,0,1,0,1,0,0
больной,0,0,0,1,0,1,0,1,0,0
болезнь,0,0,0,0,0,0,0,0,0,0
цель,0,0,0,0,0,0,0,0,0,0
бесцельный,0,0,0,0,0,1,0,0,0,0
воздуха,0,0,0,0,0,0,0,0,0,0
воздушная подушка,0,0,0,0,0,0,0,0,0,0
воздушный транспорт,0,0,0,0,0,0,0,0,0,0
авиакомпания,0,0,0,0,0,0,0,0,0,0
летчик,0,0,0,0,0,0,0,0,0,0
самолет,0,0,0,0,0,0,0,0,0,0
аэропорт,0,1,0,0,0,0,0,0,0,0
воздух,0,0,1,0,0,1,0,0,0,0
дирижабль,0,0,0,0,0,0,0,0,0,0
ряд,0,0,0,0,0,0,0,0,0,0
эт,0,0,0,0,0,0,0,0,0,0
приоткрытый,0,0,0,0,0,0,0,0,0,0
похожий,0,0,0,0,0,0,0,0,0,1
алебастр,0,0,0,0,0,0,1,0,0,0
тревога,0,0,0,1,0,1,0,0,1,0
тревожный,0,0,0,1,0,1,0,0,1,0
Альб,0,0,0,0,0,0,0,0,0,1
альбом,0,0,0,0,0,0,0,0,0,0
алхимия,0,0,0,0,0,0,0,0,0,0
алкоголь,0,0,0,0,0,0,0,0,0,0
алкоголизм,1,0,1,1,0,1,0,1,0,0
ниша,0,0,0,0,0,0,0,0,0,0
тревога,0,0,0,0,0,0,0,0,0,0
бдительность,0,1,0,1,0,0,1,0,1,0
оповещения,0,1,0,1,0,0,0,0,1,0
люцерна,0,0,0,0,0,0,0,0,0,0
алгебра,0,0,0,0,0,0,0,0,0,0
алгебраический,0,0,0,0,0,0,0,0,0,0
алгоритм,0,0,0,0,0,0,0,0,0,0
алиби,0,0,0,0,0,0,0,0,0,0
инопланетянин,0,0,1,1,0,1,0,0,0,0
отчуждать,1,0,1,0,0,1,0,0,0,0
отчужденный,0,0,0,0,0,1,0,1,0,0
отчуждение,1,0,1,1,0,1,0,1,0,0
сойти,0,0,0,0,0,0,0,0,0,0
выровнены,0,0,0,0,0,0,0,0,0,0
выравнивание,0,0,0,0,0,0,0,0,0,0
одинаковый,0,0,0,0,0,0,0,0,0,0
питание,0,0,0,0,0,0,1,0,0,0
алименты,0,0,0,0,0,1,0,0,0,0
аликвота,0,0,0,0,0,0,0,0,0,0
в живых,0,1,0,0,1,0,1,0,0,1
щелочь,0,0,0,0,0,0,0,0,0,0
алкалоиды,0,0,0,0,0,0,0,0,0,0
успокаивать,0,0,0,0,0,0,1,0,0,0
обвинение,1,0,0,0,0,1,0,0,0,0
утверждать,0,0,0,0,0,1,0,0,0,0
предполагаемый,0,0,0,0,0,0,0,0,0,0
преданность,0,0,0,0,0,0,1,0,0,1
аллегорический,0,0,0,0,0,0,0,0,0,0
аллегория,0,0,0,0,0,0,0,0,0,0
аллегро,0,0,0,0,0,0,1,0,0,0
облегчить,0,0,0,0,0,0,1,0,0,0
облегчение,0,0,0,0,0,0,1,0,0,0
переулок,0,0,0,0,0,0,0,0,0,0
альянс,0,0,0,0,0,0,0,0,0,1
союзный,0,0,0,0,0,0,1,0,0,1
аллигатор,0,0,0,0,0,0,0,0,0,0
выделять,0,0,0,0,0,0,0,0,0,0
распределение,0,0,0,0,0,0,0,0,0,0
выделять,0,0,0,0,0,0,0,0,0,0
надел,0,0,0,0,0,0,0,0,0,0
допустимый,0,0,0,0,0,0,1,0,0,0
разрешение,0,0,0,0,0,0,0,0,0,0
допустимый,0,0,0,0,0,0,0,0,0,0
сплав,0,0,0,0,0,0,0,0,0,0
очарование,0,1,0,0,1,0,1,0,1,0
соблазнительный,0,0,0,0,0,0,1,0,0,0
намек,0,0,0,0,0,0,0,0,0,0
аллювиальный,0,0,0,0,0,0,0,0,0,0
союзник,0,0,0,0,0,0,1,0,0,1
альманах,0,0,0,0,0,0,0,0,0,0
всемогущий,0,0,0,0,0,0,1,0,0,0
наверху,0,0,0,0,0,0,0,0,0,0
алоха,0,1,0,0,1,0,1,0,0,0
рядом,0,0,0,0,0,0,0,0,0,0
в стороне,0,0,0,0,0,1,0,0,0,0
вслух,0,0,0,0,0,0,0,0,0,0
алфавит,0,0,0,0,0,0,0,0,0,0
алфавитный,0,0,0,0,0,0,0,0,0,0
алтарь,0,0,0,0,0,0,0,0,0,0
изменить,0,0,0,0,0,0,0,0,0,0
изменение,0,0,0,0,0,0,0,0,0,0
ссора,1,0,0,0,0,1,0,0,0,0
измененный,0,0,0,0,0,0,0,0,0,0
чередовать,0,0,0,0,0,0,0,0,0,0
альтернатива,0,0,0,0,0,0,0,0,0,0
высота,0,0,0,0,0,0,0,0,0,0
альт,0,0,0,0,0,0,0,0,0,0
вообще,0,0,0,0,0,0,0,0,0,0
выпускник,0,0,0,0,0,0,0,0,0,0
альвеолярный,0,0,0,0,0,0,0,0,0,0
амальгама,0,0,0,0,0,0,0,0,0,0
слияние,0,0,0,0,0,0,0,0,0,0
накапливать,0,0,0,0,0,0,0,0,0,0
любитель,0,0,0,0,0,0,0,0,0,0
удивлять,0,0,0,0,0,0,0,0,1,0
изумление,0,0,0,0,0,0,0,0,0,0
удивительно,0,0,0,0,1,0,1,0,1,0
посол,0,0,0,0,0,0,1,0,0,1
янтарь,0,0,0,0,0,0,0,0,0,0
окружающий,0,0,0,0,0,0,0,0,0,0
двусмысленность,0,0,0,0,0,0,0,0,0,0
двусмысленный,0,0,0,0,0,1,0,0,0,0
область,0,0,0,0,0,0,0,0,0,0
амбиция,0,1,0,0,1,0,1,0,0,1
честолюбивый,0,0,0,0,0,0,0,0,0,0
скорая помощь,0,0,0,1,0,0,0,0,0,1
засада,1,0,0,1,0,1,0,0,1,0
улучшать,0,0,0,0,0,0,1,0,0,0
аминь,0,0,0,0,1,0,1,0,0,1
податливый,0,0,0,0,0,0,1,0,0,0
исправлять,0,0,0,0,0,0,1,0,0,0
поправка,0,0,0,0,0,0,0,0,0,0
исправляет,0,0,0,0,0,0,1,0,0,0
удобства,0,0,0,0,0,0,1,0,0,0
аметист,0,0,0,0,0,0,0,0,0,0
любезный,0,0,0,0,0,0,1,0,0,0
дружелюбный,0,0,0,0,1,0,1,0,0,0
среди,0,0,0,0,0,0,0,0,0,0
среди,0,0,0,0,0,0,0,0,0,0
аммиак,0,0,1,0,0,0,0,0,0,0
боеприпасы,0,0,0,0,0,0,0,0,0,0
амнезия,0,0,0,0,0,1,0,0,0,0
амнистия,0,0,0,0,1,0,1,0,0,0
аморфный,0,0,0,0,0,0,0,0,0,0
амортизация,0,0,0,0,0,0,0,0,0,1
количество,0,0,0,0,0,0,0,0,0,0
любовь,0,1,0,0,1,0,1,0,0,1
амперсанд,0,0,0,0,0,0,0,0,0,0
амфетамины,0,0,1,0,0,1,0,0,0,0
амфибия,0,0,0,0,0,0,0,0,0,0
амфибия,0,0,0,0,0,0,0,0,0,0
амфитеатр,0,0,0,0,0,0,0,0,0,0
усиление,0,0,0,0,0,0,0,0,0,0
усиливать,0,0,0,0,0,0,0,0,0,0
амплитуда,0,0,0,0,0,0,0,0,0,0
обильно,0,0,0,0,0,0,0,0,0,0
ампутация,0,0,0,0,0,0,0,0,0,0
амулет,0,0,0,0,0,0,0,0,0,0
развлекать,0,0,0,0,1,0,1,0,0,0
изумленный,0,0,0,0,1,0,1,0,0,0
развлечение,0,0,0,0,1,0,1,0,0,0
занимательный,0,0,0,0,1,0,1,0,0,0
ана,0,0,0,0,0,0,0,0,0,0
анаконда,0,0,1,1,0,1,0,0,0,0
анестезия,0,0,0,0,0,0,0,0,0,0
анестетик,0,0,0,0,0,0,0,0,0,0
анальный,0,0,0,0,0,1,0,0,0,0
обезболивающее,0,0,0,0,0,0,0,0,0,0
аналогичный,0,0,0,0,0,0,0,0,0,0
аналог,0,0,0,0,0,0,0,0,0,0
аналогия,0,0,0,0,0,0,0,0,0,0
анализ,0,0,0,0,0,0,0,0,0,0
аналитик,0,1,0,0,0,0,1,0,0,1
аналитический,0,0,0,0,0,0,0,0,0,0
анализировать,0,0,0,0,0,0,0,0,0,0
анализатор,0,0,0,0,0,0,0,0,0,0
анархизм,1,0,0,1,0,1,0,0,0,0
анархист,1,0,0,1,0,1,0,0,0,0
анархия,1,0,0,1,0,1,0,0,0,0
анастомоз,0,0,0,0,0,0,0,0,0,0
анафема,1,0,1,1,0,1,0,1,0,0
анатомический,0,0,0,0,0,0,0,0,0,0
анатомия,0,0,0,0,0,0,0,0,0,0
предок,0,0,0,0,0,0,0,0,0,0
родовой,0,0,0,0,0,0,0,0,0,1
родословная,0,0,0,0,0,0,0,0,0,0
якорь,0,0,0,0,0,0,1,0,0,0
якорная стоянка,0,0,0,0,0,0,1,1,0,0
древний,0,0,0,0,0,1,0,0,0,0
вспомогательный,0,0,0,0,0,0,0,0,0,0
андроген,0,0,0,0,0,0,0,0,0,0
анемон,0,0,0,0,0,0,0,0,0,0
заново,0,0,0,0,0,0,0,0,0,0
ангел,0,1,0,0,1,0,1,0,1,1
ангельский,0,0,0,0,1,0,1,0,0,1
злость,1,0,0,0,0,1,0,0,0,0
стенокардия,0,0,0,1,0,1,0,0,0,0
ангиография,0,0,0,0,0,0,0,0,0,0
угол,0,0,0,0,0,0,0,0,0,0
рыбалка,0,1,0,0,0,1,0,0,0,0
злой,1,0,1,0,0,1,0,0,0,0
тоска,1,0,0,1,0,1,0,1,0,0
угловатый,0,0,0,0,0,0,0,0,0,0
безводный,0,0,0,0,0,0,0,0,0,0
животное,0,0,0,0,0,0,0,0,0,0
оживлять,0,0,0,0,0,0,1,0,0,0
анимированный,0,0,0,0,1,0,1,0,0,0
анимация,0,0,0,0,0,0,0,0,0,0
враждебность,1,0,1,1,0,1,0,1,0,0
враждебность,1,0,0,0,0,1,0,0,0,0
лодыжка,0,0,0,0,0,0,0,0,0,0
анналы,0,0,0,0,0,0,0,0,0,0
приложение,0,0,0,0,0,0,0,0,0,0
аннексия,0,0,0,0,0,0,0,0,0,0
пристройка,0,0,0,0,0,0,0,0,0,0
уничтожить,1,0,0,1,0,1,0,0,0,0
уничтожен,1,0,0,1,0,1,0,1,0,0
уничтожение,1,0,0,1,0,1,0,1,0,0
комментировать,0,0,0,0,0,0,0,0,0,0
аннотация,0,0,0,0,0,0,0,0,0,0
объявить,0,0,0,0,0,0,0,0,0,0
объявление,0,1,0,0,0,0,0,0,0,0
раздражать,1,0,1,0,0,1,0,0,0,0
раздражение,1,0,1,0,0,1,0,0,0,0
раздражающий,1,0,0,0,0,1,0,0,0,0
аннуитет,0,0,0,0,0,0,0,0,0,0
аннулировать,0,0,0,0,0,1,0,0,0,0
кольцевой,0,0,0,0,0,0,0,0,0,0
аннулирование,0,0,0,0,0,1,0,1,0,0
кольцо,0,0,0,0,0,0,0,0,0,0
помазание,0,0,0,0,0,0,0,0,0,0
аномальный,0,0,0,0,0,0,0,0,0,0
аномалия,0,0,0,1,0,1,0,0,1,0
скоро,0,0,0,0,0,0,0,0,0,0
анонимный,0,0,0,0,0,1,0,0,0,0
отвечать,0,0,0,0,0,0,0,0,0,0
ответственный,0,0,0,0,0,0,0,0,0,1
отвечая,0,0,0,0,0,0,0,0,0,0
муравей,0,0,0,0,0,0,0,0,0,0
