Swedish Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
tillfalla,0,0,0,0,0,0,0,0,0,0
accueil,0,0,0,0,0,0,1,0,0,0
ackumulera,0,0,0,0,0,0,0,0,0,0
ackumulation,0,0,0,0,0,0,0,0,0,0
noggrannhet,0,0,0,0,0,0,0,0,0,0
exakt,0,0,0,0,0,0,1,0,0,1
förbannad,1,0,0,1,0,1,0,1,0,0
anklagelse,1,0,1,0,0,1,0,0,0,0
ackusativ,0,0,0,0,0,1,0,0,0,0
den anklagade,1,0,0,1,0,1,0,0,0,0
åklagare,1,0,0,1,0,1,0,0,0,0
anklagande,1,0,0,1,0,1,0,0,0,0
van vid,0,0,0,0,0,0,0,0,0,0
ess,0,0,0,0,0,0,1,0,0,0
ättiksyra,0,0,0,0,0,0,0,0,0,0
värk,0,0,0,0,0,1,0,1,0,0
uppnå,0,0,0,0,1,0,1,0,0,1
prestation,0,1,0,0,1,0,1,0,0,1
värkande,0,0,0,0,0,1,0,1,0,0
syra,0,0,0,0,0,1,0,0,0,0
aciditet,0,0,0,0,0,0,0,0,0,0
erkänna,0,0,0,0,0,0,0,0,0,0
erkänd,0,0,0,0,0,0,0,0,0,0
bekräftelse,0,0,0,0,0,0,1,0,0,0
höjdpunkt,0,0,0,0,0,0,0,0,0,0
akustisk,0,0,0,0,0,0,0,0,0,0
akustik,0,0,0,0,0,0,0,0,0,0
bekanta,0,0,0,0,0,0,0,0,0,0
bekantskap,0,0,0,0,0,0,0,0,0,0
bekant,0,0,0,0,0,0,0,0,0,0
samtycke,0,0,0,0,0,0,0,0,0,0
tillägna sig,0,0,0,0,0,0,1,0,0,0
förvärva,0,1,0,0,0,0,1,0,0,0
förvärv,0,0,0,0,0,0,0,0,0,0
förvärv,0,0,0,0,0,0,0,0,0,0
areal,0,0,0,0,0,0,0,0,0,0
tunnland,0,0,0,0,0,0,0,0,0,0
akrobat,0,0,0,1,1,0,1,0,0,1
spela teater,0,0,0,0,0,0,0,0,0,0
verkande,0,0,0,0,0,0,0,0,0,0
handling,0,0,0,0,0,0,1,0,0,0
handlingsbar,1,0,1,0,0,1,0,0,0,0
aktiva,0,0,0,0,0,0,0,0,0,0
aktivitet,0,0,0,0,0,0,0,0,0,0
skådespelare,0,0,0,0,0,0,0,0,0,0
faktisk,0,0,0,0,0,0,1,0,0,0
verklighet,0,0,0,0,0,0,0,0,0,0
aktuarie,0,0,0,0,0,0,0,0,0,0
skärpa,0,0,0,0,0,0,1,0,0,0
skarpsinne,0,0,0,0,0,0,1,0,0,0
akupunktur,0,0,0,0,0,0,0,0,0,0
akut,0,0,0,0,0,0,0,0,0,0
ordspråk,0,0,0,0,0,0,0,0,0,0
orubblig,0,0,0,0,0,0,0,0,0,0
anpassa,0,0,0,0,0,0,1,0,0,0
anpassbar,0,0,0,0,0,0,1,0,0,0
Lägg till,0,0,0,0,0,0,0,0,0,0
Lagt till,0,0,0,0,0,0,0,0,0,0
tillägg,0,0,0,0,0,0,0,0,0,0
huggorm,1,0,1,1,0,1,0,1,0,0
missbruk,0,0,0,0,0,1,0,0,0,0
tillägg,0,0,0,0,0,0,0,0,0,0
ytterligare,0,0,0,0,0,0,0,0,0,0
tillsats,0,0,0,0,0,0,0,0,0,0
adress,0,0,0,0,0,0,0,0,0,0
adressat,0,0,0,0,0,0,0,0,0,0
adresser,0,1,0,0,0,0,1,0,0,0
skicklig,0,0,0,0,0,0,1,0,0,0
lämplighet,0,0,0,0,0,0,1,0,0,0
lämplig,0,0,0,0,0,0,0,0,0,0
ansluta sig,0,0,0,0,0,0,0,0,0,0
efterlevnad,0,0,0,0,0,0,0,0,0,0
anhängare,0,0,0,0,0,0,0,0,0,0
vidhäftande,0,0,0,0,0,0,0,0,0,1
adhesion,0,0,0,0,0,0,0,0,0,0
lim,0,0,0,0,0,0,0,0,0,0
adjö,0,0,0,0,0,0,0,0,0,0
fett,0,0,0,0,0,1,0,0,0,0
närhet,0,0,0,0,0,0,0,0,0,0
intilliggande,0,0,0,0,0,0,0,0,0,0
adjektiv,0,0,0,0,0,0,0,0,0,0
angränsande,0,0,0,0,0,0,0,0,0,0
ajournera,0,0,0,0,0,0,0,0,0,0
uppskov,0,0,0,0,0,0,0,0,0,0
döma,0,0,0,1,0,1,0,0,0,0
bedömning,0,0,0,0,0,0,0,0,0,0
tillägg,0,0,0,0,0,0,1,0,0,0
justera,0,0,0,0,0,0,0,0,0,0
justering,0,0,0,0,0,0,0,0,0,0
adjuvans,0,0,0,0,0,0,0,0,0,0
administrera,0,0,0,0,0,0,0,0,0,0
administrering,0,0,0,0,0,0,0,0,0,0
administrativ,0,0,0,0,0,0,0,0,0,1
beundransvärd,0,0,0,0,1,0,1,0,0,1
amiral,0,0,0,0,0,0,1,0,0,1
amiralitet,0,0,0,0,0,0,0,0,0,0
beundran,0,0,0,0,1,0,1,0,0,1
beundra,0,0,0,0,0,0,1,0,0,1
beundrare,0,0,0,0,0,0,1,0,0,0
tillåtlighet,0,0,0,0,0,0,0,0,0,0
tillåtlig,0,0,0,0,0,0,1,0,0,1
tillträde,0,0,0,0,0,0,0,0,0,0
erkänna,0,0,0,0,0,0,0,0,0,0
tillträde,0,0,0,0,0,0,0,0,0,0
erkände,0,0,0,0,0,0,0,0,0,0
erkännande,0,0,0,0,0,0,0,0,0,0
blandning,0,0,0,0,0,0,0,0,0,0
förmaning,0,0,0,1,0,1,0,0,0,0
väsen,0,0,0,0,0,0,0,0,0,0
adobe,0,0,0,0,0,0,0,0,0,0
ungdom,0,0,0,0,0,0,0,0,0,0
tonåring,0,0,0,0,0,0,0,0,0,0
anta,0,0,0,0,0,0,0,0,0,0
adoption,0,0,0,0,0,0,0,0,0,0
förtjusande,0,0,0,0,1,0,1,0,0,0
tillbedjan,0,0,0,0,1,0,1,0,0,1
älska,0,1,0,0,1,0,1,0,0,1
smycka,0,0,0,0,0,0,0,0,0,0
prydnad,0,0,0,0,0,0,0,0,0,0
på drift,0,1,0,1,0,1,0,1,0,0
vuxen,0,0,0,0,0,0,0,0,0,0
förvanskat,0,0,0,0,0,1,0,0,0,0
otrohet,0,0,1,0,0,1,0,1,0,0
förskott,0,1,0,1,1,0,1,0,1,0
Avancerad,0,0,0,0,0,0,1,0,0,0
befordran,0,0,0,0,0,0,1,0,0,0
avancerar,0,0,0,0,0,0,0,0,0,0
fördel,0,0,0,0,0,0,1,0,0,0
fördelaktig,0,0,0,0,0,0,1,0,0,0
första advent,0,1,0,0,1,0,1,0,0,1
äventyr,0,1,0,0,0,0,1,0,0,0
äventyrare,0,0,0,0,0,0,0,0,0,0
äventyrlig,0,0,0,0,0,0,1,0,0,0
motståndare,1,0,0,0,0,1,0,0,0,0
ogynnsam,1,0,1,1,0,1,0,1,0,0
motgång,1,0,0,1,0,1,0,1,0,0
annonsera,0,0,0,0,0,0,0,0,0,0
annons,0,0,0,0,0,0,0,0,0,0
råd,0,0,0,0,0,0,0,0,0,1
tillrådligt,0,0,0,0,0,0,1,0,0,1
ge råd,0,0,0,0,0,0,1,0,0,1
rådde,0,0,0,0,0,0,0,0,0,1
råd,0,0,0,0,0,0,0,0,0,0
rådgivare,0,0,0,0,0,0,1,0,0,1
försvar,1,1,0,0,1,0,1,0,0,1
förespråkare,0,0,0,0,0,0,0,0,0,1
aegis,0,0,0,0,0,0,0,0,0,0
luftning,0,0,0,0,0,0,0,0,0,0
antenn,0,0,0,0,0,0,0,0,0,0
flygplats,0,0,0,0,0,0,0,0,0,0
aerodynamik,0,0,0,0,0,0,0,0,0,0
aeronautik,0,0,0,0,0,0,0,0,0,0
flygplan,0,0,0,0,0,0,0,0,0,0
estetisk,0,0,0,0,0,0,1,0,0,0
estetik,0,0,0,0,1,0,1,0,0,0
etiologi,0,0,0,0,0,0,0,0,0,0
fjärran,0,0,0,0,0,0,0,0,0,0
förbindlig,0,0,0,0,0,0,1,0,0,0
affär,0,0,0,0,0,0,0,0,0,0
påverkar,0,0,0,0,0,0,0,0,0,0
tillgivenhet,0,0,0,0,1,0,1,0,0,1
tillgivenheter,0,0,0,0,0,0,0,0,0,0
affiche,0,0,0,0,0,0,0,0,0,0
affidavit,0,0,0,0,0,0,0,0,0,0
ansluten,0,0,0,0,0,0,1,0,0,0
anslutning,0,0,0,0,0,0,0,0,0,0
affinitet,0,0,0,0,0,0,0,0,0,0
bekräfta,0,0,0,0,0,0,1,0,0,1
bekräftelse,0,0,0,0,0,0,1,0,0,0
korrekt,0,0,0,0,0,0,1,0,0,0
jakande,0,0,0,0,0,0,1,0,0,1
affix,0,0,0,0,0,0,0,0,0,0
plåga,0,0,0,1,0,1,0,1,0,0
drabbats,0,0,0,0,0,1,0,0,0,0
lidande,0,0,1,1,0,1,0,1,0,0
välstånd,0,0,0,0,1,0,1,0,0,0
förmögen,0,0,0,0,0,0,1,0,0,0
råd,0,0,0,0,0,0,1,0,0,0
skymf,1,0,1,1,0,1,0,1,1,0
ett fält,0,0,0,0,0,0,0,0,0,0
förut,0,0,0,0,0,0,0,0,0,0
ovannämnda,0,0,0,0,0,0,0,0,0,0
ovannämnda,0,0,0,0,0,0,0,0,0,0
rädd,0,0,0,1,0,1,0,0,0,0
på nytt,0,0,0,0,0,0,0,0,0,0
akter-,0,0,0,0,0,0,0,0,0,0
verkningarna,1,0,1,1,0,1,0,1,0,0
eftermiddag,0,0,0,0,0,0,0,0,0,0
eftersmak,0,0,0,0,0,1,0,0,0,0
eftertanke,0,0,0,0,0,0,0,0,0,0
aga,0,0,0,1,0,0,1,0,0,1
agat,0,0,0,0,0,0,0,0,0,0
ålder,0,0,0,0,0,0,0,0,0,0
åldrig,0,0,0,0,0,0,0,0,0,0
byrå,0,0,0,0,0,0,0,0,0,0
ombud,0,0,0,0,0,0,0,0,0,0
agglomerering,0,0,0,0,0,0,0,0,0,0
förvärras,1,0,0,0,0,1,0,0,0,0
försvårande,1,0,0,0,0,1,0,1,0,0
förvärrande,1,0,1,0,0,1,0,0,0,0
aggregat,0,0,0,0,0,0,0,0,0,0
aggregering,0,0,0,0,0,0,0,0,0,0
aggression,1,0,0,1,0,1,0,0,0,0
aggressiv,1,0,0,1,0,1,0,0,0,0
angripare,1,0,0,1,0,1,0,0,0,0
bestört,0,0,1,1,0,1,0,0,1,0
vig,0,0,0,0,0,0,1,0,0,0
rörlighet,0,0,0,0,0,0,1,0,0,0
upprörd,1,0,0,0,0,1,0,0,0,0
agitation,1,0,0,0,0,1,0,0,0,0
agnostiker,0,0,0,0,0,0,0,0,0,0
sedan,0,0,0,0,0,0,0,0,0,0
plågsam,0,0,0,1,0,1,0,0,0,0
vånda,1,0,0,1,0,1,0,1,0,0
hålla med,0,0,0,0,0,0,1,0,0,0
angenäm,0,0,0,0,0,0,1,0,0,1
gick med på,0,0,0,0,0,0,1,0,0,1
håller med,0,0,0,0,0,0,1,0,0,1
avtal,0,0,0,0,0,0,1,0,0,1
jordbruks,0,0,0,0,0,0,0,0,0,0
lantbruk,0,0,0,0,0,0,1,0,0,0
på grund,0,0,0,0,0,1,0,0,0,0
agua,0,0,0,0,0,0,0,0,0,0
ett huvud,0,0,0,0,0,0,1,0,0,0
hjälpa,0,0,0,0,0,0,1,0,0,0
hjälpa till,0,0,0,0,0,0,1,0,0,0
ail,0,0,0,0,0,1,0,1,0,0
sjuklig,0,0,0,1,0,1,0,1,0,0
sjukdom,0,0,0,0,0,0,0,0,0,0
syfte,0,0,0,0,0,0,0,0,0,0
utan mål,0,0,0,0,0,1,0,0,0,0
luft,0,0,0,0,0,0,0,0,0,0
krockkudde,0,0,0,0,0,0,0,0,0,0
luftbro,0,0,0,0,0,0,0,0,0,0
flygbolag,0,0,0,0,0,0,0,0,0,0
flygare,0,0,0,0,0,0,0,0,0,0
flygplan,0,0,0,0,0,0,0,0,0,0
flygplats,0,1,0,0,0,0,0,0,0,0
förnäm min,0,0,1,0,0,1,0,0,0,0
luftskepp,0,0,0,0,0,0,0,0,0,0
gång,0,0,0,0,0,0,0,0,0,0
ait,0,0,0,0,0,0,0,0,0,0
på glänt,0,0,0,0,0,0,0,0,0,0
besläktad,0,0,0,0,0,0,0,0,0,1
alabaster,0,0,0,0,0,0,1,0,0,0
larm,0,0,0,1,0,1,0,0,1,0
oroväckande,0,0,0,1,0,1,0,0,1,0
alba,0,0,0,0,0,0,0,0,0,1
album,0,0,0,0,0,0,0,0,0,0
alkemi,0,0,0,0,0,0,0,0,0,0
alkohol,0,0,0,0,0,0,0,0,0,0
alkoholism,1,0,1,1,0,1,0,1,0,0
alkov,0,0,0,0,0,0,0,0,0,0
varna,0,0,0,0,0,0,0,0,0,0
vakenhet,0,1,0,1,0,0,1,0,1,0
varningar,0,1,0,1,0,0,0,0,1,0
blålusern,0,0,0,0,0,0,0,0,0,0
algebra,0,0,0,0,0,0,0,0,0,0
algebraisk,0,0,0,0,0,0,0,0,0,0
algoritm,0,0,0,0,0,0,0,0,0,0
alibi,0,0,0,0,0,0,0,0,0,0
utomjording,0,0,1,1,0,1,0,0,0,0
fjärma,1,0,1,0,0,1,0,0,0,0
alienerad,0,0,0,0,0,1,0,1,0,0
alienation,1,0,1,1,0,1,0,1,0,0
stiga av,0,0,0,0,0,0,0,0,0,0
Justerat,0,0,0,0,0,0,0,0,0,0
inriktning,0,0,0,0,0,0,0,0,0,0
lika,0,0,0,0,0,0,0,0,0,0
alimentation,0,0,0,0,0,0,1,0,0,0
underhållsbidrag,0,0,0,0,0,1,0,0,0,0
alikvot,0,0,0,0,0,0,0,0,0,0
Levande,0,1,0,0,1,0,1,0,0,1
alkali,0,0,0,0,0,0,0,0,0,0
alkaloider,0,0,0,0,0,0,0,0,0,0
lugna,0,0,0,0,0,0,1,0,0,0
påstående,1,0,0,0,0,1,0,0,0,0
påstå,0,0,0,0,0,1,0,0,0,0
påstås,0,0,0,0,0,0,0,0,0,0
trohet,0,0,0,0,0,0,1,0,0,1
allegorisk,0,0,0,0,0,0,0,0,0,0
allegori,0,0,0,0,0,0,0,0,0,0
allegro,0,0,0,0,0,0,1,0,0,0
lindra,0,0,0,0,0,0,1,0,0,0
lindring,0,0,0,0,0,0,1,0,0,0
gränd,0,0,0,0,0,0,0,0,0,0
allians,0,0,0,0,0,0,0,0,0,1
allierad,0,0,0,0,0,0,1,0,0,1
alligator,0,0,0,0,0,0,0,0,0,0
fördela,0,0,0,0,0,0,0,0,0,0
tilldelning,0,0,0,0,0,0,0,0,0,0
tilldela,0,0,0,0,0,0,0,0,0,0
tilldelning,0,0,0,0,0,0,0,0,0,0
tillåten,0,0,0,0,0,0,1,0,0,0
ersättning,0,0,0,0,0,0,0,0,0,0
tillåten,0,0,0,0,0,0,0,0,0,0
legering,0,0,0,0,0,0,0,0,0,0
locka,0,1,0,0,1,0,1,0,1,0
lockande,0,0,0,0,0,0,1,0,0,0
allusion,0,0,0,0,0,0,0,0,0,0
alluvial,0,0,0,0,0,0,0,0,0,0
alliera,0,0,0,0,0,0,1,0,0,1
almanacka,0,0,0,0,0,0,0,0,0,0
allsmäktig,0,0,0,0,0,0,1,0,0,0
högt upp,0,0,0,0,0,0,0,0,0,0
aloha,0,1,0,0,1,0,1,0,0,0
vid sidan av,0,0,0,0,0,0,0,0,0,0
på avstånd,0,0,0,0,0,1,0,0,0,0
högt,0,0,0,0,0,0,0,0,0,0
alfabet,0,0,0,0,0,0,0,0,0,0
alfabetisk,0,0,0,0,0,0,0,0,0,0
altare,0,0,0,0,0,0,0,0,0,0
ändra,0,0,0,0,0,0,0,0,0,0
ändring,0,0,0,0,0,0,0,0,0,0
gräl,1,0,0,0,0,1,0,0,0,0
ändrats,0,0,0,0,0,0,0,0,0,0
alternativ,0,0,0,0,0,0,0,0,0,0
alternativ,0,0,0,0,0,0,0,0,0,0
höjd över havet,0,0,0,0,0,0,0,0,0,0
alt-,0,0,0,0,0,0,0,0,0,0
sammanlagt,0,0,0,0,0,0,0,0,0,0
alumn,0,0,0,0,0,0,0,0,0,0
alveolär,0,0,0,0,0,0,0,0,0,0
amalgam,0,0,0,0,0,0,0,0,0,0
sammanslagning,0,0,0,0,0,0,0,0,0,0
samla,0,0,0,0,0,0,0,0,0,0
amatör-,0,0,0,0,0,0,0,0,0,0
förvåna,0,0,0,0,0,0,0,0,1,0
häpnad,0,0,0,0,0,0,0,0,0,0
otroligt,0,0,0,0,1,0,1,0,1,0
ambassadör,0,0,0,0,0,0,1,0,0,1
bärnsten,0,0,0,0,0,0,0,0,0,0
omgivande,0,0,0,0,0,0,0,0,0,0
tvetydighet,0,0,0,0,0,0,0,0,0,0
tvetydig,0,0,0,0,0,1,0,0,0,0
omfång,0,0,0,0,0,0,0,0,0,0
ambition,0,1,0,0,1,0,1,0,0,1
ambitiös,0,0,0,0,0,0,0,0,0,0
ambulans,0,0,0,1,0,0,0,0,0,1
bakhåll,1,0,0,1,0,1,0,0,1,0
förbättra,0,0,0,0,0,0,1,0,0,0
amen,0,0,0,0,1,0,1,0,0,1
mottaglig,0,0,0,0,0,0,1,0,0,0
ändra,0,0,0,0,0,0,1,0,0,0
ändring,0,0,0,0,0,0,0,0,0,0
gottgörelse,0,0,0,0,0,0,1,0,0,0
bekvämlighet,0,0,0,0,0,0,1,0,0,0
ametist,0,0,0,0,0,0,0,0,0,0
älskvärd,0,0,0,0,0,0,1,0,0,0
vänskaplig,0,0,0,0,1,0,1,0,0,0
mitt i,0,0,0,0,0,0,0,0,0,0
mitt i,0,0,0,0,0,0,0,0,0,0
ammoniak,0,0,1,0,0,0,0,0,0,0
ammunition,0,0,0,0,0,0,0,0,0,0
amnesi,0,0,0,0,0,1,0,0,0,0
amnesti,0,0,0,0,1,0,1,0,0,0
amorf,0,0,0,0,0,0,0,0,0,0
amortering,0,0,0,0,0,0,0,0,0,1
belopp,0,0,0,0,0,0,0,0,0,0
amour,0,1,0,0,1,0,1,0,0,1
et-tecken,0,0,0,0,0,0,0,0,0,0
amfetamin,0,0,1,0,0,1,0,0,0,0
amfibie,0,0,0,0,0,0,0,0,0,0
amfibisk,0,0,0,0,0,0,0,0,0,0
amfiteater,0,0,0,0,0,0,0,0,0,0
förstärkning,0,0,0,0,0,0,0,0,0,0
förstärka,0,0,0,0,0,0,0,0,0,0
amplitud,0,0,0,0,0,0,0,0,0,0
rikligt,0,0,0,0,0,0,0,0,0,0
amputation,0,0,0,0,0,0,0,0,0,0
amulett,0,0,0,0,0,0,0,0,0,0
roa,0,0,0,0,1,0,1,0,0,0
roade,0,0,0,0,1,0,1,0,0,0
nöje,0,0,0,0,1,0,1,0,0,0
rolig,0,0,0,0,1,0,1,0,0,0
ana,0,0,0,0,0,0,0,0,0,0
anakonda,0,0,1,1,0,1,0,0,0,0
anestesi,0,0,0,0,0,0,0,0,0,0
bedövningsmedel,0,0,0,0,0,0,0,0,0,0
anal,0,0,0,0,0,1,0,0,0,0
analgetikum,0,0,0,0,0,0,0,0,0,0
analog,0,0,0,0,0,0,0,0,0,0
analog,0,0,0,0,0,0,0,0,0,0
analogi,0,0,0,0,0,0,0,0,0,0
analys,0,0,0,0,0,0,0,0,0,0
analytiker,0,1,0,0,0,0,1,0,0,1
analytisk,0,0,0,0,0,0,0,0,0,0
analysera,0,0,0,0,0,0,0,0,0,0
analysator,0,0,0,0,0,0,0,0,0,0
anarkism,1,0,0,1,0,1,0,0,0,0
anarkist,1,0,0,1,0,1,0,0,0,0
anarki,1,0,0,1,0,1,0,0,0,0
anastomos,0,0,0,0,0,0,0,0,0,0
förbannelse,1,0,1,1,0,1,0,1,0,0
anatomisk,0,0,0,0,0,0,0,0,0,0
anatomi,0,0,0,0,0,0,0,0,0,0
förfader,0,0,0,0,0,0,0,0,0,0
fäderneärvda,0,0,0,0,0,0,0,0,0,1
anor,0,0,0,0,0,0,0,0,0,0
ankare,0,0,0,0,0,0,1,0,0,0
ankring,0,0,0,0,0,0,1,1,0,0
gammal,0,0,0,0,0,1,0,0,0,0
underordnade,0,0,0,0,0,0,0,0,0,0
androgen,0,0,0,0,0,0,0,0,0,0
anemon,0,0,0,0,0,0,0,0,0,0
på nytt,0,0,0,0,0,0,0,0,0,0
ängel,0,1,0,0,1,0,1,0,1,1
änglalik,0,0,0,0,1,0,1,0,0,1
ilska,1,0,0,0,0,1,0,0,0,0
angina,0,0,0,1,0,1,0,0,0,0
angiografi,0,0,0,0,0,0,0,0,0,0
vinkel,0,0,0,0,0,0,0,0,0,0
mete,0,1,0,0,0,1,0,0,0,0
arg,1,0,1,0,0,1,0,0,0,0
ångest,1,0,0,1,0,1,0,1,0,0
vinkel-,0,0,0,0,0,0,0,0,0,0
vattenfri,0,0,0,0,0,0,0,0,0,0
djur-,0,0,0,0,0,0,0,0,0,0
animera,0,0,0,0,0,0,1,0,0,0
animerad,0,0,0,0,1,0,1,0,0,0
animation,0,0,0,0,0,0,0,0,0,0
fientlighet,1,0,1,1,0,1,0,1,0,0
animus,1,0,0,0,0,1,0,0,0,0
vrist,0,0,0,0,0,0,0,0,0,0
annaler,0,0,0,0,0,0,0,0,0,0
bilaga,0,0,0,0,0,0,0,0,0,0
annektering,0,0,0,0,0,0,0,0,0,0
bilaga,0,0,0,0,0,0,0,0,0,0
förinta,1,0,0,1,0,1,0,0,0,0
förintad,1,0,0,1,0,1,0,1,0,0
förintelse,1,0,0,1,0,1,0,1,0,0
kommentera,0,0,0,0,0,0,0,0,0,0
anteckning,0,0,0,0,0,0,0,0,0,0
meddela,0,0,0,0,0,0,0,0,0,0
meddelande,0,1,0,0,0,0,0,0,0,0
irritera,1,0,1,0,0,1,0,0,0,0
irritation,1,0,1,0,0,1,0,0,0,0
irriterande,1,0,0,0,0,1,0,0,0,0
livränta,0,0,0,0,0,0,0,0,0,0
upphäva,0,0,0,0,0,1,0,0,0,0
ringformig,0,0,0,0,0,0,0,0,0,0
ogiltigförklaring,0,0,0,0,0,1,0,1,0,0
annulus,0,0,0,0,0,0,0,0,0,0
smörjelse,0,0,0,0,0,0,0,0,0,0
anomal,0,0,0,0,0,0,0,0,0,0
anomali,0,0,0,1,0,1,0,0,1,0
anon,0,0,0,0,0,0,0,0,0,0
anonym,0,0,0,0,0,1,0,0,0,0
svar,0,0,0,0,0,0,0,0,0,0
ansvarig,0,0,0,0,0,0,0,0,0,1
svara,0,0,0,0,0,0,0,0,0,0
myra,0,0,0,0,0,0,0,0,0,0
antagonism,1,0,0,0,0,1,0,0,0,0
