Croatian Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
mladost,0,0,0,0,0,0,0,0,0,0
adolescent,0,0,0,0,0,0,0,0,0,0
posvojiti,0,0,0,0,0,0,0,0,0,0
posvajanje,0,0,0,0,0,0,0,0,0,0
divan,0,0,0,0,1,0,1,0,0,0
klanjanje,0,0,0,0,1,0,1,0,0,1
obožavati,0,1,0,0,1,0,1,0,0,1
krasiti,0,0,0,0,0,0,0,0,0,0
ukras,0,0,0,0,0,0,0,0,0,0
zalutati,0,1,0,1,0,1,0,1,0,0
odrasla osoba,0,0,0,0,0,0,0,0,0,0
patvoreni,0,0,0,0,0,1,0,0,0,0
preljuba,0,0,1,0,0,1,0,1,0,0
unaprijed,0,1,0,1,1,0,1,0,1,0
Napredna,0,0,0,0,0,0,1,0,0,0
napredak,0,0,0,0,0,0,1,0,0,0
napredovanje,0,0,0,0,0,0,0,0,0,0
prednost,0,0,0,0,0,0,1,0,0,0
povoljan,0,0,0,0,0,0,1,0,0,0
dolazak,0,1,0,0,1,0,1,0,0,1
avantura,0,1,0,0,0,0,1,0,0,0
pustolov,0,0,0,0,0,0,0,0,0,0
pustolovan,0,0,0,0,0,0,1,0,0,0
protivnik,1,0,0,0,0,1,0,0,0,0
nepovoljan,1,0,1,1,0,1,0,1,0,0
nedaće,1,0,0,1,0,1,0,1,0,0
oglašavati,0,0,0,0,0,0,0,0,0,0
oglas,0,0,0,0,0,0,0,0,0,0
savjet,0,0,0,0,0,0,0,0,0,1
preporučljivo,0,0,0,0,0,0,1,0,0,1
savjetovati,0,0,0,0,0,0,1,0,0,1
savjetovao,0,0,0,0,0,0,0,0,0,1
savjetovanje,0,0,0,0,0,0,0,0,0,0
savjetnik,0,0,0,0,0,0,1,0,0,1
zagovaranje,1,1,0,0,1,0,1,0,0,1
zagovarati,0,0,0,0,0,0,0,0,0,1
okrilje,0,0,0,0,0,0,0,0,0,0
prozračivanje,0,0,0,0,0,0,0,0,0,0
zračni,0,0,0,0,0,0,0,0,0,0
aerodrom,0,0,0,0,0,0,0,0,0,0
aerodinamika,0,0,0,0,0,0,0,0,0,0
aeronautika,0,0,0,0,0,0,0,0,0,0
zrakoplov,0,0,0,0,0,0,0,0,0,0
estetski,0,0,0,0,0,0,1,0,0,0
estetika,0,0,0,0,1,0,1,0,0,0
etiologija,0,0,0,0,0,0,0,0,0,0
izdaleka,0,0,0,0,0,0,0,0,0,0
ljubazan,0,0,0,0,0,0,1,0,0,0
afera,0,0,0,0,0,0,0,0,0,0
utječući,0,0,0,0,0,0,0,0,0,0
ljubav,0,0,0,0,1,0,1,0,0,1
naklonosti,0,0,0,0,0,0,0,0,0,0
affiche,0,0,0,0,0,0,0,0,0,0
izjava pod prisegom,0,0,0,0,0,0,0,0,0,0
pridruženi,0,0,0,0,0,0,1,0,0,0
pripadnost,0,0,0,0,0,0,0,0,0,0
afinitet,0,0,0,0,0,0,0,0,0,0
potvrditi,0,0,0,0,0,0,1,0,0,1
afirmacija,0,0,0,0,0,0,1,0,0,0
potvrdan,0,0,0,0,0,0,1,0,0,0
afirmativno,0,0,0,0,0,0,1,0,0,1
pričvrstiti,0,0,0,0,0,0,0,0,0,0
povrijediti,0,0,0,1,0,1,0,1,0,0
ojađen,0,0,0,0,0,1,0,0,0,0
nevolja,0,0,1,1,0,1,0,1,0,0
obilje,0,0,0,0,1,0,1,0,0,0
pritoka,0,0,0,0,0,0,1,0,0,0
priuštiti,0,0,0,0,0,0,1,0,0,0
uvreda,1,0,1,1,0,1,0,1,1,0
afield,0,0,0,0,0,0,0,0,0,0
prije,0,0,0,0,0,0,0,0,0,0
prethodno spomenuto,0,0,0,0,0,0,0,0,0,0
prethodno rečeno,0,0,0,0,0,0,0,0,0,0
bojati se,0,0,0,1,0,1,0,0,0,0
iznova,0,0,0,0,0,0,0,0,0,0
krmeni,0,0,0,0,0,0,0,0,0,0
posljedica,1,0,1,1,0,1,0,1,0,0
poslijepodne,0,0,0,0,0,0,0,0,0,0
naknadni okus,0,0,0,0,0,1,0,0,0,0
naknadna misao,0,0,0,0,0,0,0,0,0,0
aga,0,0,0,1,0,0,1,0,0,1
ahat,0,0,0,0,0,0,0,0,0,0
dob,0,0,0,0,0,0,0,0,0,0
ostario,0,0,0,0,0,0,0,0,0,0
agencija,0,0,0,0,0,0,0,0,0,0
agent,0,0,0,0,0,0,0,0,0,0
aglomeracija,0,0,0,0,0,0,0,0,0,0
otežano,1,0,0,0,0,1,0,0,0,0
otežavajući,1,0,0,0,0,1,0,1,0,0
pogoršanje,1,0,1,0,0,1,0,0,0,0
agregat,0,0,0,0,0,0,0,0,0,0
agregacija,0,0,0,0,0,0,0,0,0,0
agresija,1,0,0,1,0,1,0,0,0,0
agresivan,1,0,0,1,0,1,0,0,0,0
agresor,1,0,0,1,0,1,0,0,0,0
zgrožen,0,0,1,1,0,1,0,0,1,0
okretan,0,0,0,0,0,0,1,0,0,0
agilnost,0,0,0,0,0,0,1,0,0,0
uzrujan,1,0,0,0,0,1,0,0,0,0
uznemirenost,1,0,0,0,0,1,0,0,0,0
agnostik,0,0,0,0,0,0,0,0,0,0
prije,0,0,0,0,0,0,0,0,0,0
mučan,0,0,0,1,0,1,0,0,0,0
agonija,1,0,0,1,0,1,0,1,0,0
složiti se,0,0,0,0,0,0,1,0,0,0
ugodan,0,0,0,0,0,0,1,0,0,1
dogovoren,0,0,0,0,0,0,1,0,0,1
slažući se,0,0,0,0,0,0,1,0,0,1
sporazum,0,0,0,0,0,0,1,0,0,1
poljoprivredni,0,0,0,0,0,0,0,0,0,0
poljoprivreda,0,0,0,0,0,0,1,0,0,0
nasukan,0,0,0,0,0,1,0,0,0,0
agua,0,0,0,0,0,0,0,0,0,0
naprijed,0,0,0,0,0,0,1,0,0,0
pomoć,0,0,0,0,0,0,1,0,0,0
pomaganje,0,0,0,0,0,0,1,0,0,0
boliti,0,0,0,0,0,1,0,1,0,0
bolan,0,0,0,1,0,1,0,1,0,0
oboljenje,0,0,0,0,0,0,0,0,0,0
cilj,0,0,0,0,0,0,0,0,0,0
besciljan,0,0,0,0,0,1,0,0,0,0
zrak,0,0,0,0,0,0,0,0,0,0
zračni jastuk,0,0,0,0,0,0,0,0,0,0
zračni most,0,0,0,0,0,0,0,0,0,0
zrakoplovna tvrtka,0,0,0,0,0,0,0,0,0,0
zrakoplovac,0,0,0,0,0,0,0,0,0,0
zrakoplov,0,0,0,0,0,0,0,0,0,0
zračna luka,0,1,0,0,0,0,0,0,0,0
emitira,0,0,1,0,0,1,0,0,0,0
cepelin,0,0,0,0,0,0,0,0,0,0
prolaz,0,0,0,0,0,0,0,0,0,0
ait,0,0,0,0,0,0,0,0,0,0
odškrinuto,0,0,0,0,0,0,0,0,0,0
sličan,0,0,0,0,0,0,0,0,0,1
alabaster,0,0,0,0,0,0,1,0,0,0
alarm,0,0,0,1,0,1,0,0,1,0
alarmantan,0,0,0,1,0,1,0,0,1,0
alb,0,0,0,0,0,0,0,0,0,1
album,0,0,0,0,0,0,0,0,0,0
alkemija,0,0,0,0,0,0,0,0,0,0
alkohol,0,0,0,0,0,0,0,0,0,0
alkoholizam,1,0,1,1,0,1,0,1,0,0
niša,0,0,0,0,0,0,0,0,0,0
uzbuna,0,0,0,0,0,0,0,0,0,0
budnost,0,1,0,1,0,0,1,0,1,0
upozorenja,0,1,0,1,0,0,0,0,1,0
lucerna,0,0,0,0,0,0,0,0,0,0
algebra,0,0,0,0,0,0,0,0,0,0
algebarski,0,0,0,0,0,0,0,0,0,0
algoritam,0,0,0,0,0,0,0,0,0,0
alibi,0,0,0,0,0,0,0,0,0,0
stranac,0,0,1,1,0,1,0,0,0,0
otuđiti,1,0,1,0,0,1,0,0,0,0
otuđen,0,0,0,0,0,1,0,1,0,0
otuđenje,1,0,1,1,0,1,0,1,0,0
upaliti,0,0,0,0,0,0,0,0,0,0
usklađeni,0,0,0,0,0,0,0,0,0,0
poravnanje,0,0,0,0,0,0,0,0,0,0
slično,0,0,0,0,0,0,0,0,0,0
ishrana,0,0,0,0,0,0,1,0,0,0
alimentacija,0,0,0,0,0,1,0,0,0,0
alikvot,0,0,0,0,0,0,0,0,0,0
živ,0,1,0,0,1,0,1,0,0,1
lužina,0,0,0,0,0,0,0,0,0,0
alkaloidi,0,0,0,0,0,0,0,0,0,0
ublažiti,0,0,0,0,0,0,1,0,0,0
navod,1,0,0,0,0,1,0,0,0,0
navoditi,0,0,0,0,0,1,0,0,0,0
navodni,0,0,0,0,0,0,0,0,0,0
vjernost,0,0,0,0,0,0,1,0,0,1
alegorijski,0,0,0,0,0,0,0,0,0,0
alegorija,0,0,0,0,0,0,0,0,0,0
allegro,0,0,0,0,0,0,1,0,0,0
ublažiti,0,0,0,0,0,0,1,0,0,0
ublažavanje,0,0,0,0,0,0,1,0,0,0
uličica,0,0,0,0,0,0,0,0,0,0
savez,0,0,0,0,0,0,0,0,0,1
saveznički,0,0,0,0,0,0,1,0,0,1
aligator,0,0,0,0,0,0,0,0,0,0
dodijeliti,0,0,0,0,0,0,0,0,0,0
dodjela,0,0,0,0,0,0,0,0,0,0
dodijeliti,0,0,0,0,0,0,0,0,0,0
dodjela,0,0,0,0,0,0,0,0,0,0
dopušteno,0,0,0,0,0,0,1,0,0,0
džeparac,0,0,0,0,0,0,0,0,0,0
dozvoljeno,0,0,0,0,0,0,0,0,0,0
legura,0,0,0,0,0,0,0,0,0,0
vabiti,0,1,0,0,1,0,1,0,1,0
primamljiv,0,0,0,0,0,0,1,0,0,0
aluzija,0,0,0,0,0,0,0,0,0,0
aluvijalni,0,0,0,0,0,0,0,0,0,0
saveznik,0,0,0,0,0,0,1,0,0,1
almanah,0,0,0,0,0,0,0,0,0,0
svemogući,0,0,0,0,0,0,1,0,0,0
uvis,0,0,0,0,0,0,0,0,0,0
aloha,0,1,0,0,1,0,1,0,0,0
uz bok,0,0,0,0,0,0,0,0,0,0
podalje,0,0,0,0,0,1,0,0,0,0
naglas,0,0,0,0,0,0,0,0,0,0
abeceda,0,0,0,0,0,0,0,0,0,0
abecedni,0,0,0,0,0,0,0,0,0,0
oltar,0,0,0,0,0,0,0,0,0,0
mijenjati,0,0,0,0,0,0,0,0,0,0
izmjena,0,0,0,0,0,0,0,0,0,0
svađa,1,0,0,0,0,1,0,0,0,0
izmijenjena,0,0,0,0,0,0,0,0,0,0
naizmjenično,0,0,0,0,0,0,0,0,0,0
alternativa,0,0,0,0,0,0,0,0,0,0
visina,0,0,0,0,0,0,0,0,0,0
alt,0,0,0,0,0,0,0,0,0,0
ukupno,0,0,0,0,0,0,0,0,0,0
bivši student,0,0,0,0,0,0,0,0,0,0
alveolarni,0,0,0,0,0,0,0,0,0,0
amalgam,0,0,0,0,0,0,0,0,0,0
amalgamacija,0,0,0,0,0,0,0,0,0,0
gomilati,0,0,0,0,0,0,0,0,0,0
amater,0,0,0,0,0,0,0,0,0,0
zadiviti,0,0,0,0,0,0,0,0,1,0
čuđenje,0,0,0,0,0,0,0,0,0,0
nevjerojatno,0,0,0,0,1,0,1,0,1,0
ambasador,0,0,0,0,0,0,1,0,0,1
jantar,0,0,0,0,0,0,0,0,0,0
ambijentalni,0,0,0,0,0,0,0,0,0,0
dvosmislenost,0,0,0,0,0,0,0,0,0,0
dvosmislen,0,0,0,0,0,1,0,0,0,0
granica,0,0,0,0,0,0,0,0,0,0
ambicija,0,1,0,0,1,0,1,0,0,1
ambiciozan,0,0,0,0,0,0,0,0,0,0
kola hitne pomoći,0,0,0,1,0,0,0,0,0,1
zasjeda,1,0,0,1,0,1,0,0,1,0
poboljšati,0,0,0,0,0,0,1,0,0,0
Amen,0,0,0,0,1,0,1,0,0,1
podložan,0,0,0,0,0,0,1,0,0,0
izmijeniti,0,0,0,0,0,0,1,0,0,0
amandman,0,0,0,0,0,0,0,0,0,0
nadoknađuje,0,0,0,0,0,0,1,0,0,0
ugodnost,0,0,0,0,0,0,1,0,0,0
ametist,0,0,0,0,0,0,0,0,0,0
ljubazan,0,0,0,0,0,0,1,0,0,0
prijateljski,0,0,0,0,1,0,1,0,0,0
usred,0,0,0,0,0,0,0,0,0,0
usred,0,0,0,0,0,0,0,0,0,0
amonijak,0,0,1,0,0,0,0,0,0,0
streljiva,0,0,0,0,0,0,0,0,0,0
amnezija,0,0,0,0,0,1,0,0,0,0
amnestijom,0,0,0,0,1,0,1,0,0,0
amorfan,0,0,0,0,0,0,0,0,0,0
amortizacija,0,0,0,0,0,0,0,0,0,1
iznos,0,0,0,0,0,0,0,0,0,0
ljubav,0,1,0,0,1,0,1,0,0,1
ampersand,0,0,0,0,0,0,0,0,0,0
amfetamini,0,0,1,0,0,1,0,0,0,0
vodozemac,0,0,0,0,0,0,0,0,0,0
amfibijski,0,0,0,0,0,0,0,0,0,0
amfiteatar,0,0,0,0,0,0,0,0,0,0
pojačanje,0,0,0,0,0,0,0,0,0,0
pojačati,0,0,0,0,0,0,0,0,0,0
amplituda,0,0,0,0,0,0,0,0,0,0
obilno,0,0,0,0,0,0,0,0,0,0
amputacija,0,0,0,0,0,0,0,0,0,0
amulet,0,0,0,0,0,0,0,0,0,0
zabavljati,0,0,0,0,1,0,1,0,0,0
zabavljena,0,0,0,0,1,0,1,0,0,0
zabava,0,0,0,0,1,0,1,0,0,0
zabavan,0,0,0,0,1,0,1,0,0,0
ana,0,0,0,0,0,0,0,0,0,0
anakonda,0,0,1,1,0,1,0,0,0,0
anestezija,0,0,0,0,0,0,0,0,0,0
anestetički,0,0,0,0,0,0,0,0,0,0
analni,0,0,0,0,0,1,0,0,0,0
analgetik,0,0,0,0,0,0,0,0,0,0
analogan,0,0,0,0,0,0,0,0,0,0
analogni,0,0,0,0,0,0,0,0,0,0
analogija,0,0,0,0,0,0,0,0,0,0
analiza,0,0,0,0,0,0,0,0,0,0
analitičar,0,1,0,0,0,0,1,0,0,1
analitički,0,0,0,0,0,0,0,0,0,0
analizirati,0,0,0,0,0,0,0,0,0,0
analizator,0,0,0,0,0,0,0,0,0,0
anarhizam,1,0,0,1,0,1,0,0,0,0
anarhist,1,0,0,1,0,1,0,0,0,0
anarhija,1,0,0,1,0,1,0,0,0,0
anastomoza,0,0,0,0,0,0,0,0,0,0
anatema,1,0,1,1,0,1,0,1,0,0
anatomski,0,0,0,0,0,0,0,0,0,0
anatomija,0,0,0,0,0,0,0,0,0,0
predak,0,0,0,0,0,0,0,0,0,0
predački,0,0,0,0,0,0,0,0,0,1
podrijetlo,0,0,0,0,0,0,0,0,0,0
sidro,0,0,0,0,0,0,1,0,0,0
sidrište,0,0,0,0,0,0,1,1,0,0
antički,0,0,0,0,0,1,0,0,0,0
sporedni,0,0,0,0,0,0,0,0,0,0
androgena,0,0,0,0,0,0,0,0,0,0
anemona,0,0,0,0,0,0,0,0,0,0
iznova,0,0,0,0,0,0,0,0,0,0
anđeo,0,1,0,0,1,0,1,0,1,1
anđeoski,0,0,0,0,1,0,1,0,0,1
bijes,1,0,0,0,0,1,0,0,0,0
angina,0,0,0,1,0,1,0,0,0,0
angiografija,0,0,0,0,0,0,0,0,0,0
kut,0,0,0,0,0,0,0,0,0,0
ribolov,0,1,0,0,0,1,0,0,0,0
ljut,1,0,1,0,0,1,0,0,0,0
tjeskoba,1,0,0,1,0,1,0,1,0,0
kutni,0,0,0,0,0,0,0,0,0,0
bezvodni,0,0,0,0,0,0,0,0,0,0
životinja,0,0,0,0,0,0,0,0,0,0
animirati,0,0,0,0,0,0,1,0,0,0
animirani,0,0,0,0,1,0,1,0,0,0
animacija,0,0,0,0,0,0,0,0,0,0
neprijateljstvo,1,0,1,1,0,1,0,1,0,0
animus,1,0,0,0,0,1,0,0,0,0
gležanj,0,0,0,0,0,0,0,0,0,0
anali,0,0,0,0,0,0,0,0,0,0
dodatak,0,0,0,0,0,0,0,0,0,0
pripajanje,0,0,0,0,0,0,0,0,0,0
aneks,0,0,0,0,0,0,0,0,0,0
uništiti,1,0,0,1,0,1,0,0,0,0
poništen,1,0,0,1,0,1,0,1,0,0
uništenje,1,0,0,1,0,1,0,1,0,0
komentirati,0,0,0,0,0,0,0,0,0,0
anotacija,0,0,0,0,0,0,0,0,0,0
objaviti,0,0,0,0,0,0,0,0,0,0
Obavijest,0,1,0,0,0,0,0,0,0,0
smetati,1,0,1,0,0,1,0,0,0,0
dosađivanje,1,0,1,0,0,1,0,0,0,0
dosadan,1,0,0,0,0,1,0,0,0,0
anuitet,0,0,0,0,0,0,0,0,0,0
poništiti,0,0,0,0,0,1,0,0,0,0
prstenasti,0,0,0,0,0,0,0,0,0,0
poništenje,0,0,0,0,0,1,0,1,0,0
prstenasti prostor,0,0,0,0,0,0,0,0,0,0
pomazanje,0,0,0,0,0,0,0,0,0,0
anomalan,0,0,0,0,0,0,0,0,0,0
