Danish Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
revisor,0,0,0,0,0,0,0,0,0,1
regnskab,0,0,0,0,0,0,0,0,0,0
regnskaber,0,0,0,0,0,0,0,0,0,1
akkrediteret,0,0,0,0,0,0,1,0,0,1
tilvækst,0,0,0,0,0,0,0,0,0,0
tilfalde,0,0,0,0,0,0,0,0,0,0
accueil,0,0,0,0,0,0,1,0,0,0
ophobe,0,0,0,0,0,0,0,0,0,0
akkumulering,0,0,0,0,0,0,0,0,0,0
nøjagtighed,0,0,0,0,0,0,0,0,0,0
nøjagtig,0,0,0,0,0,0,1,0,0,1
forbandet,1,0,0,1,0,1,0,1,0,0
anklage,1,0,1,0,0,1,0,0,0,0
akkusativ,0,0,0,0,0,1,0,0,0,0
anklagede,1,0,0,1,0,1,0,0,0,0
anklager,1,0,0,1,0,1,0,0,0,0
anklagende,1,0,0,1,0,1,0,0,0,0
vant,0,0,0,0,0,0,0,0,0,0
es,0,0,0,0,0,0,1,0,0,0
eddikesyre,0,0,0,0,0,0,0,0,0,0
smerte,0,0,0,0,0,1,0,1,0,0
opnå,0,0,0,0,1,0,1,0,0,1
præstation,0,1,0,0,1,0,1,0,0,1
ømme,0,0,0,0,0,1,0,1,0,0
syre,0,0,0,0,0,1,0,0,0,0
surhedsgrad,0,0,0,0,0,0,0,0,0,0
anerkende,0,0,0,0,0,0,0,0,0,0
anerkendt,0,0,0,0,0,0,0,0,0,0
anerkendelse,0,0,0,0,0,0,1,0,0,0
acme,0,0,0,0,0,0,0,0,0,0
akustisk,0,0,0,0,0,0,0,0,0,0
akustik,0,0,0,0,0,0,0,0,0,0
bekendtskab,0,0,0,0,0,0,0,0,0,0
bekendtskab,0,0,0,0,0,0,0,0,0,0
bekendt,0,0,0,0,0,0,0,0,0,0
samtykke,0,0,0,0,0,0,0,0,0,0
erhverve,0,0,0,0,0,0,1,0,0,0
erhverver,0,1,0,0,0,0,1,0,0,0
erhvervelse,0,0,0,0,0,0,0,0,0,0
opkøb,0,0,0,0,0,0,0,0,0,0
areal,0,0,0,0,0,0,0,0,0,0
acres,0,0,0,0,0,0,0,0,0,0
akrobat,0,0,0,1,1,0,1,0,0,1
handling,0,0,0,0,0,0,0,0,0,0
skuespil,0,0,0,0,0,0,0,0,0,0
handling,0,0,0,0,0,0,1,0,0,0
handlingsegnet,1,0,1,0,0,1,0,0,0,0
aktiv,0,0,0,0,0,0,0,0,0,0
aktivitet,0,0,0,0,0,0,0,0,0,0
skuespiller,0,0,0,0,0,0,0,0,0,0
faktiske,0,0,0,0,0,0,1,0,0,0
virkelighed,0,0,0,0,0,0,0,0,0,0
aktuar,0,0,0,0,0,0,0,0,0,0
skarphed,0,0,0,0,0,0,1,0,0,0
skarpsindighed,0,0,0,0,0,0,1,0,0,0
akupunktur,0,0,0,0,0,0,0,0,0,0
akut,0,0,0,0,0,0,0,0,0,0
ordsprog,0,0,0,0,0,0,0,0,0,0
ubøjelig,0,0,0,0,0,0,0,0,0,0
tilpasse,0,0,0,0,0,0,1,0,0,0
tilpasningsdygtig,0,0,0,0,0,0,1,0,0,0
tilføje,0,0,0,0,0,0,0,0,0,0
tilføjet,0,0,0,0,0,0,0,0,0,0
tilføjelse,0,0,0,0,0,0,0,0,0,0
hugorm,1,0,1,1,0,1,0,1,0,0
afhængighed,0,0,0,0,0,1,0,0,0,0
tilføjelse,0,0,0,0,0,0,0,0,0,0
ekstra,0,0,0,0,0,0,0,0,0,0
tilsætningsstof,0,0,0,0,0,0,0,0,0,0
adresse,0,0,0,0,0,0,0,0,0,0
adressat,0,0,0,0,0,0,0,0,0,0
adresser,0,1,0,0,0,0,1,0,0,0
dygtig,0,0,0,0,0,0,1,0,0,0
tilstrækkelighed,0,0,0,0,0,0,1,0,0,0
tilstrækkelig,0,0,0,0,0,0,0,0,0,0
overholde,0,0,0,0,0,0,0,0,0,0
overholdelse,0,0,0,0,0,0,0,0,0,0
tilhænger,0,0,0,0,0,0,0,0,0,0
vedhængende,0,0,0,0,0,0,0,0,0,1
vedhæftning,0,0,0,0,0,0,0,0,0,0
klæbemiddel,0,0,0,0,0,0,0,0,0,0
adieu,0,0,0,0,0,0,0,0,0,0
fedt,0,0,0,0,0,1,0,0,0,0
tilknytning,0,0,0,0,0,0,0,0,0,0
tilstødende,0,0,0,0,0,0,0,0,0,0
adjektiv,0,0,0,0,0,0,0,0,0,0
tilstødende,0,0,0,0,0,0,0,0,0,0
udsætte,0,0,0,0,0,0,0,0,0,0
udsættelse,0,0,0,0,0,0,0,0,0,0
dømme,0,0,0,1,0,1,0,0,0,0
dom,0,0,0,0,0,0,0,0,0,0
tillæg,0,0,0,0,0,0,1,0,0,0
justere,0,0,0,0,0,0,0,0,0,0
justering,0,0,0,0,0,0,0,0,0,0
adjuvans,0,0,0,0,0,0,0,0,0,0
forvalte,0,0,0,0,0,0,0,0,0,0
administration,0,0,0,0,0,0,0,0,0,0
administrative,0,0,0,0,0,0,0,0,0,1
beundringsværdig,0,0,0,0,1,0,1,0,0,1
admiral,0,0,0,0,0,0,1,0,0,1
admiralitet,0,0,0,0,0,0,0,0,0,0
beundring,0,0,0,0,1,0,1,0,0,1
beundre,0,0,0,0,0,0,1,0,0,1
beundrer,0,0,0,0,0,0,1,0,0,0
antagelighed,0,0,0,0,0,0,0,0,0,0
tilladt,0,0,0,0,0,0,1,0,0,1
adgang,0,0,0,0,0,0,0,0,0,0
indrømme,0,0,0,0,0,0,0,0,0,0
adgang,0,0,0,0,0,0,0,0,0,0
indrømmet,0,0,0,0,0,0,0,0,0,0
indrømmer,0,0,0,0,0,0,0,0,0,0
blanding,0,0,0,0,0,0,0,0,0,0
formaning,0,0,0,1,0,1,0,0,0,0
ado,0,0,0,0,0,0,0,0,0,0
adobe,0,0,0,0,0,0,0,0,0,0
ungdom,0,0,0,0,0,0,0,0,0,0
teenager,0,0,0,0,0,0,0,0,0,0
adoptere,0,0,0,0,0,0,0,0,0,0
adoption,0,0,0,0,0,0,0,0,0,0
yndig,0,0,0,0,1,0,1,0,0,0
tilbedelse,0,0,0,0,1,0,1,0,0,1
tilbede,0,1,0,0,1,0,1,0,0,1
smykke,0,0,0,0,0,0,0,0,0,0
udsmykning,0,0,0,0,0,0,0,0,0,0
på drift,0,1,0,1,0,1,0,1,0,0
voksen,0,0,0,0,0,0,0,0,0,0
forfalsket,0,0,0,0,0,1,0,0,0,0
ægteskabsbrud,0,0,1,0,0,1,0,1,0,0
rykke,0,1,0,1,1,0,1,0,1,0
fremskreden,0,0,0,0,0,0,1,0,0,0
fremgang,0,0,0,0,0,0,1,0,0,0
fremme,0,0,0,0,0,0,0,0,0,0
fordel,0,0,0,0,0,0,1,0,0,0
fordelagtige,0,0,0,0,0,0,1,0,0,0
advent,0,1,0,0,1,0,1,0,0,1
eventyr,0,1,0,0,0,0,1,0,0,0
eventyrer,0,0,0,0,0,0,0,0,0,0
eventyrlystne,0,0,0,0,0,0,1,0,0,0
modstander,1,0,0,0,0,1,0,0,0,0
ugunstig,1,0,1,1,0,1,0,1,0,0
modgang,1,0,0,1,0,1,0,1,0,0
annoncere,0,0,0,0,0,0,0,0,0,0
reklame,0,0,0,0,0,0,0,0,0,0
råd,0,0,0,0,0,0,0,0,0,1
tilrådeligt,0,0,0,0,0,0,1,0,0,1
rådgive,0,0,0,0,0,0,1,0,0,1
rådgivet,0,0,0,0,0,0,0,0,0,1
rådgivning,0,0,0,0,0,0,0,0,0,0
rådgiver,0,0,0,0,0,0,1,0,0,1
fortalervirksomhed,1,1,0,0,1,0,1,0,0,1
fortaler,0,0,0,0,0,0,0,0,0,1
aegis,0,0,0,0,0,0,0,0,0,0
beluftning,0,0,0,0,0,0,0,0,0,0
antenne,0,0,0,0,0,0,0,0,0,0
flyveplads,0,0,0,0,0,0,0,0,0,0
aerodynamik,0,0,0,0,0,0,0,0,0,0
luftfart,0,0,0,0,0,0,0,0,0,0
fly,0,0,0,0,0,0,0,0,0,0
æstetiske,0,0,0,0,0,0,1,0,0,0
æstetik,0,0,0,0,1,0,1,0,0,0
ætiologi,0,0,0,0,0,0,0,0,0,0
langt væk,0,0,0,0,0,0,0,0,0,0
elskværdig,0,0,0,0,0,0,1,0,0,0
affære,0,0,0,0,0,0,0,0,0,0
påvirker,0,0,0,0,0,0,0,0,0,0
kærlighed,0,0,0,0,1,0,1,0,0,1
hengivenhed,0,0,0,0,0,0,0,0,0,0
affiche,0,0,0,0,0,0,0,0,0,0
erklæring,0,0,0,0,0,0,0,0,0,0
tilknyttet,0,0,0,0,0,0,1,0,0,0
tilknytning,0,0,0,0,0,0,0,0,0,0
tilhørsforhold,0,0,0,0,0,0,0,0,0,0
bekræfte,0,0,0,0,0,0,1,0,0,1
bekræftelse,0,0,0,0,0,0,1,0,0,0
bekræftende,0,0,0,0,0,0,1,0,0,0
bekræftende,0,0,0,0,0,0,1,0,0,1
anbringe,0,0,0,0,0,0,0,0,0,0
plage,0,0,0,1,0,1,0,1,0,0
ramt,0,0,0,0,0,1,0,0,0,0
lidelse,0,0,1,1,0,1,0,1,0,0
overflod,0,0,0,0,1,0,1,0,0,0
velhavende,0,0,0,0,0,0,1,0,0,0
have råd,0,0,0,0,0,0,1,0,0,0
fornærmelse,1,0,1,1,0,1,0,1,1,0
væk,0,0,0,0,0,0,0,0,0,0
før,0,0,0,0,0,0,0,0,0,0
førnævnte,0,0,0,0,0,0,0,0,0,0
førnævnte,0,0,0,0,0,0,0,0,0,0
bange,0,0,0,1,0,1,0,0,0,0
på ny,0,0,0,0,0,0,0,0,0,0
agter,0,0,0,0,0,0,0,0,0,0
eftervirkninger,1,0,1,1,0,1,0,1,0,0
eftermiddag,0,0,0,0,0,0,0,0,0,0
eftersmag,0,0,0,0,0,1,0,0,0,0
eftertanke,0,0,0,0,0,0,0,0,0,0
aga,0,0,0,1,0,0,1,0,0,1
agat,0,0,0,0,0,0,0,0,0,0
alder,0,0,0,0,0,0,0,0,0,0
alderen,0,0,0,0,0,0,0,0,0,0
bureau,0,0,0,0,0,0,0,0,0,0
agent,0,0,0,0,0,0,0,0,0,0
agglomeration,0,0,0,0,0,0,0,0,0,0
forværret,1,0,0,0,0,1,0,0,0,0
forværret,1,0,0,0,0,1,0,1,0,0
forværring,1,0,1,0,0,1,0,0,0,0
samlet,0,0,0,0,0,0,0,0,0,0
sammenlægning,0,0,0,0,0,0,0,0,0,0
aggression,1,0,0,1,0,1,0,0,0,0
aggressiv,1,0,0,1,0,1,0,0,0,0
aggressor,1,0,0,1,0,1,0,0,0,0
forfærdet,0,0,1,1,0,1,0,0,1,0
adræt,0,0,0,0,0,0,1,0,0,0
smidighed,0,0,0,0,0,0,1,0,0,0
ophidset,1,0,0,0,0,1,0,0,0,0
agitation,1,0,0,0,0,1,0,0,0,0
agnostiker,0,0,0,0,0,0,0,0,0,0
siden,0,0,0,0,0,0,0,0,0,0
pinefuldt,0,0,0,1,0,1,0,0,0,0
smerte,1,0,0,1,0,1,0,1,0,0
enig,0,0,0,0,0,0,1,0,0,0
behagelig,0,0,0,0,0,0,1,0,0,1
aftalt,0,0,0,0,0,0,1,0,0,1
enig,0,0,0,0,0,0,1,0,0,1
aftale,0,0,0,0,0,0,1,0,0,1
landbrugs,0,0,0,0,0,0,0,0,0,0
landbrug,0,0,0,0,0,0,1,0,0,0
grundstødte,0,0,0,0,0,1,0,0,0,0
agua,0,0,0,0,0,0,0,0,0,0
foran,0,0,0,0,0,0,1,0,0,0
hjælpe,0,0,0,0,0,0,1,0,0,0
hjælpe,0,0,0,0,0,0,1,0,0,0
ail,0,0,0,0,0,1,0,1,0,0
skrantende,0,0,0,1,0,1,0,1,0,0
lidelse,0,0,0,0,0,0,0,0,0,0
sigte,0,0,0,0,0,0,0,0,0,0
formålsløst,0,0,0,0,0,1,0,0,0,0
luft,0,0,0,0,0,0,0,0,0,0
airbag,0,0,0,0,0,0,0,0,0,0
luftbro,0,0,0,0,0,0,0,0,0,0
flyselskab,0,0,0,0,0,0,0,0,0,0
flyver,0,0,0,0,0,0,0,0,0,0
fly,0,0,0,0,0,0,0,0,0,0
lufthavn,0,1,0,0,0,0,0,0,0,0
luftes,0,0,1,0,0,1,0,0,0,0
luftskib,0,0,0,0,0,0,0,0,0,0
midtergang,0,0,0,0,0,0,0,0,0,0
ait,0,0,0,0,0,0,0,0,0,0
på klem,0,0,0,0,0,0,0,0,0,0
beslægtet,0,0,0,0,0,0,0,0,0,1
alabast,0,0,0,0,0,0,1,0,0,0
alarm,0,0,0,1,0,1,0,0,1,0
alarmerende,0,0,0,1,0,1,0,0,1,0
alb,0,0,0,0,0,0,0,0,0,1
album,0,0,0,0,0,0,0,0,0,0
alkymi,0,0,0,0,0,0,0,0,0,0
alkohol,0,0,0,0,0,0,0,0,0,0
alkoholisme,1,0,1,1,0,1,0,1,0,0
alkove,0,0,0,0,0,0,0,0,0,0
alert,0,0,0,0,0,0,0,0,0,0
årvågenhed,0,1,0,1,0,0,1,0,1,0
alarmer,0,1,0,1,0,0,0,0,1,0
lucerne,0,0,0,0,0,0,0,0,0,0
algebra,0,0,0,0,0,0,0,0,0,0
algebraisk,0,0,0,0,0,0,0,0,0,0
algoritme,0,0,0,0,0,0,0,0,0,0
alibi,0,0,0,0,0,0,0,0,0,0
fremmed,0,0,1,1,0,1,0,0,0,0
fremmedgøre,1,0,1,0,0,1,0,0,0,0
fremmedgjort,0,0,0,0,0,1,0,1,0,0
fremmedgørelse,1,0,1,1,0,1,0,1,0,0
tændes,0,0,0,0,0,0,0,0,0,0
justeret,0,0,0,0,0,0,0,0,0,0
justering,0,0,0,0,0,0,0,0,0,0
ens,0,0,0,0,0,0,0,0,0,0
næring,0,0,0,0,0,0,1,0,0,0
underholdsbidrag,0,0,0,0,0,1,0,0,0,0
alikvot,0,0,0,0,0,0,0,0,0,0
i live,0,1,0,0,1,0,1,0,0,1
alkali,0,0,0,0,0,0,0,0,0,0
alkaloider,0,0,0,0,0,0,0,0,0,0
dæmpe,0,0,0,0,0,0,1,0,0,0
påstand,1,0,0,0,0,1,0,0,0,0
påstå,0,0,0,0,0,1,0,0,0,0
påstået,0,0,0,0,0,0,0,0,0,0
troskab,0,0,0,0,0,0,1,0,0,1
allegorisk,0,0,0,0,0,0,0,0,0,0
allegori,0,0,0,0,0,0,0,0,0,0
allegro,0,0,0,0,0,0,1,0,0,0
lindre,0,0,0,0,0,0,1,0,0,0
lindring,0,0,0,0,0,0,1,0,0,0
gyde,0,0,0,0,0,0,0,0,0,0
alliance,0,0,0,0,0,0,0,0,0,1
allieret,0,0,0,0,0,0,1,0,0,1
alligator,0,0,0,0,0,0,0,0,0,0
tildele,0,0,0,0,0,0,0,0,0,0
tildeling,0,0,0,0,0,0,0,0,0,0
tildele,0,0,0,0,0,0,0,0,0,0
tildeling,0,0,0,0,0,0,0,0,0,0
tilladt,0,0,0,0,0,0,1,0,0,0
godtgørelse,0,0,0,0,0,0,0,0,0,0
tilladt,0,0,0,0,0,0,0,0,0,0
legering,0,0,0,0,0,0,0,0,0,0
lokke,0,1,0,0,1,0,1,0,1,0
dragende,0,0,0,0,0,0,1,0,0,0
hentydning,0,0,0,0,0,0,0,0,0,0
alluvial,0,0,0,0,0,0,0,0,0,0
allieret,0,0,0,0,0,0,1,0,0,1
almanak,0,0,0,0,0,0,0,0,0,0
almægtig,0,0,0,0,0,0,1,0,0,0
højt,0,0,0,0,0,0,0,0,0,0
aloha,0,1,0,0,1,0,1,0,0,0
langs med,0,0,0,0,0,0,0,0,0,0
afsides,0,0,0,0,0,1,0,0,0,0
højt,0,0,0,0,0,0,0,0,0,0
alfabet,0,0,0,0,0,0,0,0,0,0
alfabetisk,0,0,0,0,0,0,0,0,0,0
alter,0,0,0,0,0,0,0,0,0,0
ændre,0,0,0,0,0,0,0,0,0,0
ændring,0,0,0,0,0,0,0,0,0,0
skænderi,1,0,0,0,0,1,0,0,0,0
ændret,0,0,0,0,0,0,0,0,0,0
skifte,0,0,0,0,0,0,0,0,0,0
alternativ,0,0,0,0,0,0,0,0,0,0
højde,0,0,0,0,0,0,0,0,0,0
alt,0,0,0,0,0,0,0,0,0,0
i det hele taget,0,0,0,0,0,0,0,0,0,0
alumnus,0,0,0,0,0,0,0,0,0,0
alveolær,0,0,0,0,0,0,0,0,0,0
amalgam,0,0,0,0,0,0,0,0,0,0
sammenlægning,0,0,0,0,0,0,0,0,0,0
samle,0,0,0,0,0,0,0,0,0,0
amatør,0,0,0,0,0,0,0,0,0,0
forbløffe,0,0,0,0,0,0,0,0,1,0
forbløffelse,0,0,0,0,0,0,0,0,0,0
utroligt,0,0,0,0,1,0,1,0,1,0
ambassadør,0,0,0,0,0,0,1,0,0,1
rav,0,0,0,0,0,0,0,0,0,0
omgivende,0,0,0,0,0,0,0,0,0,0
tvetydighed,0,0,0,0,0,0,0,0,0,0
tvetydig,0,0,0,0,0,1,0,0,0,0
omfang,0,0,0,0,0,0,0,0,0,0
ambition,0,1,0,0,1,0,1,0,0,1
ambitiøs,0,0,0,0,0,0,0,0,0,0
ambulance,0,0,0,1,0,0,0,0,0,1
baghold,1,0,0,1,0,1,0,0,1,0
forbedre,0,0,0,0,0,0,1,0,0,0
amen,0,0,0,0,1,0,1,0,0,1
medgørlig,0,0,0,0,0,0,1,0,0,0
ændre,0,0,0,0,0,0,1,0,0,0
ændring,0,0,0,0,0,0,0,0,0,0
ændrer,0,0,0,0,0,0,1,0,0,0
bekvemmelighed,0,0,0,0,0,0,1,0,0,0
ametyst,0,0,0,0,0,0,0,0,0,0
elskværdig,0,0,0,0,0,0,1,0,0,0
venskabelig,0,0,0,0,1,0,1,0,0,0
midt,0,0,0,0,0,0,0,0,0,0
midt i,0,0,0,0,0,0,0,0,0,0
ammoniak,0,0,1,0,0,0,0,0,0,0
ammunition,0,0,0,0,0,0,0,0,0,0
amnesi,0,0,0,0,0,1,0,0,0,0
amnesti,0,0,0,0,1,0,1,0,0,0
amorf,0,0,0,0,0,0,0,0,0,0
amortisering,0,0,0,0,0,0,0,0,0,1
beløb,0,0,0,0,0,0,0,0,0,0
amour,0,1,0,0,1,0,1,0,0,1
og-tegn,0,0,0,0,0,0,0,0,0,0
amfetamin,0,0,1,0,0,1,0,0,0,0
padder,0,0,0,0,0,0,0,0,0,0
amfibie,0,0,0,0,0,0,0,0,0,0
amfiteater,0,0,0,0,0,0,0,0,0,0
forstærkning,0,0,0,0,0,0,0,0,0,0
forstærke,0,0,0,0,0,0,0,0,0,0
amplitude,0,0,0,0,0,0,0,0,0,0
rigeligt,0,0,0,0,0,0,0,0,0,0
amputation,0,0,0,0,0,0,0,0,0,0
amulet,0,0,0,0,0,0,0,0,0,0
underholde,0,0,0,0,1,0,1,0,0,0
morede sig,0,0,0,0,1,0,1,0,0,0
underholdning,0,0,0,0,1,0,1,0,0,0
underholdende,0,0,0,0,1,0,1,0,0,0
ana,0,0,0,0,0,0,0,0,0,0
anakonda,0,0,1,1,0,1,0,0,0,0
anæstesi,0,0,0,0,0,0,0,0,0,0
bedøvelsesmiddel,0,0,0,0,0,0,0,0,0,0
anal,0,0,0,0,0,1,0,0,0,0
smertestillende,0,0,0,0,0,0,0,0,0,0
analogt,0,0,0,0,0,0,0,0,0,0
analog,0,0,0,0,0,0,0,0,0,0
analogi,0,0,0,0,0,0,0,0,0,0
analyse,0,0,0,0,0,0,0,0,0,0
analytiker,0,1,0,0,0,0,1,0,0,1
analytisk,0,0,0,0,0,0,0,0,0,0
analysere,0,0,0,0,0,0,0,0,0,0
analysator,0,0,0,0,0,0,0,0,0,0
anarkisme,1,0,0,1,0,1,0,0,0,0
anarkist,1,0,0,1,0,1,0,0,0,0
anarki,1,0,0,1,0,1,0,0,0,0
anastomose,0,0,0,0,0,0,0,0,0,0
anathema,1,0,1,1,0,1,0,1,0,0
anatomisk,0,0,0,0,0,0,0,0,0,0
anatomi,0,0,0,0,0,0,0,0,0,0
forfader,0,0,0,0,0,0,0,0,0,0
forfædres,0,0,0,0,0,0,0,0,0,1
herkomst,0,0,0,0,0,0,0,0,0,0
anker,0,0,0,0,0,0,1,0,0,0
forankring,0,0,0,0,0,0,1,1,0,0
gammel,0,0,0,0,0,1,0,0,0,0
hjælpe,0,0,0,0,0,0,0,0,0,0
androgen,0,0,0,0,0,0,0,0,0,0
anemone,0,0,0,0,0,0,0,0,0,0
på ny,0,0,0,0,0,0,0,0,0,0
Engel,0,1,0,0,1,0,1,0,1,1
engleagtig,0,0,0,0,1,0,1,0,0,1
vrede,1,0,0,0,0,1,0,0,0,0
angina,0,0,0,1,0,1,0,0,0,0
angiografi,0,0,0,0,0,0,0,0,0,0
vinkel,0,0,0,0,0,0,0,0,0,0
lystfiskeri,0,1,0,0,0,1,0,0,0,0
vred,1,0,1,0,0,1,0,0,0,0
kvaler,1,0,0,1,0,1,0,1,0,0
kantet,0,0,0,0,0,0,0,0,0,0
vandfri,0,0,0,0,0,0,0,0,0,0
dyr,0,0,0,0,0,0,0,0,0,0
animere,0,0,0,0,0,0,1,0,0,0
animeret,0,0,0,0,1,0,1,0,0,0
animation,0,0,0,0,0,0,0,0,0,0
fjendskab,1,0,1,1,0,1,0,1,0,0
animus,1,0,0,0,0,1,0,0,0,0
ankel,0,0,0,0,0,0,0,0,0,0
annaler,0,0,0,0,0,0,0,0,0,0
bilag,0,0,0,0,0,0,0,0,0,0
annektering,0,0,0,0,0,0,0,0,0,0
anneks,0,0,0,0,0,0,0,0,0,0
tilintetgøre,1,0,0,1,0,1,0,0,0,0
udslettet,1,0,0,1,0,1,0,1,0,0
tilintetgørelse,1,0,0,1,0,1,0,1,0,0
anmærk,0,0,0,0,0,0,0,0,0,0
anmærkning,0,0,0,0,0,0,0,0,0,0
annoncere,0,0,0,0,0,0,0,0,0,0
bekendtgørelse,0,1,0,0,0,0,0,0,0,0
irritere,1,0,1,0,0,1,0,0,0,0
irritation,1,0,1,0,0,1,0,0,0,0
irriterende,1,0,0,0,0,1,0,0,0,0
livrente,0,0,0,0,0,0,0,0,0,0
annullere,0,0,0,0,0,1,0,0,0,0
ringformet,0,0,0,0,0,0,0,0,0,0
annullering,0,0,0,0,0,1,0,1,0,0
annulus,0,0,0,0,0,0,0,0,0,0
salvelse,0,0,0,0,0,0,0,0,0,0
unormalt,0,0,0,0,0,0,0,0,0,0
anomali,0,0,0,1,0,1,0,0,1,0
anon,0,0,0,0,0,0,0,0,0,0
anonym,0,0,0,0,0,1,0,0,0,0
svar,0,0,0,0,0,0,0,0,0,0
ansvarlig,0,0,0,0,0,0,0,0,0,1
besvare,0,0,0,0,0,0,0,0,0,0
