Belarusian Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
адаптаваць,0,0,0,0,0,0,1,0,0,0
адаптыўны,0,0,0,0,0,0,1,0,0,0
дадаць,0,0,0,0,0,0,0,0,0,0
дададзены,0,0,0,0,0,0,0,0,0,0
дадатак,0,0,0,0,0,0,0,0,0,0
суматар,1,0,1,1,0,1,0,1,0,0
наркаманія,0,0,0,0,0,1,0,0,0,0
дадатак,0,0,0,0,0,0,0,0,0,0
дадатковыя,0,0,0,0,0,0,0,0,0,0
дабаўка,0,0,0,0,0,0,0,0,0,0
адрас,0,0,0,0,0,0,0,0,0,0
адрасат,0,0,0,0,0,0,0,0,0,0
адрасы,0,1,0,0,0,0,1,0,0,0
адэпт,0,0,0,0,0,0,1,0,0,0
адэкватнасць,0,0,0,0,0,0,1,0,0,0
адэкватны,0,0,0,0,0,0,0,0,0,0
прытрымлівацца,0,0,0,0,0,0,0,0,0,0
прыхільнасць,0,0,0,0,0,0,0,0,0,0
адэпт,0,0,0,0,0,0,0,0,0,0
прытрымліваючыся,0,0,0,0,0,0,0,0,0,1
адгезія,0,0,0,0,0,0,0,0,0,0
клейкі,0,0,0,0,0,0,0,0,0,0
развітанне,0,0,0,0,0,0,0,0,0,0
тлушчавай,0,0,0,0,0,1,0,0,0,0
сумежнасць,0,0,0,0,0,0,0,0,0,0
сумежныя,0,0,0,0,0,0,0,0,0,0
прыметнік,0,0,0,0,0,0,0,0,0,0
прылеглыя,0,0,0,0,0,0,0,0,0,0
адкласці,0,0,0,0,0,0,0,0,0,0
адтэрміноўка,0,0,0,0,0,0,0,0,0,0
вынесці прысуд,0,0,0,1,0,1,0,0,0,0
вынясенне судовага рашэння,0,0,0,0,0,0,0,0,0,0
дапаўненне,0,0,0,0,0,0,1,0,0,0
наладзіць,0,0,0,0,0,0,0,0,0,0
карэкціроўка,0,0,0,0,0,0,0,0,0,0
ад'ювант,0,0,0,0,0,0,0,0,0,0
адміністраваць,0,0,0,0,0,0,0,0,0,0
адміністрацыі,0,0,0,0,0,0,0,0,0,0
адміністрацыйны,0,0,0,0,0,0,0,0,0,1
варты захаплення,0,0,0,0,1,0,1,0,0,1
адмірал,0,0,0,0,0,0,1,0,0,1
адміралцейства,0,0,0,0,0,0,0,0,0,0
захапленне,0,0,0,0,1,0,1,0,0,1
захапляцца,0,0,0,0,0,0,1,0,0,1
прыхільнік,0,0,0,0,0,0,1,0,0,0
дапушчальнасць,0,0,0,0,0,0,0,0,0,0
дапушчальны,0,0,0,0,0,0,1,0,0,1
допуск,0,0,0,0,0,0,0,0,0,0
прызнаць,0,0,0,0,0,0,0,0,0,0
допуск,0,0,0,0,0,0,0,0,0,0
прызнаўся,0,0,0,0,0,0,0,0,0,0
дапускаючы,0,0,0,0,0,0,0,0,0,0
прымешка,0,0,0,0,0,0,0,0,0,0
папярэджанне,0,0,0,1,0,1,0,0,0,0
шумна,0,0,0,0,0,0,0,0,0,0
глінабітны,0,0,0,0,0,0,0,0,0,0
падлеткавы ўзрост,0,0,0,0,0,0,0,0,0,0
падлеткавы,0,0,0,0,0,0,0,0,0,0
прыняць,0,0,0,0,0,0,0,0,0,0
усынаўленне,0,0,0,0,0,0,0,0,0,0
чароўная,0,0,0,0,1,0,1,0,0,0
пакланенне,0,0,0,0,1,0,1,0,0,1
абажаць,0,1,0,0,1,0,1,0,0,1
упрыгожваць,0,0,0,0,0,0,0,0,0,0
ўпрыгожванне,0,0,0,0,0,0,0,0,0,0
па плыні,0,1,0,1,0,1,0,1,0,0
дарослы,0,0,0,0,0,0,0,0,0,0
фальсіфікаваны,0,0,0,0,0,1,0,0,0,0
пералюб,0,0,1,0,0,1,0,1,0,0
загадзя,0,1,0,1,1,0,1,0,1,0
прасунуты,0,0,0,0,0,0,1,0,0,0
прасоўванне,0,0,0,0,0,0,1,0,0,0
прасоўванне наперад,0,0,0,0,0,0,0,0,0,0
перавага,0,0,0,0,0,0,1,0,0,0
выгадна,0,0,0,0,0,0,1,0,0,0
адвэнт,0,1,0,0,1,0,1,0,0,1
прыгодніцкі,0,1,0,0,0,0,1,0,0,0
авантурыст,0,0,0,0,0,0,0,0,0,0
авантурны,0,0,0,0,0,0,1,0,0,0
праціўнік,1,0,0,0,0,1,0,0,0,0
неспрыяльны,1,0,1,1,0,1,0,1,0,0
нягоды,1,0,0,1,0,1,0,1,0,0
рэкламаваць,0,0,0,0,0,0,0,0,0,0
рэклама,0,0,0,0,0,0,0,0,0,0
парады,0,0,0,0,0,0,0,0,0,1
мэтазгодна,0,0,0,0,0,0,1,0,0,1
параіць,0,0,0,0,0,0,1,0,0,1
параілі,0,0,0,0,0,0,0,0,0,1
парады,0,0,0,0,0,0,0,0,0,0
дарадца,0,0,0,0,0,0,1,0,0,1
прапаганда,1,1,0,0,1,0,1,0,0,1
адвакат,0,0,0,0,0,0,0,0,0,1
эгіда,0,0,0,0,0,0,0,0,0,0
аэрацыя,0,0,0,0,0,0,0,0,0,0
паветраны,0,0,0,0,0,0,0,0,0,0
аэрадром,0,0,0,0,0,0,0,0,0,0
аэрадынаміка,0,0,0,0,0,0,0,0,0,0
паветраплаванне,0,0,0,0,0,0,0,0,0,0
самалёт,0,0,0,0,0,0,0,0,0,0
эстэтычны,0,0,0,0,0,0,1,0,0,0
эстэтыка,0,0,0,0,1,0,1,0,0,0
этыялогія,0,0,0,0,0,0,0,0,0,0
здалёк,0,0,0,0,0,0,0,0,0,0
прыветлівы,0,0,0,0,0,0,1,0,0,0
справа,0,0,0,0,0,0,0,0,0,0
якія ўплываюць,0,0,0,0,0,0,0,0,0,0
прыхільнасць,0,0,0,0,1,0,1,0,0,1
прыхільнасці,0,0,0,0,0,0,0,0,0,0
афіча,0,0,0,0,0,0,0,0,0,0
афідэвіт,0,0,0,0,0,0,0,0,0,0
афіляваныя,0,0,0,0,0,0,1,0,0,0
прыналежнасць,0,0,0,0,0,0,0,0,0,0
сваяцтва,0,0,0,0,0,0,0,0,0,0
пацвердзіць,0,0,0,0,0,0,1,0,0,1
зацвярджэнне,0,0,0,0,0,0,1,0,0,0
сцвярджальны,0,0,0,0,0,0,1,0,0,0
сцвярджальна,0,0,0,0,0,0,1,0,0,1
афікс,0,0,0,0,0,0,0,0,0,0
пакутаваць,0,0,0,1,0,1,0,1,0,0
пакутуе,0,0,0,0,0,1,0,0,0,0
пакута,0,0,1,1,0,1,0,1,0,0
заможнасць,0,0,0,0,1,0,1,0,0,0
заможны,0,0,0,0,0,0,1,0,0,0
дазволіць сабе,0,0,0,0,0,0,1,0,0,0
абражаць,1,0,1,1,0,1,0,1,1,0
за мяжой,0,0,0,0,0,0,0,0,0,0
раней,0,0,0,0,0,0,0,0,0,0
вышэйзгаданы,0,0,0,0,0,0,0,0,0,0
вышэйсказанае,0,0,0,0,0,0,0,0,0,0
баяцца,0,0,0,1,0,1,0,0,0,0
нанова,0,0,0,0,0,0,0,0,0,0
кармавой,0,0,0,0,0,0,0,0,0,0
наступствы,1,0,1,1,0,1,0,1,0,0
днём,0,0,0,0,0,0,0,0,0,0
послевкусіе,0,0,0,0,0,1,0,0,0,0
запозненая думка,0,0,0,0,0,0,0,0,0,0
ага,0,0,0,1,0,0,1,0,0,1
агат,0,0,0,0,0,0,0,0,0,0
ўзрост,0,0,0,0,0,0,0,0,0,0
ва ўзросце,0,0,0,0,0,0,0,0,0,0
агенцтва,0,0,0,0,0,0,0,0,0,0
агент,0,0,0,0,0,0,0,0,0,0
агламерацыя,0,0,0,0,0,0,0,0,0,0
абвастрылася,1,0,0,0,0,1,0,0,0,0
абцяжарваючы,1,0,0,0,0,1,0,1,0,0
абвастрэнне,1,0,1,0,0,1,0,0,0,0
агрэгат,0,0,0,0,0,0,0,0,0,0
агрэгацыя,0,0,0,0,0,0,0,0,0,0
агрэсія,1,0,0,1,0,1,0,0,0,0
агрэсіўны,1,0,0,1,0,1,0,0,0,0
агрэсар,1,0,0,1,0,1,0,0,0,0
у жаху,0,0,1,1,0,1,0,0,1,0
спрытны,0,0,0,0,0,0,1,0,0,0
спрыт,0,0,0,0,0,0,1,0,0,0
усхваляваны,1,0,0,0,0,1,0,0,0,0
агітацыя,1,0,0,0,0,1,0,0,0,0
агностык,0,0,0,0,0,0,0,0,0,0
таму,0,0,0,0,0,0,0,0,0,0
пакутлівы,0,0,0,1,0,1,0,0,0,0
агонія,1,0,0,1,0,1,0,1,0,0
згодны,0,0,0,0,0,0,1,0,0,0
згодны,0,0,0,0,0,0,1,0,0,1
пагадзіўся,0,0,0,0,0,0,1,0,0,1
згаджаючыся,0,0,0,0,0,0,1,0,0,1
пагадненне,0,0,0,0,0,0,1,0,0,1
сельскагаспадарчы,0,0,0,0,0,0,0,0,0,0
сельская гаспадарка,0,0,0,0,0,0,1,0,0,0
на мель,0,0,0,0,0,1,0,0,0,0
агуа,0,0,0,0,0,0,0,0,0,0
наперадзе,0,0,0,0,0,0,1,0,0,0
дапамога,0,0,0,0,0,0,1,0,0,0
аказанне дапамогі,0,0,0,0,0,0,1,0,0,0
хворы,0,0,0,0,0,1,0,1,0,0
хворы,0,0,0,1,0,1,0,1,0,0
недамаганне,0,0,0,0,0,0,0,0,0,0
мэта,0,0,0,0,0,0,0,0,0,0
бязмэтны,0,0,0,0,0,1,0,0,0,0
паветра,0,0,0,0,0,0,0,0,0,0
падушка бяспекі,0,0,0,0,0,0,0,0,0,0
паветраны транспарт,0,0,0,0,0,0,0,0,0,0
авіякампанія,0,0,0,0,0,0,0,0,0,0
лётчык,0,0,0,0,0,0,0,0,0,0
самалёт,0,0,0,0,0,0,0,0,0,0
аэрапорт,0,1,0,0,0,0,0,0,0,0
эфіры,0,0,1,0,0,1,0,0,0,0
дырыжабль,0,0,0,0,0,0,0,0,0,0
праход,0,0,0,0,0,0,0,0,0,0
аіт,0,0,0,0,0,0,0,0,0,0
прыадчынены,0,0,0,0,0,0,0,0,0,0
падобны,0,0,0,0,0,0,0,0,0,1
алебастр,0,0,0,0,0,0,1,0,0,0
сігналізацыя,0,0,0,1,0,1,0,0,1,0
трывожны,0,0,0,1,0,1,0,0,1,0
альб,0,0,0,0,0,0,0,0,0,1
альбом,0,0,0,0,0,0,0,0,0,0
алхімія,0,0,0,0,0,0,0,0,0,0
алкаголь,0,0,0,0,0,0,0,0,0,0
алкагалізм,1,0,1,1,0,1,0,1,0,0
алькоў,0,0,0,0,0,0,0,0,0,0
абвестка,0,0,0,0,0,0,0,0,0,0
насцярожанасць,0,1,0,1,0,0,1,0,1,0
абвесткі,0,1,0,1,0,0,0,0,1,0
люцэрна,0,0,0,0,0,0,0,0,0,0
алгебры,0,0,0,0,0,0,0,0,0,0
алгебраічны,0,0,0,0,0,0,0,0,0,0
алгарытм,0,0,0,0,0,0,0,0,0,0
алібі,0,0,0,0,0,0,0,0,0,0
іншапланецянін,0,0,1,1,0,1,0,0,0,0
адчужаць,1,0,1,0,0,1,0,0,0,0
адчужана,0,0,0,0,0,1,0,1,0,0
адчужэнне,1,0,1,1,0,1,0,1,0,0
гарыць,0,0,0,0,0,0,0,0,0,0
выраўнаваны,0,0,0,0,0,0,0,0,0,0
выраўноўванне,0,0,0,0,0,0,0,0,0,0
падобныя,0,0,0,0,0,0,0,0,0,0
харчаванне,0,0,0,0,0,0,1,0,0,0
аліменты,0,0,0,0,0,1,0,0,0,0
аліквота,0,0,0,0,0,0,0,0,0,0
жывы,0,1,0,0,1,0,1,0,0,1
шчолач,0,0,0,0,0,0,0,0,0,0
алкалоідаў,0,0,0,0,0,0,0,0,0,0
развеяць,0,0,0,0,0,0,1,0,0,0
зацвярджэнне,1,0,0,0,0,1,0,0,0,0
сцвярджаць,0,0,0,0,0,1,0,0,0,0
нібыта,0,0,0,0,0,0,0,0,0,0
вернасць,0,0,0,0,0,0,1,0,0,1
алегарычны,0,0,0,0,0,0,0,0,0,0
алегорыя,0,0,0,0,0,0,0,0,0,0
алегра,0,0,0,0,0,0,1,0,0,0
палегчыць,0,0,0,0,0,0,1,0,0,0
палягчэнне,0,0,0,0,0,0,1,0,0,0
алея,0,0,0,0,0,0,0,0,0,0
альянс,0,0,0,0,0,0,0,0,0,1
саюзныя,0,0,0,0,0,0,1,0,0,1
алігатар,0,0,0,0,0,0,0,0,0,0
вылучаць,0,0,0,0,0,0,0,0,0,0
вылучэнне,0,0,0,0,0,0,0,0,0,0
надзяляць,0,0,0,0,0,0,0,0,0,0
надзел,0,0,0,0,0,0,0,0,0,0
дапушчальна,0,0,0,0,0,0,1,0,0,0
дапаможнік,0,0,0,0,0,0,0,0,0,0
дазволены,0,0,0,0,0,0,0,0,0,0
сплаў,0,0,0,0,0,0,0,0,0,0
прывабнасць,0,1,0,0,1,0,1,0,1,0
вабны,0,0,0,0,0,0,1,0,0,0
алюзія,0,0,0,0,0,0,0,0,0,0
алювіяльны,0,0,0,0,0,0,0,0,0,0
саюзнік,0,0,0,0,0,0,1,0,0,1
альманах,0,0,0,0,0,0,0,0,0,0
усемагутны,0,0,0,0,0,0,1,0,0,0
на вышыні,0,0,0,0,0,0,0,0,0,0
прывітанне,0,1,0,0,1,0,1,0,0,0
побач,0,0,0,0,0,0,0,0,0,0
у баку,0,0,0,0,0,1,0,0,0,0
услых,0,0,0,0,0,0,0,0,0,0
алфавіт,0,0,0,0,0,0,0,0,0,0
алфавітны,0,0,0,0,0,0,0,0,0,0
алтар,0,0,0,0,0,0,0,0,0,0
змяніць,0,0,0,0,0,0,0,0,0,0
пераробка,0,0,0,0,0,0,0,0,0,0
сварка,1,0,0,0,0,1,0,0,0,0
зменены,0,0,0,0,0,0,0,0,0,0
чаргаваць,0,0,0,0,0,0,0,0,0,0
альтэрнатыва,0,0,0,0,0,0,0,0,0,0
вышыня над узроўнем мора,0,0,0,0,0,0,0,0,0,0
альт,0,0,0,0,0,0,0,0,0,0
увогуле,0,0,0,0,0,0,0,0,0,0
выпускнік,0,0,0,0,0,0,0,0,0,0
альвеалярны,0,0,0,0,0,0,0,0,0,0
амальгама,0,0,0,0,0,0,0,0,0,0
аб'яднанне,0,0,0,0,0,0,0,0,0,0
назапашваць,0,0,0,0,0,0,0,0,0,0
аматарскі,0,0,0,0,0,0,0,0,0,0
здзівіць,0,0,0,0,0,0,0,0,1,0
здзіўленне,0,0,0,0,0,0,0,0,0,0
дзіўна,0,0,0,0,1,0,1,0,1,0
паслом,0,0,0,0,0,0,1,0,0,1
бурштынавы,0,0,0,0,0,0,0,0,0,0
эмбіент,0,0,0,0,0,0,0,0,0,0
неадназначнасць,0,0,0,0,0,0,0,0,0,0
неадназначны,0,0,0,0,0,1,0,0,0,0
амбіт,0,0,0,0,0,0,0,0,0,0
славалюбства,0,1,0,0,1,0,1,0,0,1
амбіцыйны,0,0,0,0,0,0,0,0,0,0
хуткая дапамога,0,0,0,1,0,0,0,0,0,1
засада,1,0,0,1,0,1,0,0,1,0
паляпшаць,0,0,0,0,0,0,1,0,0,0
амін,0,0,0,0,1,0,1,0,0,1
паддаюцца,0,0,0,0,0,0,1,0,0,0
паправіць,0,0,0,0,0,0,1,0,0,0
папраўка,0,0,0,0,0,0,0,0,0,0
папраўкі,0,0,0,0,0,0,1,0,0,0
зручнасць,0,0,0,0,0,0,1,0,0,0
аметыст,0,0,0,0,0,0,0,0,0,0
прыязны,0,0,0,0,0,0,1,0,0,0
дружны,0,0,0,0,1,0,1,0,0,0
сярод,0,0,0,0,0,0,0,0,0,0
сярод,0,0,0,0,0,0,0,0,0,0
нашатырны спірт,0,0,1,0,0,0,0,0,0,0
боепрыпасаў,0,0,0,0,0,0,0,0,0,0
амнезія,0,0,0,0,0,1,0,0,0,0
амністыя,0,0,0,0,1,0,1,0,0,0
аморфны,0,0,0,0,0,0,0,0,0,0
амартызацыя,0,0,0,0,0,0,0,0,0,1
колькасць,0,0,0,0,0,0,0,0,0,0
любоў,0,1,0,0,1,0,1,0,0,1
амперсанд,0,0,0,0,0,0,0,0,0,0
амфетаміны,0,0,1,0,0,1,0,0,0,0
амфібія,0,0,0,0,0,0,0,0,0,0
амфібія,0,0,0,0,0,0,0,0,0,0
амфітэатр,0,0,0,0,0,0,0,0,0,0
узмацненне,0,0,0,0,0,0,0,0,0,0
узмацніць,0,0,0,0,0,0,0,0,0,0
амплітуда,0,0,0,0,0,0,0,0,0,0
багата,0,0,0,0,0,0,0,0,0,0
ампутацыя,0,0,0,0,0,0,0,0,0,0
кудмень,0,0,0,0,0,0,0,0,0,0
забаўляць,0,0,0,0,1,0,1,0,0,0
пацешыўся,0,0,0,0,1,0,1,0,0,0
забаўка,0,0,0,0,1,0,1,0,0,0
пацешна,0,0,0,0,1,0,1,0,0,0
ана,0,0,0,0,0,0,0,0,0,0
анаконда,0,0,1,1,0,1,0,0,0,0
анестэзія,0,0,0,0,0,0,0,0,0,0
анестэтык,0,0,0,0,0,0,0,0,0,0
анальны,0,0,0,0,0,1,0,0,0,0
абязбольвальнае,0,0,0,0,0,0,0,0,0,0
аналагічны,0,0,0,0,0,0,0,0,0,0
аналаг,0,0,0,0,0,0,0,0,0,0
аналогія,0,0,0,0,0,0,0,0,0,0
аналіз,0,0,0,0,0,0,0,0,0,0
аналітык,0,1,0,0,0,0,1,0,0,1
аналітычны,0,0,0,0,0,0,0,0,0,0
аналізаваць,0,0,0,0,0,0,0,0,0,0
аналізатар,0,0,0,0,0,0,0,0,0,0
анархізм,1,0,0,1,0,1,0,0,0,0
анархіст,1,0,0,1,0,1,0,0,0,0
анархія,1,0,0,1,0,1,0,0,0,0
анастомоз,0,0,0,0,0,0,0,0,0,0
анафеме,1,0,1,1,0,1,0,1,0,0
анатамічны,0,0,0,0,0,0,0,0,0,0
анатомія,0,0,0,0,0,0,0,0,0,0
продак,0,0,0,0,0,0,0,0,0,0
радавой,0,0,0,0,0,0,0,0,0,1
радавод,0,0,0,0,0,0,0,0,0,0
якар,0,0,0,0,0,0,1,0,0,0
мацаванне,0,0,0,0,0,0,1,1,0,0
старажытны,0,0,0,0,0,1,0,0,0,0
дапаможны,0,0,0,0,0,0,0,0,0,0
андроген,0,0,0,0,0,0,0,0,0,0
анемона,0,0,0,0,0,0,0,0,0,0
нанова,0,0,0,0,0,0,0,0,0,0
анёл,0,1,0,0,1,0,1,0,1,1
анёльскі,0,0,0,0,1,0,1,0,0,1
гнеў,1,0,0,0,0,1,0,0,0,0
стэнакардыя,0,0,0,1,0,1,0,0,0,0
ангіяграфія,0,0,0,0,0,0,0,0,0,0
кут,0,0,0,0,0,0,0,0,0,0
рыбалка,0,1,0,0,0,1,0,0,0,0
злы,1,0,1,0,0,1,0,0,0,0
туга,1,0,0,1,0,1,0,1,0,0
кутняй,0,0,0,0,0,0,0,0,0,0
бязводны,0,0,0,0,0,0,0,0,0,0
жывёла,0,0,0,0,0,0,0,0,0,0
ажыўляць,0,0,0,0,0,0,1,0,0,0
аніміраваныя,0,0,0,0,1,0,1,0,0,0
анімацыя,0,0,0,0,0,0,0,0,0,0
варожасць,1,0,1,1,0,1,0,1,0,0
анімус,1,0,0,0,0,1,0,0,0,0
лодыжкі,0,0,0,0,0,0,0,0,0,0
летапісы,0,0,0,0,0,0,0,0,0,0
дадатак,0,0,0,0,0,0,0,0,0,0
анэксія,0,0,0,0,0,0,0,0,0,0
прыбудова,0,0,0,0,0,0,0,0,0,0
знішчыць,1,0,0,1,0,1,0,0,0,0
знішчаны,1,0,0,1,0,1,0,1,0,0
